"fiscal_year","region","borrower_country","project_name","procurement_category","procurement_method","major_sector","wb_contract_number","contract_description","contract_signing_date","supplier","supplier_country","supplier_contract_amount_usd","borrower_contract_reference_number"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Colombia: Collective Reparation for Victims through Social Reconstruction Project","Consultant Services","Direct Selection","Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","1545495","Asistente Financiero del Proyecto","2017-01-17T00:00:00.000","ANDERSON FABIAN MONTANO RAMIREZ","Republic of Colombia","15963.0","137"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","CO Plan PAZcifico:Water Supply and Basic Sanitation Infrastructure and Service Delivery Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management","1565824","Coordinar de manera general la implementaci&#243;n, administraci&#243;n y supervisi&#243;n de la ejecuci&#243;n del Fondo para el Desarrollo del Plan Todos Somos Pazc&#237;fico","2017-03-16T00:00:00.000","Individual Consultant","Republic of Colombia","71591.0","PTSP-BIRF8649-023"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Subnational Institutional Strengthening","Consultant Services","Direct Selection","Public Administration","1556274","2170490","2017-02-10T00:00:00.000","CARLOS ALFONSO ARAUJO PERDOMO","Republic of Colombia","69430.0","CO-DNP-22409-CS-CDS"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Colombia: Collective Reparation for Victims through Social Reconstruction Project","Consultant Services","Direct Selection","Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","1546117","Prestar sus servicios de consultor&#237;a a la Unidad para la Atenci&#243;n y Reparaci&#243;n Integral para las V&#237;ctimas  como especialista en adquisiciones","2017-01-17T00:00:00.000","JAVIER RICARDO MORILO GUERRERO","Republic of Colombia","29664.0","139"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Mainstreaming Sustainable Cattle Ranching","Non-consulting Services","Comercial Practices","Agriculture, Fishing and Forestry","1553027","Organizaci&#243;n del evento Talle de Ideaci&#243;n el cual se llevara a cabo el 20 de abril 2017 en las instalaciones Club Social La Aguadora","2017-03-22T00:00:00.000","IL PALATO GOURMET SAS","Republic of Colombia","307.0","CO-FEDEGAN-19987-NC-CP"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Subnational Institutional Strengthening","Consultant Services","Direct Selection","Public Administration","1556360","2170752","2017-03-17T00:00:00.000","JAIME ANDRES ORTEGA MAZORRA","Republic of Colombia","46351.0","CO-DNP-22705-CS-CDS"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Mainstreaming Sustainable Cattle Ranching","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","1563396","Consultor&#237;a para evaluar el impacto de los SSPI sobre la diversidad de la avifauna en fincas adscritas al proyecto ""G.C.S"", asegurando coherencia con los lineamentos establecidos para dicha actividad","2016-08-01T00:00:00.000","Individual Consultant","Republic of Colombia","20387.0","CO-CIPAV-30647-CS-INDV"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Forest Conservation and Sustainability in the Heart of the Colombian Amazon","Goods","Direct Selection","Agriculture, Fishing and Forestry;Public Administration","1562233","ADQUISICI&#211;N DE IM&#193;GENES SATELITALES DE MUY ALTA RESOLUCI&#211;N DE LAS CONSTELACIONES RAPIDEYE,  WORLDVIEW Y GEO-EYE","2017-01-19T00:00:00.000","PROCALCULO PROSIS S.A.","Republic of Colombia","57632.0","CO-PNF-31988-GO-DIR"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Colombia: Collective Reparation for Victims through Social Reconstruction Project","Non-consulting Services","Request for Quotations","Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","1566633","Contrataci&#243;n de Operador Log&#237;stico para apoyar actividades de los componentes 1, 2 y 3","2016-08-16T00:00:00.000","CHICO TOURS LTDA","Republic of Colombia","24875.0","OC-003-2016"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Subnational Institutional Strengthening","Consultant Services","Direct Selection","Public Administration","1564897","Asesor Enlace Regional en Herramientas de Medici&#243;n de la Gesti&#243;n P&#250;blica","2017-01-05T00:00:00.000","CAMILO BERROCAL","Republic of Colombia","16469.0","CO-DNP-22670-CS-CDS"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Forest Conservation and Sustainability in the Heart of the Colombian Amazon","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry;Public Administration","1556617","APOYAR LA ARTICULACI&#211;N T&#201;CNICA DE LOS PROCESOS DE GESTI&#211;N DEL PNN SERRAN&#205;A DE CHIRIBIQUETE ENTRE LOS NIVELES LOCAL, REGIONAL Y NACIONAL DE PARQUES NACIONALES","2017-02-23T00:00:00.000","Individual Consultant","Republic of Colombia","28823.0","CO-PNF-26461-CS-INDV"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Support to the National Urban Transit Program Project","Consultant Services","Individual Consultant Selection","Transportation","1552680","ASISTENCIA TECNICA AL MINISTERIO DE TRANSPORTE Y A LAS ENTIDADES EJECUTORAS EN LAS LABORES DE ACOMPA&#209;AMIENTO Y SEGUIMIENTO CONTABLE FINANCIERO Y ADMINISTRATIVO Y APOYO EN LA GESTION DE DESEMBOLSOS DE","2017-01-02T00:00:00.000","Individual Consultant","Republic of Colombia","15442.0","CO-MINTRANSPORTE-19733-CS-INDV"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Forest Conservation and Sustainability in the Heart of the Colombian Amazon","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry;Public Administration","1556256","GENERAR PARA PNN Y FPN UN INFORME QUE INCLUYA LA EVALUACI&#211;N DEL AVANCE EN LA IMPLEMENTACI&#211;N DE ACTIVIDADES DE LOS PPI Y LA PLANEACI&#211;N DE ACTIVIDADES 2017","2017-03-10T00:00:00.000","Individual Consultant","Republic of Colombia","24536.0","CO-PNF-26460-CS-INDV"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Subnational Institutional Strengthening","Consultant Services","Direct Selection","Public Administration","1556323","2170024","2017-01-05T00:00:00.000","CLAIUDIA INES SEPULVEDA","Republic of Colombia","28920.0","CO-DNP-22692-CS-CDS"
"2017","LATIN AMERICA AND CARIBBEAN","Colombia","Subnational Institutional Strengthening","Consultant Services","Direct Selection","Public Administration","1556374","2170037","2017-01-06T00:00:00.000","SANDRA ACERO","Republic of Colombia","78281.0","CO-DNP-22690-CS-CDS"
