"as_of_date","fiscal_year","region","borrower_country","borrower_country_code","project_id","project_name","procurement_category","procurement_method","major_sector","wb_contract_number","contract_description","contract_signing_date","supplier","supplier_country","supplier_country_code","supplier_contract_amount_usd","borrower_contract_reference_number"
"2022-09-02T00:00:00.000","2017","EUROPE AND CENTRAL ASIA","Moldova","MD","P144103","MD Second Competitiveness Enhancement Project","Consultant Services","Quality And Cost-Based Selection","Financial Sector;Industry, Trade and Services","1546329","Development and implementation of the information system for the Mechanism for Managing and Issuing Permits of Moldova for the State Chancellery","2017-04-19T00:00:00.000","DOTGOV SOLUTIONS","United States of America","US","1018657.0","EP-II/A/CS-4/1-QCBS-38"
"2022-09-02T00:00:00.000","2017","EUROPE AND CENTRAL ASIA","Moldova","MD","P120913","Strengthening the Effectiveness of the Social Safety Net Results-Based Financing Specific Investment Loan","Consultant Services","Individual Consultant Selection","Social Protection","1546405","Consultancy for Ajutorul Social evaluation and design. Revision of national methodology of poverty measurement","2017-04-21T00:00:00.000","Individual Consultant","World","1W","123640.0","CS-S/48/IDA"
"2022-09-02T00:00:00.000","2017","EUROPE AND CENTRAL ASIA","Moldova","MD","P150357","Local Roads Improvement Project","Consultant Services","Quality And Cost-Based Selection","Transportation","1546572","Construction Supervision Services","2017-05-11T00:00:00.000","DOHWA ENGINEERING CO., LTD,","Republic of Korea","KR","3486740.0","LRIP/CS/05"
"2022-09-02T00:00:00.000","2017","EUROPE AND CENTRAL ASIA","Moldova","MD","P079303","Energy Conservation & Emissions Reduction Project (Community Development Carbon Fund)","Consultant Services","Consultant Qualification  Selection","Energy and Extractives","1546703","Project Audit","2016-12-15T00:00:00.000","DELOITTE & TOUCHE S.R.L.","Republic of Moldova","MD","4410.0","CFU/CS/CQ-01/2016"
"2022-09-02T00:00:00.000","2017","EUROPE AND CENTRAL ASIA","Moldova","MD","P127388","Moldova Education Reform Project","Consultant Services","Individual Consultant Selection","Education","1547653","Procurement Specialist (part-time)","2017-06-15T00:00:00.000","Individual Consultant","World","1W","8400.0","IC-16"
"2022-09-02T00:00:00.000","2017","EUROPE AND CENTRAL ASIA","Moldova","MD","P148537","Modernization of Government Services in the Republic of Moldova","Consultant Services","Individual Consultant Selection","Information and Communications Technologies;Public Administration","1543797","Consulting Services for Human Resources Management (Legal aspects)","2016-11-07T00:00:00.000","Individual Consultant","World","1W","6311.0","IC-04/1.2"
"2022-09-02T00:00:00.000","2017","EUROPE AND CENTRAL ASIA","Moldova","MD","P127388","Moldova Education Reform Project","Consultant Services","Individual Consultant Selection","Education","1548038","Procurement Specialist (National Procedures)","2017-06-29T00:00:00.000","Individual Consultant","World","1W","17279.0","IC-17"
"2022-09-02T00:00:00.000","2017","EUROPE AND CENTRAL ASIA","Moldova","MD","P132443","District Heating Efficiency Improvement Project","Consultant Services","Direct Selection","Energy and Extractives;Public Administration","1543178","Procurement Consultant","2016-10-03T00:00:00.000","SVETLANA CORCODEL","Republic of Moldova","MD","22144.0","13/2016"
"2022-09-02T00:00:00.000","2017","EUROPE AND CENTRAL ASIA","Moldova","MD","P144892","Moldova Health Transformation Project","Consultant Services","Individual Consultant Selection","Health","1544450","Financial Management Consultant","2016-12-21T00:00:00.000","Individual Consultant","World","1W","30435.0","CO/14/IDA"
"2022-09-02T00:00:00.000","2017","EUROPE AND CENTRAL ASIA","Moldova","MD","P154541","Strengthening capacity - EMIS","Consultant Services","Consultant Qualification  Selection","Education","1544549","Survey on education data","2016-12-15T00:00:00.000","CBS-AXA","Republic of Moldova","MD","13795.0","CQ-01/3"
