CustomerNo,LicenseStatus,BusinessName,FullName,BusinessLocation,BusinessTypeCode,BusinessTypeDescription,LicenseCategoryCode,LicenseCategoryDescription,ActiveLicenses
75189,hold,,"RIO, MARIA ELIDA DEL","1 CITYWIDE WEST
HOLLYWOOD, CA 90069",,,47,Food Peddler,47f	FPD-004732	05/31/2022
70692,active,BA2 LLC,BA2 LLC,"7321 SANTA MONICA BLVD West
Hollywood, CA 90046",corp,Corporation,17,Dance,17	DNC-004489	10/31/2022
70324,active,Bar Lubitsch,Bar Lubitsch,"7702 SANTA MONICA BLVD West
Hollywood, CA 90046",llc,Limited Liability Corporation,17,Dance,17	DNC-003065	06/30/2022
70479,active,Surly Goat,Surly Goat,"7929 SANTA MONICA BLVD West
Hollywood, CA 90046",llc,Limited Liability Corporation,17,Dance,17	DNC-003868	01/31/2023
70018,active,The Troubadour,The Troubadour,"9081 SANTA MONICA BLVD West
Hollywood, CA 90069",corp,Corporation,17,Dance,17	DNC-000138	02/28/2023
81858,active,9010 MELROSE AVE LLC. / OLIVETTA,9010 MELROSE AVE LLC. / OLIVETTA,"9010 MELROSE WEST
HOLLYWOOD, CA 90069",,Corporation,19,Entertainment,19	ENT-004759	11/30/2022
70693,active,BA2 LLC,BA2 LLC,"7321 SANTA MONICA BLVD West
Hollywood, CA 90046",corp,Corporation,19,Entertainment,19	ENT-004490	10/31/2022
70306,active,Bar Lubitsch,Bar Lubitsch,"7702 SANTA MONICA BLVD West
Hollywood, CA 90046",sole,Sole Proprietor,19,Entertainment,19	ENT-002947	12/31/2022
70043,active,Lee Strasberg Creative Center,Lee Strasberg Creative Center,"7936 SANTA MONICA BLVD West
Hollywood, CA 90046",corp,Corporation,19,Entertainment,19	ENT-000210	03/31/2023
70269,active,Mother Lode,Mother Lode,"8944 SANTA MONICA BLVD West
Hollywood, CA 90069",corp,Corporation,19,Entertainment,19	ENT-002655	07/31/2022
70856,hold,Pump Lounge,Pump Lounge,"8948 SANTA MONICA BLVD West
Hollywood, CA 90069",corp,Corporation,19,Entertainment,19	ENT-004701	06/30/2022
70480,active,Surly Goat,Surly Goat,"7929 SANTA MONICA BLVD West
Hollywood, CA 90046",llc,Limited Liability Corporation,19,Entertainment,19	ENT-003869	01/31/2023
70683,active,THE ACADIAN GROUP INC,THE ACADIAN GROUP INC,"8939 SANTA MONICA BLVD West
Hollywood, CA 90069",corp,Corporation,19,Entertainment,19	ENT-004475	10/31/2022
70019,active,The Troubadour,The Troubadour,"9081 SANTA MONICA BLVD West
Hollywood, CA 90069",corp,Corporation,19,Entertainment,19	ENT-000139	02/28/2023
70327,active,Voda Spa,Voda Spa,"7700 SANTA MONICA BLVD West
Hollywood, CA 90046",corp,Corporation,29,Health Club,29	HEA-003083	07/31/2022
70208,active,Joey's Locksmith,Joey's Locksmith,"8742 ROSEWOOD AVE WEST
HOLLYWOOD, CA 90048",sole,Sole Proprietor,33,Locksmith,33	LCK-002180	01/31/2023
70015,hold,Koontz Hardware,Koontz Hardware,"8914 SANTA MONICA BLVD West
Hollywood, CA 90069",corp,Corporation,33,Locksmith,33	LCK-000129	10/31/2022
78664,active,GOLDEN OCEAN FOOT MASSAGE INC.,GOLDEN OCEAN FOOT MASSAGE INC.,"8602 SUNSET BLVD
A WEST HOLLYWOOD, CA 90069",corp,Corporation,37,Massage Parlor,37	MSP-004663	05/31/2022
79840,active,"LEELA SPA & THAI MASSAGE, INC","LEELA SPA & THAI MASSAGE, INC","7860 SANTA MONICA BLVD West
Hollywood, CA 90046",corp,Corporation,37,Massage Parlor,37	MSP-004666	04/30/2022
78906,active,MOMO THERAPY,MOMO THERAPY,"7551 1 2 SANTA MONICA BLVD West
Hollywood, CA 90046",corp,Corporation,37,Massage Parlor,37	MSP-004664	07/31/2022
77154,active,PRINCE MEN'S SPA,PRINCE MEN'S SPA,"7542 SANTA MONICA BLVD West
Hollywood, CA 90046",lp,Limited Partnership,37,Massage Parlor,37	MSP-004658	07/31/2022
