"classification","units","businessname","address","city","state","zipcode","withincity","telephone","opened","controlnum","taxcertnum","expires","owner","mailingaddress1","mailingaddress2","mailingcity","mailingstate","mailingzip","ownershiptype","location"
"WASTEWATER PERMIT",,"ALL SMOG USA","1916 SAVIERS RD","OXNARD","CA","93033","Yes","805 240-1613","2003-09-29T00:00:00.000","77814","23-029758","2023-06-30T00:00:00.000","ALL SMOG USA","1916 SAVIERS RD",,"OXNARD","CA","93033","C","1916 SAVIERS RD
OXNARD, CA 93033
(34.180723, -119.177402)"
"REAL ESTATE AGENT OR BROKER",,"SAND CASTLE REALTY","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","805 985-1053","1984-05-04T00:00:00.000","12426","23-001156","2023-04-30T00:00:00.000","CASTLE, MICHELE","3600 S HARBOR BLVD #465",,"OXNARD","CA","93035","S",
"REAL ESTATE AGENT OR BROKER",,"PEDRO J DELGADO","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","805 312-2970","2003-07-25T00:00:00.000","76961","23-073449","2023-06-30T00:00:00.000","DELGADO, PEDRO","3610 AVONDALE LN",,"OXNARD","CA","93036-6342","S",
"TOBACCO RETAILER PERMIT",,"BARD LIQUOR","151 E BARD RD","OXNARD","CA","93033","Yes","805 271-9467","2016-10-05T00:00:00.000","107901","23-006200","2023-06-30T00:00:00.000","NASSER, ADMON,ET AL","151 E BARD RD",,"OXNARD","CA","93033","P","151 E BARD RD
OXNARD, CA 93033"
"RETAIL SALES",,"REID'S, INC","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","805 650-9771","1994-05-19T00:00:00.000","27201","23-018136","2023-04-30T00:00:00.000","REID'S, INC","3991 E MAIN ST",,"VENTURA","CA","93003","C",
"CONTRACTOR LOC OUTSIDE CITY",,"VIVINT, INC","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","801 705-8066","2008-06-01T00:00:00.000","92079","23-100517","2023-05-31T00:00:00.000","VIVINT, INC","4931 NORTH 300 WEST",,"PROVO","UT","84604","C",
"FURNITURE STORE",,"LA NUEVA ELIZABETH'S FURNITURE","900 S A ST","OXNARD","CA","93030","Yes","805 487-2826","2009-07-21T00:00:00.000","94409","23-096269","2023-06-30T00:00:00.000","MACIAS, ELIZABETH","900 S A ST",,"OXNARD","CA","93030","S","900 S A ST
OXNARD, CA 93030
(34.191785, -119.178662)"
"EXEMPT",,"LA ASOCIACION NACIONAL PRO PER","315 S C ST","OXNARD","CA","93030","Yes","805 240-7771","2002-07-01T00:00:00.000","103342","23-109366","2023-03-31T00:00:00.000","LA ASOCIACION NACIONAL PRO","315 S C ST",,"OXNARD","CA","93030","C","315 S C ST
OXNARD, CA 93030
(34.200001, -119.181084)"
"RESTAURANT/CAFE",,"SURA USA","1213 S VICTORIA AVE","OXNARD","CA","93035","Yes","805 658-8495","2012-11-01T00:00:00.000","99884","23-104346","2023-05-31T00:00:00.000","GOONG INC","1213 S VICTORIA AVE",,"OXNARD","CA","93035","C","1213 S VICTORIA AVE
OXNARD, CA 93035
(34.189065, -119.221345)"
"ARCHITECT,ENGINEER,DRAFT,DESIGN OR SVY'G",,"MARK SHELLNUT ARCHITECT INC","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","805 649-2056","2018-02-15T00:00:00.000","110521","23-120270","2023-02-28T00:00:00.000","MARK SHELLNUT ARCHITECT INC","35 KUNKLE ST #A",,"OAK VIEW","CA","93022","C",
"WASTEWATER PERMIT",,"OMO & SON MOTORCYCLE","1570 PINE ST","OXNARD","CA","93030","Yes","805 487-4154","2000-01-01T00:00:00.000","107335","23-029661","2023-06-30T00:00:00.000","OMO III, GEORGE","1570 PINE ST STE B",,"OXNARD","CA","93030","S","1570 PINE ST
OXNARD, CA 93030
(34.185134, -119.169795)"
"BARBER SHOP:COSMETOLOGY BOARD EST",,"CHI CALI CUTS","667 S VENTURA RD","OXNARD","CA","93035","Yes","805 236-9950","2021-08-16T00:00:00.000","115784","23-129685","2023-02-28T00:00:00.000","K HARRISON ENTERPRISES,INC","3730 KETCH AVE APT 207",,"OXNARD","CA","93035","C","667 S VENTURA RD
OXNARD, CA 93035
(34.195581, -119.194846)"
"ARCHITECT,ENGINEER,DRAFT,DESIGN OR SVY'G",,"ELS ARCHITECTURE AND URBAN DES","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","510 549-2929","2022-03-14T00:00:00.000","116610","23-129691","2023-02-28T00:00:00.000","ELS","2040 ADDISON ST",,"BERKELEY","CA","94704","C",
"TELECOMMUNICATION SALES/SERVICES",,"CROWN COMMUNICATIONS ENGINEERI","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","909 937-1901","2022-03-18T00:00:00.000","116613","23-129694","2023-02-28T00:00:00.000","CROWN COMMUNICATIONS ENGINEERI","1311 WANAMAKER AVE",,"ONTARIO","CA","91761","C",
"CATERING TRUCK/VEHICLE-BRANCH (T-4)",,"HOUSE OF TACOS GRILL","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","805 645-0157","2022-03-18T00:00:00.000","116617","23-129703","2023-02-28T00:00:00.000","MICHOACANITA ICE CREAM INC.","2550 E VINEYARD AVE #130",,"OXNARD","CA","93036","C",
"NOTARY PUBLIC (EXEMPT)",,"CRYSTAL GOMEZ","3711 SAVIERS RD","OXNARD","CA","93033","Yes","805 760-0794","2022-12-27T00:00:00.000","116336","23-129741","2022-11-30T00:00:00.000","CRYSTAL'S INSURANCE AGENCY LLC","3711 SAVIERS RD STE K",,"OXNARD","CA","93033","LL","3711 SAVIERS RD
OXNARD, CA 93033
(34.165709, -119.177729)"
"ACCT'G,BKKEEP'G,TAX SVC,CLERICAL,ADMIN",,"MICAS, INC.","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","805 469-7477","2022-03-24T00:00:00.000","116640","23-129749","2023-02-28T00:00:00.000",,"321 FOXGLOVE PL",,"OXNARD","CA","93036","C",
"APARTMENT COMPLEX/RESIDENTIAL RENTAL","6 UNIT APARTMENT COMPLEX","5135 WOOLEY LLC","5135 W WOOLEY RD","OXNARD","CA","93035","Yes","805 486-1273","2020-10-29T00:00:00.000","116358","23-129743","2022-09-30T00:00:00.000","5135WOOLEY, LLC","16830 VENTURA BLVD STE 360",,"ENCINO","CA","91436","LL","5135 W WOOLEY RD
OXNARD, CA 93035
(34.190229, -119.240767)"
"TERMITE/PEST CONTROL SERVICES",,"SPRAGUE PEST SOLUTIONS","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","253 272-4400","2018-11-01T00:00:00.000","111788","23-122241","2022-11-30T00:00:00.000","TMC PEST MANAGEMENT","PO BOX 1896",,"TACOMA","WA","98401","C",
"CONTRACTOR LOC OUTSIDE CITY",,"SAFETY STRIPING SERVICE, INC.","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","559 651-1022","2000-05-01T00:00:00.000","3183","23-126644","2022-09-30T00:00:00.000","SAFETY STRIPING SERVICE, INC.","PO BOX 1020",,"GOSHEN","CA","93227","C",
"MOBILE WASH/DETAIL",,"OUTSHINE DOCKSIDE DETAIL","OUTSIDE OF OXNARD","OXNARD","CA","93030","No","805 651-8791","2022-03-24T00:00:00.000","116639","23-129748","2023-02-28T00:00:00.000","ROWLETT, CORY","PO BOX 338",,"VENTURA","CA","93002","S",
"WASTEWATER PERMIT",,"AIRPORT SMOG","1225 S OXNARD BLVD","OXNARD","CA","93033","Yes","805 487-0106","2012-07-20T00:00:00.000","100243","23-029730","2023-06-30T00:00:00.000","KHATIBZADEH, MADJID","1225 S OXNARD BLVD",,"OXNARD","CA","93033","S","1225 S OXNARD BLVD
OXNARD, CA 93033
(34.187785, -119.174955)"
"FAST FOOD:HAMBURGER/HOT DOGS/TACO/SHAKES",,"HERBALIFE","381 W HUENEME RD","OXNARD","CA","93033","Yes","805 832-7388","2013-05-01T00:00:00.000","102366","24-107950","2023-08-31T00:00:00.000","FELIX, XENIA, ET AL","2430 EL PORTAL WAY",,"OXNARD","CA","93035","S","381 W HUENEME RD
OXNARD, CA 93033
(34.147539, -119.180795)"
"RESTAURANT/CAFE",,"LUNA GRILL","691 COLLECTION BLVD","OXNARD","CA","93036","Yes","858 450-1188","2017-03-03T00:00:00.000","108777","23-117573","2023-02-28T00:00:00.000","PREMIER FOOD CONCEPTS LLC","17581 IRVINE BLVD #210",,"TUSTIN","CA","92780","LL","691 COLLECTION BLVD
OXNARD, CA 93036
(34.241563, -119.178173)"
"ACCT'G,BKKEEP'G,TAX SVC,CLERICAL,ADMIN",,"LANGUREN INVESTMENTS AND REALT","1004 JURYMAST DR","OXNARD","CA","93030","Yes","805 844-4412","2016-04-18T00:00:00.000","109716","23-119018","2023-03-31T00:00:00.000","LANGUREN INVSTMNTS AND RLTY","1004 JURYMAST DR",,"OXNARD","CA","93030","C","1004 JURYMAST DR
OXNARD, CA 93030
(34.191521, -119.191653)"
"REGISTERED NON-PROFIT",,"THRIVE MENTORSHIP HOUSE","2240 KNIGHTSBRIDGE PL","OXNARD","CA","93030","Yes","805 248-8225","2021-01-15T00:00:00.000","115314","23-127601","2023-03-31T00:00:00.000","THRIVE MENTORSHIP HOUSE","2240 KNIGHTSBRIDGE PL",,"OXNARD","CA","93030","C","2240 KNIGHTSBRIDGE PL
OXNARD, CA 93030
(34.209732, -119.201897)"
"INTERNET BUSINESS (PROF OR RETAIL)",,"INCINOTES","3754 ISLANDER WALK","OXNARD","CA","93035","Yes","805 279-6147","2019-04-01T00:00:00.000","113353","23-124543","2023-03-31T00:00:00.000","SPYRISON, WILLIAM","3754 ISLANDER WALK",,"OXNARD","CA","93035","S","3754 ISLANDER WALK
OXNARD, CA 93035
(34.1822, -119.220572)"
