Classification,Units,BusinessName,Address,City,State,ZipCode,WithinCity,Telephone,Opened,ControlNum,TaxCertNum,Expires,Owner,MailingAddress1,MailingAddress2,MailingCity,MailingState,MailingZip,OwnershipType,Location,Zip Codes
DELIVERY ONLY,,"HOUSE SANITARY SUPPLY,INC",OUTSIDE OF OXNARD,OXNARD,CA,93030,No,805 644-5518,02/11/2004 12:00:00 AM,2209,23-001486,01/31/2023 12:00:00 AM,"HOUSE SANITARY SUPPLY,INC",1603 PALMA DR,,VENTURA,CA,93003,C,,
CONTRACTOR LOC OUTSIDE CITY,,"CHARLES E THOMAS COMPANY, INC",OUTSIDE OF OXNARD,OXNARD,CA,93030,No,310 323-6730,01/14/1987 12:00:00 AM,15837,23-000299,12/31/2022 12:00:00 AM,"CHARLES E THOMAS COMPANY, INC",13701 S ALMA AV,,GARDENA,CA,90249-2513,C,,
DRUG STORE/PHARMACEUTICAL HOUSE,,MEDICINE SHOPPE,2196 SAVIERS RD,OXNARD,CA,93033,Yes,805 487-6303,03/11/1996 12:00:00 AM,30153,23-022146,02/28/2023 12:00:00 AM,"S.O.S. INTERNATIONAL, INC",2196 SAVIERS RD,,OXNARD,CA,93033,C,"2196 SAVIERS RD
OXNARD, CA 93033
(34.178574, -119.177422)",1873
WASTEWATER PERMIT,,BOY'S MARKET,438 COLONIA RD,OXNARD,CA,93030,Yes,805 486-2054,11/02/2006 12:00:00 AM,88906,23-028915,06/30/2023 12:00:00 AM,"GB ASSOCIATES, INC",438 COLONIA RD,,OXNARD,CA,93030,C,"438 COLONIA RD
OXNARD, CA 93030
(34.206463, -119.173426)",1872
DELIVERY ONLY,,"DIANA'S MEXICAN FOOD PROD, INC",OUTSIDE OF OXNARD,OXNARD,CA,93030,No,310 926-5802,12/09/1992 12:00:00 AM,24856,23-015136,11/30/2022 12:00:00 AM,"DIANA'S MEXICAN FOOD PROD, INC",PO BOX 369,,NORWALK,CA,90651-0369,C,,
CONTRACTOR LOC INSIDE CITY,,DANIELS CONSTRUCTION,821 RAFT LN,OXNARD,CA,93035,Yes,805 382-2335,11/08/1995 12:00:00 AM,29612,23-021514,10/31/2022 12:00:00 AM,"DANIELS, GREG",821 RAFT LN,,OXNARD,CA,93035-1740,S,"821 RAFT LN
OXNARD, CA 93035",
CONTRACTOR LOC OUTSIDE CITY,,"INTERSTATE REBAR, INC",OUTSIDE OF OXNARD,OXNARD,CA,93030,No,805 643-6892,03/11/1993 12:00:00 AM,25233,23-015632,02/28/2023 12:00:00 AM,"INTERSTATE REBAR, INC",PO BOX 670,,OAK VIEW,CA,93022,C,,
COMPUTER SVC-REPAIR/DATA PROCESING,,CIO SOLUTIONS LP,OUTSIDE OF OXNARD,OXNARD,CA,93030,No,805 692-6700,07/29/2015 12:00:00 AM,105637,23-112850,06/30/2023 12:00:00 AM,CIO SOLUTIONS LP,"5425 HOLLISTER, SUITE 160",,SANTA BARBARA,CA,93111,PL,,
DENTIST,,"TAI DUC DUONG, D.D.S.",629 COOPER RD,OXNARD,CA,93030,Yes,805 486-6383,11/25/1986 12:00:00 AM,15684,23-000747,10/31/2022 12:00:00 AM,"DUONG DDS, TAI DUC",629 COOPER RD,,OXNARD,CA,93030-5427,C,"629 COOPER RD
OXNARD, CA 93030
(34.204551, -119.171908)",1872
CONTRACTOR LOC OUTSIDE CITY,,"RAIN DRAIN, THE",OUTSIDE OF OXNARD,OXNARD,CA,93030,No,805 482-0692,12/01/2000 12:00:00 AM,20506,23-009179,11/30/2022 12:00:00 AM,"CAL 2000, INC",PO BOX 1649,,CAMARILLO,CA,93011,C,,
