"category","question","response_category","year","region","sex","age","updated_result","rse_25","age_response","sex_response","age_year","sex_year"
"Alcohol","Ever drink",,"1996","ACT","Persons","12-17 years","89.7",,"12-17 years:","Persons:","12-17 years: 1996","Persons: 1996"
"Alcohol","Ever drink",,"1999","ACT","Persons","12-17 years","90.2",,"12-17 years:","Persons:","12-17 years: 1999","Persons: 1999"
"Alcohol","Ever drink",,"2002","ACT","Persons","12-17 years","89.8",,"12-17 years:","Persons:","12-17 years: 2002","Persons: 2002"
"Alcohol","Ever drink",,"2005","ACT","Persons","12-17 years","89.6",,"12-17 years:","Persons:","12-17 years: 2005","Persons: 2005"
"Alcohol","Ever drink",,"2008","ACT","Persons","12-17 years","85.9",,"12-17 years:","Persons:","12-17 years: 2008","Persons: 2008"
"Alcohol","Ever drink",,"2011","ACT","Persons","12-17 years","73.2",,"12-17 years:","Persons:","12-17 years: 2011","Persons: 2011"
"Alcohol","Ever drink",,"2014","ACT","Persons","12-17 years","71.6",,"12-17 years:","Persons:","12-17 years: 2014","Persons: 2014"
"Alcohol","Ever drink",,"2017","ACT","Persons","12-17 years","63.3",,"12-17 years:","Persons:","12-17 years: 2017","Persons: 2017"
"Alcohol","Ever drink",,"1996","ACT","Males","12-17 years","89.5",,"12-17 years:","Males:","12-17 years: 1996","Males: 1996"
"Alcohol","Ever drink",,"1999","ACT","Males","12-17 years","91",,"12-17 years:","Males:","12-17 years: 1999","Males: 1999"
"Alcohol","Ever drink",,"2002","ACT","Males","12-17 years","90",,"12-17 years:","Males:","12-17 years: 2002","Males: 2002"
"Alcohol","Ever drink",,"2005","ACT","Males","12-17 years","89.6",,"12-17 years:","Males:","12-17 years: 2005","Males: 2005"
"Alcohol","Ever drink",,"2008","ACT","Males","12-17 years","87.2",,"12-17 years:","Males:","12-17 years: 2008","Males: 2008"
"Alcohol","Ever drink",,"2011","ACT","Males","12-17 years","73.1",,"12-17 years:","Males:","12-17 years: 2011","Males: 2011"
"Alcohol","Ever drink",,"2014","ACT","Males","12-17 years","70",,"12-17 years:","Males:","12-17 years: 2014","Males: 2014"
"Alcohol","Ever drink",,"2017","ACT","Males","12-17 years","64.3",,"12-17 years:","Males:","12-17 years: 2017","Males: 2017"
"Alcohol","Ever drink",,"1996","ACT","Females","12-17 years","90",,"12-17 years:","Females:","12-17 years: 1996","Females: 1996"
"Alcohol","Ever drink",,"1999","ACT","Females","12-17 years","89.4",,"12-17 years:","Females:","12-17 years: 1999","Females: 1999"
"Alcohol","Ever drink",,"2002","ACT","Females","12-17 years","89.5",,"12-17 years:","Females:","12-17 years: 2002","Females: 2002"
"Alcohol","Ever drink",,"2005","ACT","Females","12-17 years","89.5",,"12-17 years:","Females:","12-17 years: 2005","Females: 2005"
"Alcohol","Ever drink",,"2008","ACT","Females","12-17 years","84.5",,"12-17 years:","Females:","12-17 years: 2008","Females: 2008"
"Alcohol","Ever drink",,"2011","ACT","Females","12-17 years","73.3",,"12-17 years:","Females:","12-17 years: 2011","Females: 2011"
"Alcohol","Ever drink",,"2014","ACT","Females","12-17 years","73.1",,"12-17 years:","Females:","12-17 years: 2014","Females: 2014"
"Alcohol","Ever drink",,"2017","ACT","Females","12-17 years","62.3",,"12-17 years:","Females:","12-17 years: 2017","Females: 2017"
"Alcohol","Ever drink",,"1996","ACT","Persons","12-15 years","87.1",,"12-15 years:","Persons:","12-15 years: 1996","Persons: 1996"
"Alcohol","Ever drink",,"1999","ACT","Persons","12-15 years","88.1",,"12-15 years:","Persons:","12-15 years: 1999","Persons: 1999"
"Alcohol","Ever drink",,"2002","ACT","Persons","12-15 years","87.9",,"12-15 years:","Persons:","12-15 years: 2002","Persons: 2002"
"Alcohol","Ever drink",,"2005","ACT","Persons","12-15 years","87.9",,"12-15 years:","Persons:","12-15 years: 2005","Persons: 2005"
