"year","region","sex","category","rank_category","age_group","daly","daly_rank"
"2011","ACT","Female","Other musculoskeletal","1. Other musculoskeletal","25–74","12.9","1"
"2011","ACT","Female","Anxiety disorders","2. Anxiety disorders","25–74","12.5","2"
"2011","ACT","Female","Back pain and problems","3. Back pain and problems","25–74","9.9","3"
"2011","ACT","Female","Breast cancer","4. Breast cancer","25–74","8","4"
"2011","ACT","Female","Rheumatoid arthritis","5. Rheumatoid arthritis","25–74","7.1","5"
"2011","ACT","Female","Depressive disorders","6. Depressive disorders","25–74","6.5","6"
"2011","ACT","Female","Asthma","7. Asthma","25–74","6","7"
"2011","ACT","Female","Lung cancer","8. Lung cancer","25–74","5.5","8"
"2011","ACT","Female","Osteoarthritis","9. Osteoarthritis","25–74","5.5","9"
"2011","ACT","Female","COPD","10. COPD","25–74","5.2","10"
"2011","ACT","Female","Coronary heart disease","11. Coronary heart disease","25–74","4.3","11"
"2011","ACT","Female","Other injuries","12. Other injuries","25–74","4.1","12"
"2011","ACT","Female","Bowel cancer","13. Bowel cancer","25–74","3.3","13"
"2011","ACT","Female","Poisoning","14. Poisoning","25–74","3.1","14"
"2011","ACT","Female","Bipolar affective disorder","15. Bipolar affective disorder","25–74","3","15"
"2011","ACT","Female","Type 2 diabetes","16. Type 2 diabetes","25–74","2.9","16"
"2011","ACT","Female","Migraine","17. Migraine","25–74","2.5","17"
"2011","ACT","Female","Other cardiovascular diseases","18. Other cardiovascular diseases","25–74","2.1","18"
"2011","ACT","Female","Other congenital conditions","19. Other congenital conditions","25–74","2.1","19"
"2011","ACT","Female","Polycystic ovarian syndrome","20. Polycystic ovarian syndrome","25–74","2.1","20"
"2011","ACT","Female","Chronic liver disease","21. Chronic liver disease","25–74","2.1","21"
"2011","ACT","Female","Brain and CNS cancer","22. Brain and CNS cancer","25–74","2.1","22"
"2011","ACT","Female","Other cancers","23. Other cancers","25–74","2","23"
"2011","ACT","Female","Eating disorders","24. Eating disorders","25–74","1.9","24"
"2011","ACT","Female","Stroke","25. Stroke","25–74","1.8","25"
"2011","ACT","Female","Epilepsy","26. Epilepsy","25–74","1.7","26"
"2011","ACT","Female","Ovarian cancer","27. Ovarian cancer","25–74","1.7","27"
"2011","ACT","Female","Periodontal disease","28. Periodontal disease","25–74","1.5","28"
"2011","ACT","Female","Dermatitis and eczema","29. Dermatitis and eczema","25–74","1.5","29"
"2011","ACT","Female","Drug use disorders (excluding alcohol)","30. Drug use disorders (excluding alcohol)","25–74","1.4","30"
"2011","ACT","Female","Upper respiratory conditions","31. Upper respiratory conditions","25–74","1.4","31"
