"title","artist","medium","suburb","date","commissioned_details","aquisition_details","description","longitude"
"Ark in the Ark and Beyond","Wataru Hamasaka","White granite","Belconnen","2009",,"artsACT Chief Minister's Sculpture Acquisition Round 2","Two arks have been carved out of a single piece of white granite and the addition of water creates this beautiful floating ark within an ark. The artist's inspiration originates from the Iwafune Shrine in Osaka  a massive, boatshaped, traditional Shinto rock shrine.","(-35.23551, 149.068299)"
"Droplet","Stuart Green","Electropolished 316 grade stainless steel","Woden","2012","artsACT",,"Droplet is a familiar geometric shape, classical in its simplicity, which references a drop of water.","(-35.34184, 149.083904)"
"ACT Memorial","Matthew Harding","Stainless steel, granite, optic fibres and lighting","Civic","2005","artsACT",,"The ACT Memorial was commissioned by the ACT Government to honour all those people who have had an association with the ACT and who have served their country in war, conflict, peacekeeping and humanitarian missions.","(-35.28073, 149.131722)"
"Centricity","Matthew Harding and Mark Wooston","Etched glass panels and fibre optic light","Civic","2001","artsACT",,"Centricity contains three elements situated in Civic Square, an adjoining stairwell and the entrance to the Craft ACT gallery. Ripple refers to ripples of influence, Fingerprint refers to the materiality of craft and the concentric pattern of Canberra’s unique city plan and Crucible, a showcase featuring changing exhibitions.","(-35.280636, 149.131014)"
"Untitled (S Maritti, 1967)","S Maritti","Copper coated concrete (later painted)","Civic","1967","Commonwealth Bank",,"This work is integrated with the building façade and was designed to complement the Commonwealth Bank building’s architecture.","(-35.281262, 149.131744)"
"Nest III","Richard Moffatt","Steel found objects, boulders","North Canberra","2009","artsACT",,"Nest III is made from welded steel found objects. It depicts an eagle sitting upon a nest over a rocky outcrop.","(-35.292244, 149.064737)"
"Cumulus Aeronauticus","Geoff FarquharStill","Stainless Steel","Belconnen","2012","artsACT",,"This artwork suggests movement of planes, people and celestial navigation.","(-35.233393, 149.040155)"
"Winds of Light","Peter Blizzard","Steel, brass, aluminium","Belconnen","2011","artsACT",,"This sculpture is the last public artwork of the well known artist, Peter Blizzard. His practice was unique in his use of contrasting materials as an ongoing investigation into the relationship of nature to the human spirit. He believed that we should venerate and respect what we have. This work is the artist’s response to the effect that grandeur, colour, light, texture and form within the natural landscape have on the wellbeing of the human spirit.","(-35.238004, 149.071979)"
"Sweet Justice","Wendy Mills","Water sculpture with glass tiles, fibre optic lighting and air","Civic","2003","artsACT",,"The work is located near the law courts and many legal offices and combines water, light and air. The word ‘sweet’ appears under water on a tiled surface.","(-35.278864, 149.126734)"
"Private Poetry","Richard Tipping","Steel","Civic","2011","artsACT",,"Private Poetry by Richard Tipping was purchased from Sculpture by the Sea in 2011, and has been erected as an adjunct to the Poets’ Corner installation in Garema Place.","(-35.27838, 149.131948)"
"Fenix 2","N/A","Stainless steel","Civic","2011","artsACT",,"Fenix 2 is a replica of the capsule that rescued 33 trapped miners from the San Jose mine in the Atacama Desert, Chile in October 2010.","(-35.2777, 149.125704)"
"Fireline","Nola Farman","Fibreoptic and glass tiles","Civic","1997","artsACT",,"At night Fireline’s flickering flames travel from its starting point at the front of Civic Square. Civic Square was built on grasslands which the traditional owners managed by fire. This work acknowledges the relationship of the Ngunnawal people to the region.","(-35.281163, 149.130998)"
"Gungahlin Drive Extension Artworks","Richard Goodwin","Various media","North Canberra","2007","Territory and Municipal Services Directorate",,"The objectives of the Gungahlin Drive Extension Public Art Program were to enhance the driving/riding experience and respond to the characteristics of the urban, natural and community environments.","(-35.224587, 149.119148)"
"We Are Fishes","Andrew Townsend","Galvanised steel, cast black patinated aluminium, hollow form copper sheet with green patination","Tuggeranong","1997","artsACT",,"A pair of wind vanes in the shape of fish appear to swim through the air between the Tuggeranong Arts Centre and Lake Tuggeranong. One fish is cast black patinated aluminium, the other hollow form copper sheet with green patination. The work reflects life in the adjacent lake and plays on the nautical architecture of the Arts Centre building.","(-35.410319, 149.06971)"
"Untitled (Gerald and Margo Lewers, 1965)","Gerald and Margo Lewers","Four piece wall sculpture, cast copper","Civic","1965","Reserve Bank",,"The original maquette for this work was designed and fabricated by Gerald Lewers, and developed and executed by Margo Lewers after his death. This 17 metre long sculpture includes a fulcrum and two weights symbolizing the Reserve Bank’s role in balancing the economy.","(-35.280354, 149.126983)"
"The Encounter","Hugo Morales","Steel","Civic","2014","artsACT",,"The Encounter commemorates the 2006 meeting of sculptors in Palmar, in Uruguay’s Soriano Province.","(-35.277614, 149.125999)"
"Aquila","Phil Spelman","Polyurethane painted fabricated steel","Civic","2007","artsACT",,"Aquila is a sculptural arrangement of positive and negative shapes. A careful balance of form is revealed as you move around the sculpture. Aquila in Greek Mythology is the constellation of the eagle, a widewinged soaring bird which carried the thunderbolts of Zeus.","(-35.28443, 149.134877)"
"Microscopia","Warren Langley","Glass, steel, LEDs",,"2010","artsACT",,"Microscopia is a large scale wall mounted artwork made of glass and light.","(-35.345402, 149.100759)"
"Reclamation: Culture, Spirit and Place","Sandra Hill (Nyoongar) and Jim Williams (Ngunnawal)","Mixed media","Civic","2007","artsACT",,"Reclamation: Culture, Spirit and Place celebrates the survival of the spirit, and the courage and the dignity shown by the Ngunnawal people as they move forward into the future. The artwork consists of a ceramic tile mosaic set into the pavement and decorative metal panels which depict a variety of totemic animals and references to the Molonglo River.","(-35.278823, 149.13161)"
"Dinornis Maximus","Phil Price","Kinetic sculpture","Woden","2008","artsACT",,"Dinornis maximus is a prominent 11 metre tall windactivated kinetic sculpture. The artwork forms a striking gateway on the northern edge of Woden Town Centre. The sculpture uses fullysealed rolling bearing systems designed for longevity and environmental resilience to create 'a wind powered ballet in the sky'. In describing his artworks New Zealand artist Phil Price says he seeks a 'combination of movement that provides a flow and a dance'.","(-35.334125, 149.086425)"
"Untitled (Paul Piesley, 2001)","Paul Piesley","Silk screen printed image on bus shelter roofs","Civic","2001","artsACT",,"This integrated work is screenprinted on the awnings of the city centre's bus platforms. Screenprinted footprints provide shade whilst representing the day to day pedestrian traffic in the area, reminding people of the many others who have passed through here before them.","(-35.27854, 149.130617)"
"Running Lights","Thylacine Art Projects","Mixed media","Belconnen","2006","artsACT",,"Running Lights is a series of brightlycoloured columns that respond to Lake Ginninderra and its environment. They chime and sway, and in the evening they shine across the water.","(-35.237032, 149.072746)"
"Young Eagle","Qian Jian Hua","Bronze","Civic","2009","artsACT",,"This bronze sculpture of a young eagle looks keenly down from its perch into the busy activity of Bunda Street. The sculpture evokes the strength, optimism and freedom of youth  a spirit that can be embraced at any age.","(-35.278218, 149.132616)"
"Twilight","Christopher Chapman and Ivan Siebel","Formed concrete, street lamps and brass lettering.","Civic","2004","artsACT",,"Twilight is an evocative and enigmatic public artwork that exists between sculpture, architecture, and landscape design. It evokes qualities of a memorial, monument and meeting place. Its form echoes the geometry and symbolism of Canberra's urban plan.","(-35.278413, 149.137977)"
"Habitat","Martin Moore","Bronze, marine turpentine","North Canberra","2010","artsACT",,"This group of nine sculptures sensitively portray a range of animals that are endemic to the ACT. Acorns are included as a playful reference to Ainslie's well established oak trees. Habitat reflects on this area's close proximity to the Mount Ainslie Nature Reserve and the daily experience of seeing native wildlife interact with an exotic treescape.","(-35.262285, 149.145222)"
"Life boat/Thuyen Cuu Roi","Nerine Martini","Wood, steel, lead, lacquer","Civic","2006",,"artsACT","Life Boat/Thuyen Cuu Roi is constructed from an old wooden boat which came from Hoi An in Vietnam. The arms/oars are carved from recycled timber and coated with lacquer using traditional Vietnamese techniques. In the artist's words Life Boat/Thuyen Cuu Roi seeks to embody ocean journeys of courage and compassion.","(-35.281214, 149.130529)"
"Circuitry","Fiona Hooton","Painted steel","Civic","2001","artsACT",,"This work is a red towerlike form constructed from an interlocking network of shapes based on a simplified human figure. The sculpture symbolises the dynamic flows of people, transport and information that fill, move though, and empty from the circulatory system of the city.","(-35.278273, 149.130419)"
"Mohandas Karamchand Gandhi","Ram V. Sutar","Bronze","Civic","2002","artsACT",,"A tribute to Gandhi, the apostle of non violence (Ahisma) and truth (Satyagrah). This sculpture lists Gandhi’s guildelines including","(-35.282412, 149.136057)"
"wide brown land","Marcus Tatton, Futago and Chris Viney","Corten Steel","South Canberra","2010","artsACT",,"This artwork celebrates Dorothea Mackellar's popular Australian poem My Country which was written in 1908. The sculptural forms that make up the work are inspired by the cursive style of Mackellar's own handwriting. The artwork frames a wide vista that stretches across the National Arboretum Canberra to the hills that mark Canberra's western and southern boundaries.","(-35.285757, 149.074903)"
"Seqvanae","Michael Kitching","Polished stainless steel and red fibreglass","Civic","1978","artsACT",,"The work forms a gateway to the ACT Health Building and is rich with symbolic references to health and medicine. The work is a tribute to 'Seqvanae', Roman goddess of healing and includes red and silver crosses and a snake representing the Greek doctor 'Aesculapius'. Lettering on the work resembles an optometrist's eye test chart.","(-35.278105, 149.127656)"
"Sir Robert Menzies","Peter Corlett","Bronze","Civic","2012","artsACT",,"The ACT Government commissioned Sir Robert Menzies and another artwork by Peter Corlett to celebrate and acknowledge former Prime Ministers that significantly supported the development of Canberra.","(-35.288796, 149.131486)"
"Owl","Bruce Armstrong","Cast composite, steel, hardwood, paint","Belconnen","2011","artsACT",,"This landmark sculpture honours the Powerful Owl, Ninox strenua, which is the largest owl species in Australasia. The owl is classified as an occasional resident to the ACT and has been sighted in the Australian National Botanic Gardens, Canberra Nature Park and Namadgi National Park. The owl has a commanding and enigmatic presence when encountered in the wild. The artist has portrayed the owl as a guardian spirit or totem overlooking its domain.","(-35.247639, 149.067639)"
"The Master's Voice","Sonia Leber and David Chesworth","Digital recording, stainless steel grilles","Civic","2001","artsACT",,"On the edge of City Walk is a concrete wall which houses a soundscape. The Master’s Voice ‘...trips up passersby, induces doubletakes, [and] private puzzled glances...' (Mitchell Whitelaw in Real Time Magazine #46, 2001).","(-35.281398, 149.132838)"
"On the Road Again","Anne Ross","Bronze","Woden","2011","artsACT",,"By Melbournebased artist and doglover Anne Ross, On the Road Again is a surreal take on life in the suburbs. The figure and canine companion are depicted driving up to the shops, only the car is missing.","(-35.33945, 149.076485)"
"The Fourth Pillar","Neil Roberts","Neon, rolled corrugated iron","Civic","1997","artsACT",,"The work features evocative blue neon phrases which stretch down a number of columns and are visible from the various mezzanine floors within the ACT Magistrates Court. By using lyrical everyday terms which have specific legal meanings the artist intended that the work would soften the experience for people visiting and working in this building.","(-35.280624, 149.128201)"
"DNA","Jonathon Leahey","Corten steel, stainless steel","South Canberra","2009","artsACT",,"The sculpture consists of 27 interconnected cubes. 26 are made from corten steel and one from mirrored stainless steel. The rusted elements blend together with the surrounding bushland setting while the single mirrored element reflects the presence of the viewer within the work. All 27 cubes combined would form a united cube with a ratio of 3:3.","(-35.299142, 149.110278)"
"Untitled (JeanPierre Rives, 2008)","JeanPierre Rives","Painted steel","Civic","2009","artsACT",,"This untitled abstract artwork was donated to the ACT Public Art Collection by Leighton Properties.","(-35.281675, 149.12512)"
"Untitled (G Duncan, B and F Waterman, 1985)","G Duncan, B and F Waterman","Ceramic tiles","Civic","1985","artsACT",,"This ceramic wall mural depicts native Australian flora and fauna and stretches from the outside of the Perpetual Building into the foyer.","(-35.27711, 149.127809)"
"Choice of Passage","Phil Spelman","Polyurethane painted fabricated steel","Civic","2008","artsACT",,"This sculpture uses abstract forms to create a sense of balance and poise. The columns create an archway, or passage, that could be a starting or finishing point. Choice of Passage is a part of a series of largescale artworks created with public space and public interaction in mind.","(-35.282107, 149.132208)"
"Stepping Out","Giovanna Ianniello and Gerard Murphy","Bronze","South Canberra","1997","artsACT",,"This life size, realist female figure, replete with hat and handbag has become a loved local at the Hughes Shopping Centre.","(-35.333183, 149.093767)"
"The Ability to Imagine","Peter Tilley","Cast iron, corten steel","Belconnen","2010",,"artsACT","This rusted steel sculpture portrays a poetic journey of the spirit. A figure, travel case in hand, contemplates a voyage that while imaginary does not appear to be without effort. The sculpture is one of a series of works through which the artist explores the concept of a journey as a metaphor for the search for meaning in life.","(-35.345531, 149.101585)"
"Egle Queen of Serpents","Ieva Pocius","Bronze","Civic","1988","artsACT",,"This work refers to a Lithuanian folk tale about Egle, a woman who married the king of sea serpents.","(-35.282013, 149.136415)"
"The Meeting Place","Silvio Gallelli","Glass","South Canberra","2008","artsACT",,"The Meeting Place is made up of seven layered glass figures installed on a glass wall.","(-35.371414, 149.172049)"
"Dreaming","Milan Vojsk","Cast bronze figure on natural rock in rectangular pool","Civic","1973","artsACT",,"This work was presented to the people of Canberra by the Reserve Bank of Australia.","(-35.28062, 149.126763)"
"Indigenous Ceramics","Hudson Alison, Robert Puruntatameri, Ngunytjima Carroll, Carol Williams, Janet DeBoos, Vivian Thompson, Kantjupai Baker","Ceramic","Civic","2009","artsACT",,"Indigenous ceramic artworks purchased from Three Communities One Voice exhibition at Watson Arts Centre.","(-35.281172, 149.130494)"
"Untitled (Andrew Townsend and Suzie Bleach, 1997)","Andrew Townsend and Suzie Bleach","Ceramic tiles mosaic","Woden","1997","artsACT",,"This lively mosaic provides a welcoming entry to the Family Health Centre.","(-35.323383, 149.078971)"
"Windstone  A Trail of a Cloud","Koichi Ishino","Stainless steel, granite","Civic","2010","artsACT",,"This sculpture combines materials that have very different visual and tactile qualities. The solidity and surface detail of natural granite is a sharp contrast to the ethereal, mirrored surface of stainless steel. Windstone brings a sensation of the material and immaterial together in one object. The artist's work has been described as an exploration of the experience of land and sky, and the concious and unconcious.","(-35.282, 149.135692)"
"Resilience","Ante Dabro","Bronze","Civic","2008","artsACT",,"Commissioned by Consolidated Builders Ltd, Resilience is on loan to the ACT Government. The location of this artwork is the result of a very successful collaboration between the ACT Government and the private developer, Consolidated Builders Ltd.","(-35.282315, 149.133851)"
"The Goongarline","Malcolm Utley","Granite, steel","Gungahlin","2008","Land Development Agency",,"The Goongarline draws inspiration from Gungahlin's rocky hills or 'Goongarline' as they were called by local Indigenous people at the time of European settlement.","(-35.186429, 149.134705)"
"A is for Alexander B is for Bunyip C is for Canberra","Anne Ross","Bronze, Stainless Steel, Glass, Light","Gungahlin","2011","artsACT",,"Alexander Bunyip is a character from the popular 1972 children's book, The Monster that Ate Canberra by author and illustrator, Michael Salmon. In what became a series of books the bunyip is portrayed as a bemused adventurer who comes up with some novel uses for Canberra’s iconic landmarks. Anne Ross playfully shows the bunyip with his trusty travel case in hand heading out from a day in the national triangle. Cast by Perrin Sculpture Foundry","(-35.184822, 149.132594)"
"Commemoration","Malcolm Munro","Painted steel","Belconnen","2000","artsACT",,"This work is dedicated to the volunteers and torch bearers who contributed to the 2000 Olympic and Paralympic games in Canberra.","(-35.248493, 149.101467)"
"Woden Flood Memorial","Neil Hobbs and Ian Marr","Carved stone and landscaping","Woden","2010","artsACT",,"The memorial is dedicated to the memory of seven young people, including four children, who lost their lives in the Woden Floods on Australia Day 1971.","(-35.335048, 149.085009)"
"House Proud","Neil Roberts","Neon light","Civic","1997","Cultural Facilities Corporation",,"Crowning the circular Playhouse theatre, this blue and white neon word game is one of Canberra’s highest profile public artworks. A series of words precede the word ‘house’.","(-35.28073, 149.130971)"
"Gather","Matthew Tobin","Bronze and mosaic tile","South Canberra","2007",,"Private owner","These sculptures mark the entry to a popular Canberra shopping and cafe precinct  Manuka. They appear as a group of surreal vegetative forms crowned with oversized seed pods (referencing nearby Liquidamber trees).","(-35.321152, 149.133407)"
"Gathering Place","Wellspring with Brian Carrick","Wood, stone, ceramic tiles and gravel","Tuggeranong","2001","artsACT",,"This work contributes to a recreational and ceremonial place that is intended to encourage a locallyfocussed, ongoing process of reconciliation between Aboriginal and non–Aboriginal people in the region. The four poles in the centre of the work are aligned with cardinal points: Ngunnawal to the East; Coming Together to the South; Reconciliation to the West and the Future, crowned by a wedge tailed eagle, to the North.","(-35.406804, 149.072263)"
