"region","suburb","location","type","surface","image_link","location_1","latitude","longitude"
"Gungahlin","Forde","Handbury Way Underpass","Underpass","Concrete","http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg","(-35.158836547443805, 149.1493958254703)","-35.158836547443805","149.1493958254703"
"Belconnen","Kaleen","Maribrynong Ave Underpass Between Tyrrell And Moruya","Underpass Walls","Concrete","http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg","(-35.22213891484769, 149.1111269309649)","-35.22213891484769","149.1111269309649"
"Tuggeranong","Kambah","Mount Neighbour Primary, Boddington Crescent","Hit Up Wall","Brick","http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg","(-35.383498654873165, 149.05255827975085)","-35.383498654873165","149.05255827975085"
"Tuggeranong","Calwell","Wall Of Bridge And Stormwater Drain Under Tharwa Dr","Underpass Stormwater Drain","Concrete","http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg","(-35.43782981922388, 149.12366278834858)","-35.43782981922388","149.12366278834858"
"Woden Weston","Chifley","Tuggeranong Pwy Underpass Between Warramanga And Chifley","Underpass Walls","Concrete","http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg","(-35.35755003594442, 149.06946138447248)","-35.35755003594442","149.06946138447248"
"Woden Weston","Curtin","Mcculloch St Underpass","Underpass","Concrete","http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg","(-35.31664081840338, 149.08181916127785)","-35.31664081840338","149.08181916127785"
"Belconnen","Belconnen","Lake Ginninderra Bridge West","Underbridge","Concrete","http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg","(-35.22892756879682, 149.07646363655954)","-35.22892756879682","149.07646363655954"
"Belconnen","Latham","Florey Dr Underpass","Underpass Walls","Concrete","http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg","(-35.215151711452386, 149.0197755181514)","-35.215151711452386","149.0197755181514"
"Tuggeranong","Isabella Plains","Ashley Drive At Tuggeranong Creek","Underpass","Concrete","http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg","(-35.42531471260325, 149.10322043041904)","-35.42531471260325","149.10322043041904"
"Belconnen","Hawker","Hawker College Basketball Court, Murranji Street","Hit Up Wall","Brick","http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg","(-35.24580875253142, 149.034173265157)","-35.24580875253142","149.034173265157"
"Tuggeranong","Greenway","Athllon Dr Underpass","Underpass","Concrete","http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg","(-35.39779386689123, 149.0687869796243)","-35.39779386689123","149.0687869796243"
"Inner South","Narrabundah","Jerrabomberra Sports Ground","Toilet Block","Concrete","http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg","(-35.332428575575875, 149.14617002224725)","-35.332428575575875","149.14617002224725"
"Woden Weston","Woden","Launceston Street Underpass Near Phillip College","Underpass Walls","Concrete","http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg","(-35.34137333271161, 149.08769687954356)","-35.34137333271161","149.08769687954356"
"Belconnen","Melba","Old Depot Wall South Facing Tenis Court","Old Depot Building","Brick","http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg","(-35.21422515376096, 149.05274050900337)","-35.21422515376096","149.05274050900337"
"Weston Creek","Holder","Cotter Road Cycle Underpass","Underpass","Concete","http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg","(-35.3272298024075, 149.05127453591766)","-35.3272298024075","149.05127453591766"
"Gungahlin","Ngunnawal","Yerrabi Spillway Mirrabei Dr","Spillway","Concrete","http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg","(-35.17780084489508, 149.12440893570235)","-35.17780084489508","149.12440893570235"
"Inner North","Lyneham","Lyneham Primary School Oval","Toilet Block","Concrete","http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg","(-35.25087953136395, 149.12913735345964)","-35.25087953136395","149.12913735345964"
"Woden Weston","Warramanga","Damala St Underpass","Underpass","Concrete","http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg","(-35.34938567290732, 149.0572590008966)","-35.34938567290732","149.0572590008966"
"Belconnen","Latham","Ginninderra Dr Underpass Ginninderra Ck","Underpass Walls","Concrete","http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg","(-35.210592020398295, 149.0369521675235)","-35.210592020398295","149.0369521675235"
"Woden Weston","Chifley","Chifley Oval Toilet Block","Toilet Block","Brick","http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg","(-35.35081874360807, 149.07779158768264)","-35.35081874360807","149.07779158768264"
"Tuggeranong","Isabella Plains","Road Bridge Narooma St","Underpass","Concrete","http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg","(-35.42873990010597, 149.0865929168742)","-35.42873990010597","149.0865929168742"
"Belconnen","Kaleen","Maribrynong Ave Underpass Between Diamantina And Daintree Cres","Underpass Walls","Concrete","http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg","(-35.23284055754549, 149.10679699531252)","-35.23284055754549","149.10679699531252"
"Gungahlin","Nicholls","Kelleway Ave Underpass","Underpass Walls","Concrete","http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg","(-35.1785303858001, 149.10598514662763)","-35.1785303858001","149.10598514662763"
"Belconnen","Florey","John Cleland Cres Underpass Near Florey Shops","Underpass Walls","Concrete","http://www.abc.net.au/reslib/201405/r1279159_17306753.jpg","(-35.225452257669744, 149.05539411384902)","-35.225452257669744","149.05539411384902"
