"year","region","category","topic","indicator","age","sex","result","unit","_95_ci_l","_95_ci_u","se","rse_25","notes","sex_indicator","year_sex","sex_year"
"2011/12","ACT","Health","Self-rated health","1. Excellent/very good","05 to 17","Person","72.2","Per cent","68.1","76","2",,,"Person _ 1. Excellent/very good","2011/12 Person","Person 2011/12"
"2013/14","ACT","Health","Self-rated health","1. Excellent/very good","05 to 17","Person","73.2","Per cent","68.6","77.3","2.2",,,"Person _ 1. Excellent/very good","2013/14 Person","Person 2013/14"
"2015/16","ACT","Health","Self-rated health","1. Excellent/very good","05 to 17","Person","74.8","Per cent","70.4","78.7","2.1",,,"Person _ 1. Excellent/very good","2015/16 Person","Person 2015/16"
"2018","ACT","Health","Self-rated health","1. Excellent/very good","05 to 17","Person","78.1","Per cent","71.5","83.5","3",,,"Person _ 1. Excellent/very good","2018 Person","Person 2018"
"2020","ACT","Health","Self-rated health","1. Excellent/very good","05 to 17","Person","79.6","Per cent","76.1","82.7","1.7",,,"Person _ 1. Excellent/very good","2020 Person","Person 2020"
"2011/12","ACT","Health","Self-rated health","2. Good","05 to 17","Person","18.6","Per cent","15.3","22.4","1.8",,,"Person _ 2. Good","2011/12 Person","Person 2011/12"
"2013/14","ACT","Health","Self-rated health","2. Good","05 to 17","Person","20","Per cent","16.3","24.3","2",,,"Person _ 2. Good","2013/14 Person","Person 2013/14"
"2015/16","ACT","Health","Self-rated health","2. Good","05 to 17","Person","17.7","Per cent","14.2","21.8","1.9",,,"Person _ 2. Good","2015/16 Person","Person 2015/16"
"2018","ACT","Health","Self-rated health","2. Good","05 to 17","Person","15.7","Per cent","10.8","22.1","2.9",,,"Person _ 2. Good","2018 Person","Person 2018"
"2020","ACT","Health","Self-rated health","2. Good","05 to 17","Person","15.1","Per cent","12.3","18.4","1.5",,,"Person _ 2. Good","2020 Person","Person 2020"
"2011/12","ACT","Health","Self-rated health","3. Fair/poor","05 to 17","Person","9.2","Per cent","6.9","12","1.3",,,"Person _ 3. Fair/poor","2011/12 Person","Person 2011/12"
"2013/14","ACT","Health","Self-rated health","3. Fair/poor","05 to 17","Person","6.8","Per cent","4.7","9.8","1.3",,,"Person _ 3. Fair/poor","2013/14 Person","Person 2013/14"
"2015/16","ACT","Health","Self-rated health","3. Fair/poor","05 to 17","Person","7.6","Per cent","5.6","10.2","1.2",,,"Person _ 3. Fair/poor","2015/16 Person","Person 2015/16"
"2018","ACT","Health","Self-rated health","3. Fair/poor","05 to 17","Person","6.3","Per cent","4","9.6","1.4",,,"Person _ 3. Fair/poor","2018 Person","Person 2018"
"2020","ACT","Health","Self-rated health","3. Fair/poor","05 to 17","Person","5.3","Per cent","3.9","7.3","0.9",,,"Person _ 3. Fair/poor","2020 Person","Person 2020"
"2011/12","ACT","Health","Self-rated health","1. Excellent/very good","05 to 17","Male","70.2","Per cent","64.3","75.5","2.9",,,"Male _ 1. Excellent/very good","2011/12 Male","Male 2011/12"
"2013/14","ACT","Health","Self-rated health","1. Excellent/very good","05 to 17","Male","72.2","Per cent","65.5","78","3.2",,,"Male _ 1. Excellent/very good","2013/14 Male","Male 2013/14"
"2015/16","ACT","Health","Self-rated health","1. Excellent/very good","05 to 17","Male","75","Per cent","68.8","80.2","2.9",,,"Male _ 1. Excellent/very good","2015/16 Male","Male 2015/16"
"2018","ACT","Health","Self-rated health","1. Excellent/very good","05 to 17","Male","81.9","Per cent","74.7","87.5","3.2",,,"Male _ 1. Excellent/very good","2018 Male","Male 2018"
"2020","ACT","Health","Self-rated health","1. Excellent/very good","05 to 17","Male","78.7","Per cent","73.2","83.3","2.6",,,"Male _ 1. Excellent/very good","2020 Male","Male 2020"
"2011/12","ACT","Health","Self-rated health","2. Good","05 to 17","Male","21.4","Per cent","16.6","27.2","2.7",,,"Male _ 2. Good","2011/12 Male","Male 2011/12"
"2013/14","ACT","Health","Self-rated health","2. Good","05 to 17","Male","20.6","Per cent","15.4","26.9","2.9",,,"Male _ 2. Good","2013/14 Male","Male 2013/14"
"2015/16","ACT","Health","Self-rated health","2. Good","05 to 17","Male","17.1","Per cent","12.5","22.9","2.7",,,"Male _ 2. Good","2015/16 Male","Male 2015/16"
"2018","ACT","Health","Self-rated health","2. Good","05 to 17","Male","10.4","Per cent","6.4","16.5","2.5",,,"Male _ 2. Good","2018 Male","Male 2018"
"2020","ACT","Health","Self-rated health","2. Good","05 to 17","Male","14.7","Per cent","10.7","19.8","2.3",,,"Male _ 2. Good","2020 Male","Male 2020"
"2011/12","ACT","Health","Self-rated health","3. Fair/poor","05 to 17","Male","8.4","Per cent","5.8","11.9","1.5",,,"Male _ 3. Fair/poor","2011/12 Male","Male 2011/12"
"2013/14","ACT","Health","Self-rated health","3. Fair/poor","05 to 17","Male","7.2","Per cent","4.4","11.7","1.8","25.3",,"Male _ 3. Fair/poor","2013/14 Male","Male 2013/14"
"2015/16","ACT","Health","Self-rated health","3. Fair/poor","05 to 17","Male","8","Per cent","5.4","11.6","1.6",,,"Male _ 3. Fair/poor","2015/16 Male","Male 2015/16"
"2018","ACT","Health","Self-rated health","3. Fair/poor","05 to 17","Male","7.6","Per cent","4.4","13","2.1","27.8",,"Male _ 3. Fair/poor","2018 Male","Male 2018"
"2020","ACT","Health","Self-rated health","3. Fair/poor","05 to 17","Male","6.6","Per cent","4.3","10","1.4",,,"Male _ 3. Fair/poor","2020 Male","Male 2020"
"2011/12","ACT","Health","Self-rated health","1. Excellent/very good","05 to 17","Female","74.2","Per cent","68.2","79.5","2.9",,,"Female _ 1. Excellent/very good","2011/12 Female","Female 2011/12"
"2013/14","ACT","Health","Self-rated health","1. Excellent/very good","05 to 17","Female","74.3","Per cent","67.7","79.9","3.1",,,"Female _ 1. Excellent/very good","2013/14 Female","Female 2013/14"
"2015/16","ACT","Health","Self-rated health","1. Excellent/very good","05 to 17","Female","74.6","Per cent","68.1","80.2","3.1",,,"Female _ 1. Excellent/very good","2015/16 Female","Female 2015/16"
"2018","ACT","Health","Self-rated health","1. Excellent/very good","05 to 17","Female","74.3","Per cent","63.4","82.9","5",,,"Female _ 1. Excellent/very good","2018 Female","Female 2018"
"2020","ACT","Health","Self-rated health","1. Excellent/very good","05 to 17","Female","80.4","Per cent","75.7","84.4","2.2",,,"Female _ 1. Excellent/very good","2020 Female","Female 2020"
"2011/12","ACT","Health","Self-rated health","2. Good","05 to 17","Female","15.9","Per cent","11.7","21.1","2.4",,,"Female _ 2. Good","2011/12 Female","Female 2011/12"
"2013/14","ACT","Health","Self-rated health","2. Good","05 to 17","Female","19.3","Per cent","14.3","25.5","2.8",,,"Female _ 2. Good","2013/14 Female","Female 2013/14"
"2015/16","ACT","Health","Self-rated health","2. Good","05 to 17","Female","18.2","Per cent","13.4","24.4","2.8",,,"Female _ 2. Good","2015/16 Female","Female 2015/16"
"2018","ACT","Health","Self-rated health","2. Good","05 to 17","Female","20.8","Per cent","12.8","31.9","4.9",,,"Female _ 2. Good","2018 Female","Female 2018"
"2020","ACT","Health","Self-rated health","2. Good","05 to 17","Female","15.5","Per cent","11.9","19.9","2",,,"Female _ 2. Good","2020 Female","Female 2020"
"2011/12","ACT","Health","Self-rated health","3. Fair/poor","05 to 17","Female","9.9","Per cent","6.6","14.7","2.1",,,"Female _ 3. Fair/poor","2011/12 Female","Female 2011/12"
"2013/14","ACT","Health","Self-rated health","3. Fair/poor","05 to 17","Female","6.4","Per cent","3.7","10.9","1.8","27.2",,"Female _ 3. Fair/poor","2013/14 Female","Female 2013/14"
"2015/16","ACT","Health","Self-rated health","3. Fair/poor","05 to 17","Female","7.2","Per cent","4.4","11.5","1.8",,,"Female _ 3. Fair/poor","2015/16 Female","Female 2015/16"
"2018","ACT","Health","Self-rated health","3. Fair/poor","05 to 17","Female","4.9","Per cent","2.4","9.8","1.8","36.1",,"Female _ 3. Fair/poor","2018 Female","Female 2018"
"2020","ACT","Health","Self-rated health","3. Fair/poor","05 to 17","Female","4.1","Per cent","2.5","6.6","1",,,"Female _ 3. Fair/poor","2020 Female","Female 2020"
"2011/12","ACT","Health","Self-rated health","1. Excellent/very good","18+","Person","54","Per cent","50.9","57","1.6",,,"Person _ 1. Excellent/very good","2011/12 Person","Person 2011/12"
"2013/14","ACT","Health","Self-rated health","1. Excellent/very good","18+","Person","52.9","Per cent","49.6","56.2","1.7",,,"Person _ 1. Excellent/very good","2013/14 Person","Person 2013/14"
"2015/16","ACT","Health","Self-rated health","1. Excellent/very good","18+","Person","57.5","Per cent","54","60.9","1.8",,,"Person _ 1. Excellent/very good","2015/16 Person","Person 2015/16"
"2018","ACT","Health","Self-rated health","1. Excellent/very good","18+","Person","47.4","Per cent","44","50.9","1.8",,,"Person _ 1. Excellent/very good","2018 Person","Person 2018"
"2019","ACT","Health","Self-rated health","1. Excellent/very good","18+","Person","52","Per cent","49","54.9","1.5",,,"Person _ 1. Excellent/very good","2019 Person","Person 2019"
"2020","ACT","Health","Self-rated health","1. Excellent/very good","18+","Person","54.5","Per cent","50.6","58.3","2",,,"Person _ 1. Excellent/very good","2020 Person","Person 2020"
"2011/12","ACT","Health","Self-rated health","2. Good","18+","Person","28.5","Per cent","25.8","31.3","1.4",,,"Person _ 2. Good","2011/12 Person","Person 2011/12"
"2013/14","ACT","Health","Self-rated health","2. Good","18+","Person","28.4","Per cent","25.5","31.4","1.5",,,"Person _ 2. Good","2013/14 Person","Person 2013/14"
"2015/16","ACT","Health","Self-rated health","2. Good","18+","Person","26","Per cent","23.1","29.2","1.6",,,"Person _ 2. Good","2015/16 Person","Person 2015/16"
"2018","ACT","Health","Self-rated health","2. Good","18+","Person","30.7","Per cent","27.6","34","1.6",,,"Person _ 2. Good","2018 Person","Person 2018"
"2019","ACT","Health","Self-rated health","2. Good","18+","Person","31.3","Per cent","28.6","34.3","1.4",,,"Person _ 2. Good","2019 Person","Person 2019"
"2020","ACT","Health","Self-rated health","2. Good","18+","Person","29.4","Per cent","26.1","33","1.8",,,"Person _ 2. Good","2020 Person","Person 2020"
"2011/12","ACT","Health","Self-rated health","3. Fair/poor","18+","Person","17.5","Per cent","15.4","19.9","1.2",,,"Person _ 3. Fair/poor","2011/12 Person","Person 2011/12"
"2013/14","ACT","Health","Self-rated health","3. Fair/poor","18+","Person","18.7","Per cent","16.4","21.3","1.3",,,"Person _ 3. Fair/poor","2013/14 Person","Person 2013/14"
"2015/16","ACT","Health","Self-rated health","3. Fair/poor","18+","Person","16.4","Per cent","14.1","19.1","1.3",,,"Person _ 3. Fair/poor","2015/16 Person","Person 2015/16"
"2018","ACT","Health","Self-rated health","3. Fair/poor","18+","Person","21.9","Per cent","19","25","1.5",,,"Person _ 3. Fair/poor","2018 Person","Person 2018"
"2019","ACT","Health","Self-rated health","3. Fair/poor","18+","Person","16.7","Per cent","14.7","18.9","1.1",,,"Person _ 3. Fair/poor","2019 Person","Person 2019"
"2020","ACT","Health","Self-rated health","3. Fair/poor","18+","Person","16.1","Per cent","13.4","19.3","1.5",,,"Person _ 3. Fair/poor","2020 Person","Person 2020"
"2011/12","ACT","Health","Self-rated health","1. Excellent/very good","18+","Male","56.4","Per cent","51.8","60.9","2.3",,,"Male _ 1. Excellent/very good","2011/12 Male","Male 2011/12"
"2013/14","ACT","Health","Self-rated health","1. Excellent/very good","18+","Male","55.3","Per cent","50.4","60","2.5",,,"Male _ 1. Excellent/very good","2013/14 Male","Male 2013/14"
"2015/16","ACT","Health","Self-rated health","1. Excellent/very good","18+","Male","56.9","Per cent","51.6","62","2.7",,,"Male _ 1. Excellent/very good","2015/16 Male","Male 2015/16"
"2018","ACT","Health","Self-rated health","1. Excellent/very good","18+","Male","44.6","Per cent","39.7","49.7","2.6",,,"Male _ 1. Excellent/very good","2018 Male","Male 2018"
"2019","ACT","Health","Self-rated health","1. Excellent/very good","18+","Male","55.6","Per cent","51.1","60","2.3",,,"Male _ 1. Excellent/very good","2019 Male","Male 2019"
"2020","ACT","Health","Self-rated health","1. Excellent/very good","18+","Male","56.7","Per cent","51","62.1","2.8",,,"Male _ 1. Excellent/very good","2020 Male","Male 2020"
"2011/12","ACT","Health","Self-rated health","2. Good","18+","Male","29.7","Per cent","25.7","34.1","2.1",,,"Male _ 2. Good","2011/12 Male","Male 2011/12"
"2013/14","ACT","Health","Self-rated health","2. Good","18+","Male","29.1","Per cent","24.8","33.8","2.3",,,"Male _ 2. Good","2013/14 Male","Male 2013/14"
"2015/16","ACT","Health","Self-rated health","2. Good","18+","Male","27.5","Per cent","23","32.5","2.4",,,"Male _ 2. Good","2015/16 Male","Male 2015/16"
"2018","ACT","Health","Self-rated health","2. Good","18+","Male","34","Per cent","29.3","39","2.5",,,"Male _ 2. Good","2018 Male","Male 2018"
"2019","ACT","Health","Self-rated health","2. Good","18+","Male","30.6","Per cent","26.4","35","2.2",,,"Male _ 2. Good","2019 Male","Male 2019"
"2020","ACT","Health","Self-rated health","2. Good","18+","Male","29.6","Per cent","24.8","35","2.6",,,"Male _ 2. Good","2020 Male","Male 2020"
"2011/12","ACT","Health","Self-rated health","3. Fair/poor","18+","Male","13.9","Per cent","11.2","17.1","1.5",,,"Male _ 3. Fair/poor","2011/12 Male","Male 2011/12"
"2013/14","ACT","Health","Self-rated health","3. Fair/poor","18+","Male","15.6","Per cent","12.5","19.3","1.7",,,"Male _ 3. Fair/poor","2013/14 Male","Male 2013/14"
"2015/16","ACT","Health","Self-rated health","3. Fair/poor","18+","Male","15.7","Per cent","12.3","19.7","1.9",,,"Male _ 3. Fair/poor","2015/16 Male","Male 2015/16"
"2018","ACT","Health","Self-rated health","3. Fair/poor","18+","Male","21.4","Per cent","17.2","26.2","2.3",,,"Male _ 3. Fair/poor","2018 Male","Male 2018"
"2019","ACT","Health","Self-rated health","3. Fair/poor","18+","Male","13.8","Per cent","11.2","17","1.5",,,"Male _ 3. Fair/poor","2019 Male","Male 2019"
"2020","ACT","Health","Self-rated health","3. Fair/poor","18+","Male","13.7","Per cent","10.2","18.2","2",,,"Male _ 3. Fair/poor","2020 Male","Male 2020"
"2011/12","ACT","Health","Self-rated health","1. Excellent/very good","18+","Female","51.7","Per cent","47.6","55.8","2.1",,,"Female _ 1. Excellent/very good","2011/12 Female","Female 2011/12"
"2013/14","ACT","Health","Self-rated health","1. Excellent/very good","18+","Female","50.9","Per cent","46.4","55.3","2.3",,,"Female _ 1. Excellent/very good","2013/14 Female","Female 2013/14"
"2015/16","ACT","Health","Self-rated health","1. Excellent/very good","18+","Female","58.1","Per cent","53.5","62.6","2.3",,,"Female _ 1. Excellent/very good","2015/16 Female","Female 2015/16"
"2018","ACT","Health","Self-rated health","1. Excellent/very good","18+","Female","50.1","Per cent","45.5","54.8","2.4",,,"Female _ 1. Excellent/very good","2018 Female","Female 2018"
"2019","ACT","Health","Self-rated health","1. Excellent/very good","18+","Female","48.4","Per cent","44.6","52.3","2",,,"Female _ 1. Excellent/very good","2019 Female","Female 2019"
"2020","ACT","Health","Self-rated health","1. Excellent/very good","18+","Female","53.2","Per cent","48","58.4","2.7",,,"Female _ 1. Excellent/very good","2020 Female","Female 2020"
"2011/12","ACT","Health","Self-rated health","2. Good","18+","Female","27.3","Per cent","23.9","31.1","1.8",,,"Female _ 2. Good","2011/12 Female","Female 2011/12"
"2013/14","ACT","Health","Self-rated health","2. Good","18+","Female","27.7","Per cent","24","31.8","2",,,"Female _ 2. Good","2013/14 Female","Female 2013/14"
"2015/16","ACT","Health","Self-rated health","2. Good","18+","Female","24.7","Per cent","20.9","29","2.1",,,"Female _ 2. Good","2015/16 Female","Female 2015/16"
"2018","ACT","Health","Self-rated health","2. Good","18+","Female","27.5","Per cent","23.6","31.7","2.1",,,"Female _ 2. Good","2018 Female","Female 2018"
"2019","ACT","Health","Self-rated health","2. Good","18+","Female","32.1","Per cent","28.5","35.9","1.9",,,"Female _ 2. Good","2019 Female","Female 2019"
"2020","ACT","Health","Self-rated health","2. Good","18+","Female","29","Per cent","24.6","33.9","2.4",,,"Female _ 2. Good","2020 Female","Female 2020"
"2011/12","ACT","Health","Self-rated health","3. Fair/poor","18+","Female","21","Per cent","17.8","24.6","1.7",,,"Female _ 3. Fair/poor","2011/12 Female","Female 2011/12"
"2013/14","ACT","Health","Self-rated health","3. Fair/poor","18+","Female","21.4","Per cent","18","25.2","1.8",,,"Female _ 3. Fair/poor","2013/14 Female","Female 2013/14"
"2015/16","ACT","Health","Self-rated health","3. Fair/poor","18+","Female","17.2","Per cent","14.1","20.7","1.7",,,"Female _ 3. Fair/poor","2015/16 Female","Female 2015/16"
"2018","ACT","Health","Self-rated health","3. Fair/poor","18+","Female","22.4","Per cent","18.7","26.6","2",,,"Female _ 3. Fair/poor","2018 Female","Female 2018"
"2019","ACT","Health","Self-rated health","3. Fair/poor","18+","Female","19.5","Per cent","16.7","22.7","1.5",,,"Female _ 3. Fair/poor","2019 Female","Female 2019"
"2020","ACT","Health","Self-rated health","3. Fair/poor","18+","Female","17.8","Per cent","14","22.2","2.1",,,"Female _ 3. Fair/poor","2020 Female","Female 2020"
"2011/12","ACT","Health","Self-rated health","1. Excellent/very good","18 to 24","Person","55.5","Per cent","46","64.6","4.8",,,"18 to 24 _ 1. Excellent/very good","2011/12 Person","Person 2011/12"
"2013/14","ACT","Health","Self-rated health","1. Excellent/very good","18 to 24","Person","66.1","Per cent","55.1","75.5","5.2",,,"18 to 24 _ 1. Excellent/very good","2013/14 Person","Person 2013/14"
"2015/16","ACT","Health","Self-rated health","1. Excellent/very good","18 to 24","Person","57.9","Per cent","45.8","69","6",,,"18 to 24 _ 1. Excellent/very good","2015/16 Person","Person 2015/16"
"2018","ACT","Health","Self-rated health","1. Excellent/very good","18 to 24","Person","45.7","Per cent","32.6","59.4","7",,,"18 to 24 _ 1. Excellent/very good","2018 Person","Person 2018"
"2019","ACT","Health","Self-rated health","1. Excellent/very good","18 to 24","Person",,"Per cent",,,,,"Not published","18 to 24 _ 1. Excellent/very good","2019 Person","Person 2019"
"2020","ACT","Health","Self-rated health","1. Excellent/very good","18 to 24","Person","61.1","Per cent","45.2","75","7.8",,,"18 to 24 _ 1. Excellent/very good","2020 Person","Person 2020"
"2011/12","ACT","Health","Self-rated health","2. Good","18 to 24","Person","29.2","Per cent","21.2","38.7","4.5",,,"18 to 24 _ 2. Good","2011/12 Person","Person 2011/12"
"2013/14","ACT","Health","Self-rated health","2. Good","18 to 24","Person","25.1","Per cent","16.7","35.8","4.9",,,"18 to 24 _ 2. Good","2013/14 Person","Person 2013/14"
"2015/16","ACT","Health","Self-rated health","2. Good","18 to 24","Person","31.2","Per cent","21.2","43.3","5.7",,,"18 to 24 _ 2. Good","2015/16 Person","Person 2015/16"
"2018","ACT","Health","Self-rated health","2. Good","18 to 24","Person","28.4","Per cent","17.8","42","6.3",,,"18 to 24 _ 2. Good","2018 Person","Person 2018"
"2019","ACT","Health","Self-rated health","2. Good","18 to 24","Person","47.9","Per cent","36","60","6.3",,,"18 to 24 _ 2. Good","2019 Person","Person 2019"
"2020","ACT","Health","Self-rated health","2. Good","18 to 24","Person",,"Per cent",,,,,"Not published","18 to 24 _ 2. Good","2020 Person","Person 2020"
"2011/12","ACT","Health","Self-rated health","3. Fair/poor","18 to 24","Person","15.3","Per cent","9.9","22.9","3.3",,,"18 to 24 _ 3. Fair/poor","2011/12 Person","Person 2011/12"
"2013/14","ACT","Health","Self-rated health","3. Fair/poor","18 to 24","Person","8.9","Per cent","4.6","16.5","2.9","32.8",,"18 to 24 _ 3. Fair/poor","2013/14 Person","Person 2013/14"
"2015/16","ACT","Health","Self-rated health","3. Fair/poor","18 to 24","Person","10.9","Per cent","5.6","20.3","3.6","33.2",,"18 to 24 _ 3. Fair/poor","2015/16 Person","Person 2015/16"
"2018","ACT","Health","Self-rated health","3. Fair/poor","18 to 24","Person","25.9","Per cent","15.4","40.2","6.4",,,"18 to 24 _ 3. Fair/poor","2018 Person","Person 2018"
"2019","ACT","Health","Self-rated health","3. Fair/poor","18 to 24","Person",,"Per cent",,,,,"Not published","18 to 24 _ 3. Fair/poor","2019 Person","Person 2019"
"2020","ACT","Health","Self-rated health","3. Fair/poor","18 to 24","Person",,"Per cent",,,,,"Not published","18 to 24 _ 3. Fair/poor","2020 Person","Person 2020"
"2011/12","ACT","Health","Self-rated health","1. Excellent/very good","25 to 44","Person","56.5","Per cent","51","61.9","2.8",,,"25 to 44 _ 1. Excellent/very good","2011/12 Person","Person 2011/12"
"2013/14","ACT","Health","Self-rated health","1. Excellent/very good","25 to 44","Person","55.6","Per cent","49.1","61.9","3.3",,,"25 to 44 _ 1. Excellent/very good","2013/14 Person","Person 2013/14"
"2015/16","ACT","Health","Self-rated health","1. Excellent/very good","25 to 44","Person","60.8","Per cent","53.7","67.5","3.5",,,"25 to 44 _ 1. Excellent/very good","2015/16 Person","Person 2015/16"
"2018","ACT","Health","Self-rated health","1. Excellent/very good","25 to 44","Person","50","Per cent","44.5","55.4","2.8",,,"25 to 44 _ 1. Excellent/very good","2018 Person","Person 2018"
"2019","ACT","Health","Self-rated health","1. Excellent/very good","25 to 44","Person","52.4","Per cent","47.4","57.4","2.6",,,"25 to 44 _ 1. Excellent/very good","2019 Person","Person 2019"
"2020","ACT","Health","Self-rated health","1. Excellent/very good","25 to 44","Person","57.7","Per cent","51.9","63.4","2.9",,,"25 to 44 _ 1. Excellent/very good","2020 Person","Person 2020"
"2011/12","ACT","Health","Self-rated health","2. Good","25 to 44","Person","29","Per cent","24.3","34.3","2.5",,,"25 to 44 _ 2. Good","2011/12 Person","Person 2011/12"
