"year","region","stateofresidence","category","indicator","characteristic","age","sex","cases","rate","rse","lowerconfidenceinterval","upperconfidenceinterval","comment","denominator","visualflag"
"2000","ACT","ACT","Mothers and babies","Liveborn babies weighing less than 2500g","All","0","Person","228","5.5","6.4","4.82","6.21",,"4135","No"
"2001","ACT","ACT","Mothers and babies","Liveborn babies weighing less than 2500g","All","0","Person","215","5.6","6.6","4.85","6.3",,"3856","No"
"2002","ACT","ACT","Mothers and babies","Liveborn babies weighing less than 2500g","All","0","Person","217","5.4","6.6","4.7","6.09",,"4022","No"
"2003","ACT","ACT","Mothers and babies","Liveborn babies weighing less than 2500g","All","0","Person","191","4.7","7.1","4.04","5.34",,"4072","No"
"2004","ACT","ACT","Mothers and babies","Liveborn babies weighing less than 2500g","All","0","Person","261","6.4","6","5.64","7.14",,"4085","No"
"2005","ACT","ACT","Mothers and babies","Liveborn babies weighing less than 2500g","All","0","Person","257","6.1","6","5.34","6.77",,"4246","No"
"2006","ACT","ACT","Mothers and babies","Liveborn babies weighing less than 2500g","All","0","Person","267","5.9","5.9","5.19","6.56",,"4543","No"
"2007","ACT","ACT","Mothers and babies","Liveborn babies weighing less than 2500g","All","0","Person","260","5.7","6","5","6.33",,"4589","No"
"2008","ACT","ACT","Mothers and babies","Liveborn babies weighing less than 2500g","All","0","Person","235","4.9","6.4","4.33","5.56",,"4753","No"
"2009","ACT","ACT","Mothers and babies","Liveborn babies weighing less than 2500g","All","0","Person","240","4.9","6.3","4.33","5.55",,"4861","No"
"2010","ACT","ACT","Mothers and babies","Liveborn babies weighing less than 2500g","All","0","Person","266","5.4","6","4.76","6.02",,"4933","Yes"
"2011","ACT","ACT","Mothers and babies","Liveborn babies weighing less than 2500g","All","0","Person","306","6.4","5.5","5.67","7.05",,"4809","Yes"
"2012","ACT","ACT","Mothers and babies","Liveborn babies weighing less than 2500g","All","0","Person","309","5.9","5.5","5.28","6.56",,"5216","Yes"
"2013","ACT","ACT","Mothers and babies","Liveborn babies weighing less than 2500g","All","0","Person","320","6","5.4","5.37","6.64",,"5329","Yes"
"2014","ACT","ACT","Mothers and babies","Liveborn babies weighing less than 2500g","All","0","Person","353","6.4","5.1","5.79","7.09",,"5485","Yes"
"2015","ACT","ACT","Mothers and babies","Liveborn babies weighing less than 2500g","All","0","Person","349","6.3","5.2","5.7","6.99",,"5500","Yes"
"2016","ACT","ACT","Mothers and babies","Liveborn babies weighing less than 2500g","All","0","Person","340","6","5.3","5.4","6.64",,"5649","Yes"
"2017","ACT","ACT","Mothers and babies","Liveborn babies weighing less than 2500g","All","0","Person","359","6.7","5.1","6.05","7.39",,"5340","Yes"
"2018","ACT","ACT","Mothers and babies","Liveborn babies weighing less than 2500g","All","0","Person","316","6.2","5.4","5.52","6.84",,"5111","Yes"
"2019","ACT","ACT","Mothers and babies","Liveborn babies weighing less than 2500g","All","0","Person","319","5.9","5.4","5.31","6.58",,"5367","Yes"
"2001","ACT","ACT","Mothers and babies","Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status","Aboriginal and Torres Strait Islander mother","0","Person","5","12.5","41.8","2.25","22.75","*","40","No"
"2001","ACT","ACT","Mothers and babies","Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status","Non-Aboriginal or Torres Strait Islander mother","0","Person","210","5.5","6.7","4.79","6.24",,"3807","No"
"2002","ACT","ACT","Mothers and babies","Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status","Aboriginal and Torres Strait Islander mother","0","Person","5","10","42.4","1.68","18.32","*","50","No"
"2002","ACT","ACT","Mothers and babies","Proportion of liveborn babies less than 2500g by Aboriginal and Torres Strait Islander status","Non-Aboriginal or Torres Strait Islander mother","0","Person","212","5.4","6.7","4.67","6.07",,"3947","No"
