"category","year","region","sex","age"
"Life Expectancy at birth","2010-2012","ACT","Males","81.2"
"Life Expectancy at birth","2010-2012","ACT","Females","85.1"
"Life Expectancy at birth","2010-2012","ACT","Persons","83.1"
"Life Expectancy at birth","2011-2013","ACT","Males","81.7"
"Life Expectancy at birth","2011-2013","ACT","Females","85.0"
"Life Expectancy at birth","2011-2013","ACT","Persons","83.3"
"Life Expectancy at birth","2012-2014","ACT","Males","81.4"
"Life Expectancy at birth","2012-2014","ACT","Females","85.2"
"Life Expectancy at birth","2012-2014","ACT","Persons","83.2"
"Life Expectancy at birth","2013-2015","ACT","Males","81.2"
"Life Expectancy at birth","2013-2015","ACT","Females","85.3"
"Life Expectancy at birth","2013-2015","ACT","Persons","83.2"
"Life Expectancy at birth","2014-2016","ACT","Males","81.3"
"Life Expectancy at birth","2014-2016","ACT","Females","85.2"
"Life Expectancy at birth","2014-2016","ACT","Persons","83.2"
"Life Expectancy at birth","2015-2017","ACT","Males","81.1"
"Life Expectancy at birth","2015-2017","ACT","Females","85.2"
"Life Expectancy at birth","2015-2017","ACT","Persons","83.1"
"Life Expectancy at birth","2016-2018","ACT","Males","81.2"
"Life Expectancy at birth","2016-2018","ACT","Females","85.3"
"Life Expectancy at birth","2016-2018","ACT","Persons","83.2"
"Life Expectancy at birth","2017-2019","ACT","Males","81.6"
"Life Expectancy at birth","2017-2019","ACT","Females","85.6"
"Life Expectancy at birth","2017-2019","ACT","Persons","83.5"
"Life Expectancy at birth","2010-2012","Australia","Males","79.9"
"Life Expectancy at birth","2010-2012","Australia","Females","84.3"
"Life Expectancy at birth","2010-2012","Australia","Persons","82.0"
"Life Expectancy at birth","2011-2013","Australia","Males","80.1"
"Life Expectancy at birth","2011-2013","Australia","Females","84.3"
"Life Expectancy at birth","2011-2013","Australia","Persons","82.1"
"Life Expectancy at birth","2012-2014","Australia","Males","80.3"
"Life Expectancy at birth","2012-2014","Australia","Females","84.4"
"Life Expectancy at birth","2012-2014","Australia","Persons","82.3"
"Life Expectancy at birth","2013-2015","Australia","Males","80.4"
"Life Expectancy at birth","2013-2015","Australia","Females","84.5"
"Life Expectancy at birth","2013-2015","Australia","Persons","82.4"
"Life Expectancy at birth","2014-2016","Australia","Males","80.4"
"Life Expectancy at birth","2014-2016","Australia","Females","84.6"
"Life Expectancy at birth","2014-2016","Australia","Persons","82.5"
"Life Expectancy at birth","2015-2017","Australia","Males","80.5"
"Life Expectancy at birth","2015-2017","Australia","Females","84.6"
"Life Expectancy at birth","2015-2017","Australia","Persons","82.5"
"Life Expectancy at birth","2016-2018","Australia","Males","80.7"
"Life Expectancy at birth","2016-2018","Australia","Females","84.9"
"Life Expectancy at birth","2016-2018","Australia","Persons","82.8"
"Life Expectancy at birth","2017-2019","Australia","Males","80.9"
"Life Expectancy at birth","2017-2019","Australia","Females","85.0"
"Life Expectancy at birth","2017-2019","Australia","Persons","82.9"
"Life Expectancy at birth","2010-2012","ACT","Males","81.2"
"Life Expectancy at birth","2010-2012","ACT","Females","85.1"
"Life Expectancy at birth","2010-2012","ACT","Persons","83.1"
"Life Expectancy at birth","2011-2013","ACT","Males","81.7"
"Life Expectancy at birth","2011-2013","ACT","Females","85"
"Life Expectancy at birth","2011-2013","ACT","Persons","83.3"
"Life Expectancy at birth","2012-2014","ACT","Males","81.4"
"Life Expectancy at birth","2012-2014","ACT","Females","85.2"
"Life Expectancy at birth","2012-2014","ACT","Persons","83.2"
"Life Expectancy at birth","2013-2015","ACT","Males","81.2"
"Life Expectancy at birth","2013-2015","ACT","Females","85.3"
"Life Expectancy at birth","2013-2015","ACT","Persons","83.2"
"Life Expectancy at birth","2014-2016","ACT","Males","81.3"
"Life Expectancy at birth","2014-2016","ACT","Females","85.2"
"Life Expectancy at birth","2014-2016","ACT","Persons","83.2"
"Life Expectancy at birth","2015-2017","ACT","Males","81.1"
"Life Expectancy at birth","2015-2017","ACT","Females","85.2"
"Life Expectancy at birth","2015-2017","ACT","Persons","83.1"
"Life Expectancy at birth","2016-2018","ACT","Males","81.2"
"Life Expectancy at birth","2016-2018","ACT","Females","85.3"
"Life Expectancy at birth","2016-2018","ACT","Persons","83.2"
"Life Expectancy at birth","2017-2019","ACT","Males","81.6"
"Life Expectancy at birth","2017-2019","ACT","Females","85.6"
"Life Expectancy at birth","2017-2019","ACT","Persons","83.5"
"Life Expectancy at birth","2018-2020","ACT","Males","82.1"
"Life Expectancy at birth","2018-2020","ACT","Females","85.9"
"Life Expectancy at birth","2018-2020","ACT","Persons","84.0"
"Life Expectancy at birth","2010-2012","Australia","Males","79.9"
"Life Expectancy at birth","2010-2012","Australia","Females","84.3"
"Life Expectancy at birth","2010-2012","Australia","Persons","82"
"Life Expectancy at birth","2011-2013","Australia","Males","80.1"
"Life Expectancy at birth","2011-2013","Australia","Females","84.3"
"Life Expectancy at birth","2011-2013","Australia","Persons","82.1"
"Life Expectancy at birth","2012-2014","Australia","Males","80.3"
"Life Expectancy at birth","2012-2014","Australia","Females","84.4"
"Life Expectancy at birth","2012-2014","Australia","Persons","82.3"
"Life Expectancy at birth","2013-2015","Australia","Males","80.4"
"Life Expectancy at birth","2013-2015","Australia","Females","84.5"
"Life Expectancy at birth","2013-2015","Australia","Persons","82.4"
"Life Expectancy at birth","2014-2016","Australia","Males","80.4"
"Life Expectancy at birth","2014-2016","Australia","Females","84.6"
"Life Expectancy at birth","2014-2016","Australia","Persons","82.5"
"Life Expectancy at birth","2015-2017","Australia","Males","80.5"
"Life Expectancy at birth","2015-2017","Australia","Females","84.6"
"Life Expectancy at birth","2015-2017","Australia","Persons","82.5"
"Life Expectancy at birth","2016-2018","Australia","Males","80.7"
"Life Expectancy at birth","2016-2018","Australia","Females","84.9"
"Life Expectancy at birth","2016-2018","Australia","Persons","82.8"
"Life Expectancy at birth","2017-2019","Australia","Males","80.9"
"Life Expectancy at birth","2017-2019","Australia","Females","85"
"Life Expectancy at birth","2017-2019","Australia","Persons","82.9"
"Life Expectancy at birth","2018-2020","Australia","Males","81.2"
"Life Expectancy at birth","2018-2020","Australia","Females","85.3"
"Life Expectancy at birth","2018-2020","Australia","Persons","83.2"
