"year","region","category","indicator","region_sex","sex","age"
"2009","NSW","Mortality","Median age at death","NSW, Males","Males","78.2"
"2010","NSW","Mortality","Median age at death","NSW, Males","Males","78.5"
"2011","NSW","Mortality","Median age at death","NSW, Males","Males","78.8"
"2012","NSW","Mortality","Median age at death","NSW, Males","Males","79.1"
"2013","NSW","Mortality","Median age at death","NSW, Males","Males","78.6"
"2014","NSW","Mortality","Median age at death","NSW, Males","Males","78.7"
"2015","NSW","Mortality","Median age at death","NSW, Males","Males","79.1"
"2016","NSW","Mortality","Median age at death","NSW, Males","Males","79.2"
"2017","NSW","Mortality","Median age at death","NSW, Males","Males","79.4"
"2018","NSW","Mortality","Median age at death","NSW, Males","Males","79.3"
"2019","NSW","Mortality","Median age at death","NSW, Males","Males","79.5"
"2009","NSW","Mortality","Median age at death","NSW, Females","Females","84.0"
"2010","NSW","Mortality","Median age at death","NSW, Females","Females","84.2"
"2011","NSW","Mortality","Median age at death","NSW, Females","Females","84.6"
"2012","NSW","Mortality","Median age at death","NSW, Females","Females","84.7"
"2013","NSW","Mortality","Median age at death","NSW, Females","Females","84.9"
"2014","NSW","Mortality","Median age at death","NSW, Females","Females","85.1"
"2015","NSW","Mortality","Median age at death","NSW, Females","Females","85.3"
"2016","NSW","Mortality","Median age at death","NSW, Females","Females","85.4"
"2017","NSW","Mortality","Median age at death","NSW, Females","Females","85.4"
"2018","NSW","Mortality","Median age at death","NSW, Females","Females","85.1"
"2019","NSW","Mortality","Median age at death","NSW, Females","Females","85.2"
"2009","NSW","Mortality","Median age at death","NSW, Persons","Persons","81.2"
"2010","NSW","Mortality","Median age at death","NSW, Persons","Persons","81.4"
"2011","NSW","Mortality","Median age at death","NSW, Persons","Persons","81.7"
"2012","NSW","Mortality","Median age at death","NSW, Persons","Persons","82.0"
"2013","NSW","Mortality","Median age at death","NSW, Persons","Persons","81.9"
"2014","NSW","Mortality","Median age at death","NSW, Persons","Persons","82.1"
"2015","NSW","Mortality","Median age at death","NSW, Persons","Persons","82.4"
"2016","NSW","Mortality","Median age at death","NSW, Persons","Persons","82.3"
"2017","NSW","Mortality","Median age at death","NSW, Persons","Persons","82.3"
"2018","NSW","Mortality","Median age at death","NSW, Persons","Persons","82.2"
"2019","NSW","Mortality","Median age at death","NSW, Persons","Persons","82.2"
"2009","Vic.","Mortality","Median age at death","Vic., Males","Males","78.5"
"2010","Vic.","Mortality","Median age at death","Vic., Males","Males","79.1"
"2011","Vic.","Mortality","Median age at death","Vic., Males","Males","79.3"
"2012","Vic.","Mortality","Median age at death","Vic., Males","Males","79.6"
"2013","Vic.","Mortality","Median age at death","Vic., Males","Males","79.4"
"2014","Vic.","Mortality","Median age at death","Vic., Males","Males","79.7"
"2015","Vic.","Mortality","Median age at death","Vic., Males","Males","79.7"
"2016","Vic.","Mortality","Median age at death","Vic., Males","Males","80.0"
"2017","Vic.","Mortality","Median age at death","Vic., Males","Males","79.8"
"2018","Vic.","Mortality","Median age at death","Vic., Males","Males","79.8"
"2019","Vic.","Mortality","Median age at death","Vic., Males","Males","80.1"
"2009","Vic.","Mortality","Median age at death","Vic., Females","Females","84.5"
"2010","Vic.","Mortality","Median age at death","Vic., Females","Females","84.7"
"2011","Vic.","Mortality","Median age at death","Vic., Females","Females","84.8"
"2012","Vic.","Mortality","Median age at death","Vic., Females","Females","85.2"
"2013","Vic.","Mortality","Median age at death","Vic., Females","Females","85.2"
"2014","Vic.","Mortality","Median age at death","Vic., Females","Females","85.3"
"2015","Vic.","Mortality","Median age at death","Vic., Females","Females","85.5"
"2016","Vic.","Mortality","Median age at death","Vic., Females","Females","85.3"
"2017","Vic.","Mortality","Median age at death","Vic., Females","Females","85.4"
