"category","type","question","question_sex","year","region","sex","age","percent","quantity","note"
"Nutrition","Fruit","Fruit consumption (2 serves or more a day)","Fruit consumption (2 serves or more a day), Total","2018","ACT","Total","Year 6","82.88426",,
"Nutrition","Fruit","Fruit consumption (2 serves or more a day)","Fruit consumption (2 serves or more a day), Boys","2018","ACT","Boys","Year 6","79.84138",,
"Nutrition","Fruit","Fruit consumption (2 serves or more a day)","Fruit consumption (2 serves or more a day), Girls","2018","ACT","Girls","Year 6","86.30284",,
"Nutrition","Sugar sweetened drinks","Sugar sweetened drinks (4 times or more a week)","Sugar sweetened drinks (4 times or more a week), Total","2018","ACT","Total","Year 6","7.4410799999999995",,
"Nutrition","Sugar sweetened drinks","Sugar sweetened drinks (4 times or more a week)","Sugar sweetened drinks (4 times or more a week), Boys","2018","ACT","Boys","Year 6","8.937539999999998",,
"Nutrition","Sugar sweetened drinks","Sugar sweetened drinks (4 times or more a week)","Sugar sweetened drinks (4 times or more a week), Girls","2018","ACT","Girls","Year 6","5.7598400000000005",,
"Nutrition","Fast food","Fast food (1 or more times a week)","Fast food (1 or more times a week), Total","2018","ACT","Total","Year 6","17.11345",,
"Nutrition","Fast food","Fast food (1 or more times a week)","Fast food (1 or more times a week), Boys","2018","ACT","Boys","Year 6","19.528119999999998",,
"Nutrition","Fast food","Fast food (1 or more times a week)","Fast food (1 or more times a week), Girls","2018","ACT","Girls","Year 6","14.40063",,
"Nutrition","Vegetable","Vegetable consumption (5 serves or more a day)","Vegetable consumption (5 serves or more a day), Total","2018","ACT","Total","Year 6","9.98985",,
"Nutrition","Vegetable","Vegetable consumption (5 serves or more a day)","Vegetable consumption (5 serves or more a day), Boys","2018","ACT","Boys","Year 6","8.61012",,
"Nutrition","Vegetable","Vegetable consumption (5 serves or more a day)","Vegetable consumption (5 serves or more a day), Girls","2018","ACT","Girls","Year 6","11.539950000000001",,
"Nutrition","Fruit","Fruit consumption (2 serves or more a day)","Fruit consumption (2 serves or more a day), Total","2006","ACT","Total","Year 6","77.49",,
"Nutrition","Fruit","Fruit consumption (2 serves or more a day)","Fruit consumption (2 serves or more a day), Total","2009","ACT","Total","Year 6","81.76",,
"Nutrition","Fruit","Fruit consumption (2 serves or more a day)","Fruit consumption (2 serves or more a day), Total","2012","ACT","Total","Year 6","82.4",,
"Nutrition","Fruit","Fruit consumption (2 serves or more a day)","Fruit consumption (2 serves or more a day), Total","2015","ACT","Total","Year 6","84.12",,
"Nutrition","Fruit","Fruit consumption (2 serves or more a day)","Fruit consumption (2 serves or more a day), Boys","2006","ACT","Boys","Year 6","76.98",,
"Nutrition","Fruit","Fruit consumption (2 serves or more a day)","Fruit consumption (2 serves or more a day), Boys","2009","ACT","Boys","Year 6","80.4",,
"Nutrition","Fruit","Fruit consumption (2 serves or more a day)","Fruit consumption (2 serves or more a day), Boys","2012","ACT","Boys","Year 6","81.49",,
"Nutrition","Fruit","Fruit consumption (2 serves or more a day)","Fruit consumption (2 serves or more a day), Boys","2015","ACT","Boys","Year 6","82.49",,
"Nutrition","Fruit","Fruit consumption (2 serves or more a day)","Fruit consumption (2 serves or more a day), Girls","2006","ACT","Girls","Year 6","78.09",,
