"suburb","location","point","permit_type"
"Belconnen","Belconnen Community Bus Station, access from Swanson Circuit","(-35.239602, 149.069423)","Permit Only"
"Calwell","Calwell Shops - Webber Street","(-35.433428, 149.113051)","No Permit Required"
"Kambah","Kambah Village Shops - Marconi Crescent","(-35.379524, 149.057408)","No Permit Required"
"Weston","North Weston - Kirkpatrick Street","(-35.320885, 149.058926)","No Permit Required"
"Belconnen","Corner of Josephson Street and Walder Street","(-35.23824, 149.060841)","Permit Only"
"Charnwood","Charnwood Shopping Centre - Lhotsky Street","(-35.205147, 149.034283)","No Permit Required"
"Jamison","Jamison Centre - Bowman Street","(-35.252094, 149.072157)","No Permit Required"
"Mawson","Corner of Mawson and Athllon Drive, access from Mawson Place","(-35.364975, 149.092885)","Permit and Non-permit"
"Bruce","College Street, adjacent to the University of Canberra","(-35.242036, 149.084796)","Permit Only"
"Wanniassa","Athllon Drive, access via Rylah Crescent","(-35.390413, 149.084687)","No Permit Required"
"Kippax","Kippax Centre - Hardwick Crescent","(-35.22389, 149.020305)","No Permit Required"
"Fyshwick","Tom Price Street","(-35.340108, 149.184033)","No Permit Required"
"Curtin","Curtin Shops - Carruthers Street","(-35.325559, 149.081705)","No Permit Required"
"Kippax","Moyes Crescent","(-35.2207792, 149.0216365)","No Permit Required"
"Woden","Woden Bus Station, access from Matilda Street","(-35.343136, 149.087253)","Permit Only"
"Kambah","Kambah Centre - O'Halloran Circuit","(-35.393088, 149.067983)","No Permit Required"
"Gungahlin","Gungahlin Town Centre - Gozzard Street, access via Efkarpidis Street","(-35.186843, 149.132396)","Permit Only"
"Weston","Coolemon Court, Liardet Street","(-35.340347, 149.051397)","Permit Only"
"Chisholm","Chisholm Shops - Bentham Street","(-35.414624, 149.128667)","No Permit Required"
"Tuggeranong","Tuggeranong Bus Station, access from Anketell Street","(-35.41387, 149.06669)","Permit Only"
