"licencenumber","licencecode","licencetype","licenseeorg","liccount","lictotal","licensees","tradingnames","address","suburb","state","postcode","dateexpiry","dateissued"
"20000524","MVR","Traders","Individual","1","1","Rasika Lasantha RANTHILAKA","Rasika Lasantha RANTHILAKA","3 Galleghan Circuit","GOWRIE","ACT","2904","2027-08-24T00:00:00.000","2022-08-25T00:00:00.000"
"20000602","MVR","Traders","Individual","1","1","Nathaniel Richard BLAND","Mechanicall Automotive","Unit 516, 83 Cooyong Street","REID","ACT","2612","2027-08-23T00:00:00.000","2022-08-24T00:00:00.000"
"20000599","MVR","Traders","Company","1","1","BEAR'S AUTO GROUP PTY LTD","Bears Auto Group","12 Tantalum Street","BEARD","ACT","2620","2027-08-22T00:00:00.000","2022-08-23T00:00:00.000"
"20000477","MVD","Traders","Company","1","1","CAPITAL'S PRESTIGE AUTO TRADER PTY LTD","Capital's Prestige Auto Trader","87 Bandjalong Crescent","ARANDA","ACT","2614","2027-08-15T00:00:00.000","2022-08-16T00:00:00.000"
"20000517","MVR","Traders","Partnership","1","1","KATHMANDU AUTO PTY LIMITED","Kathmandu Automotive","Unit 1, 22 Geelong Street","FYSHWICK","ACT","2609","2027-08-11T00:00:00.000","2022-08-12T00:00:00.000"
"20000597","MVR","Traders","Company","1","1","MICOY PTY LTD","Micoy Pty Ltd","14 Bowden Crescent","MACGREGOR","ACT","2615","2027-08-08T00:00:00.000","2022-08-09T00:00:00.000"
"20000057","MVD","Traders","Company","1","1","WARDVIEW PTY. LIMITED","Forza Motorsports","Unit 5/6 Pelle Street","MITCHELL","ACT","2911","2027-08-02T00:00:00.000","2022-08-03T00:00:00.000"
"20000595","MVR","Traders","Company","1","1","MELBA AUTOMOTIVE PTY LTD","Melba Automotive Pty Ltd","12 Purdue Street","BELCONNEN","ACT","2617","2027-08-02T00:00:00.000","2022-08-03T00:00:00.000"
"20000596","SHD","Traders","Company","1","1","JEWELO PTY LTD","Jewelo Pty Ltd","17 Katoomba Street","HARRISON","ACT","2914","2027-08-02T00:00:00.000","2022-08-03T00:00:00.000"
"20000591","MVR","Traders","Company","2","2","SCHMICK CAR CARE CLUB PTY LTD","Schmick Scratch and Dent Assist","7 Ames Place","RICHARDSON","ACT","2905","2027-08-01T00:00:00.000","2022-08-02T00:00:00.000"
