"year","region","category","indicator","characteristic","age","sex","result","unit","significants_g","comments","table"
"2007","NSW","Alcohol","Drinking status","Daily","14+","Males","10.8","Per cent",,,"S.12"
"2010","NSW","Alcohol","Drinking status","Daily","14+","Males","9.5","Per cent",,,"S.12"
"2013","NSW","Alcohol","Drinking status","Daily","14+","Males","8.7","Per cent",,,"S.12"
"2016","NSW","Alcohol","Drinking status","Daily","14+","Males","7.8","Per cent",,,"S.12"
"2019","NSW","Alcohol","Drinking status","Daily","14+","Males","7.1","Per cent",,,"S.12"
"2007","Vic","Alcohol","Drinking status","Daily","14+","Males","10.3","Per cent",,,"S.12"
"2010","Vic","Alcohol","Drinking status","Daily","14+","Males","8.9","Per cent",,,"S.12"
"2013","Vic","Alcohol","Drinking status","Daily","14+","Males","7.3","Per cent",,,"S.12"
"2016","Vic","Alcohol","Drinking status","Daily","14+","Males","6.6","Per cent",,,"S.12"
"2019","Vic","Alcohol","Drinking status","Daily","14+","Males","5.7","Per cent",,,"S.12"
"2007","Qld","Alcohol","Drinking status","Daily","14+","Males","11.1","Per cent",,,"S.12"
"2010","Qld","Alcohol","Drinking status","Daily","14+","Males","11.4","Per cent",,,"S.12"
"2013","Qld","Alcohol","Drinking status","Daily","14+","Males","9.9","Per cent",,,"S.12"
"2016","Qld","Alcohol","Drinking status","Daily","14+","Males","8.8","Per cent",,,"S.12"
"2019","Qld","Alcohol","Drinking status","Daily","14+","Males","8.4","Per cent",,,"S.12"
"2007","WA","Alcohol","Drinking status","Daily","14+","Males","13","Per cent",,,"S.12"
"2010","WA","Alcohol","Drinking status","Daily","14+","Males","11.6","Per cent",,,"S.12"
"2013","WA","Alcohol","Drinking status","Daily","14+","Males","9.7","Per cent",,,"S.12"
"2016","WA","Alcohol","Drinking status","Daily","14+","Males","8.3","Per cent",,,"S.12"
"2019","WA","Alcohol","Drinking status","Daily","14+","Males","5.9","Per cent",,,"S.12"
"2007","SA","Alcohol","Drinking status","Daily","14+","Males","11.1","Per cent",,,"S.12"
"2010","SA","Alcohol","Drinking status","Daily","14+","Males","7.6","Per cent",,,"S.12"
"2013","SA","Alcohol","Drinking status","Daily","14+","Males","8","Per cent",,,"S.12"
"2016","SA","Alcohol","Drinking status","Daily","14+","Males","8.4","Per cent",,,"S.12"
"2019","SA","Alcohol","Drinking status","Daily","14+","Males","8.1","Per cent",,,"S.12"
"2007","Tas","Alcohol","Drinking status","Daily","14+","Males","9.2","Per cent",,,"S.12"
"2010","Tas","Alcohol","Drinking status","Daily","14+","Males","9.2","Per cent",,,"S.12"
"2013","Tas","Alcohol","Drinking status","Daily","14+","Males","7.2","Per cent",,,"S.12"
"2016","Tas","Alcohol","Drinking status","Daily","14+","Males","6.8","Per cent",,,"S.12"
"2019","Tas","Alcohol","Drinking status","Daily","14+","Males","6.6","Per cent",,,"S.12"
"2007","ACT","Alcohol","Drinking status","Daily","14+","Males","8","Per cent",,,"S.12"
"2010","ACT","Alcohol","Drinking status","Daily","14+","Males","7","Per cent",,,"S.12"
"2013","ACT","Alcohol","Drinking status","Daily","14+","Males","9.3","Per cent",,,"S.12"
"2016","ACT","Alcohol","Drinking status","Daily","14+","Males","3.6","Per cent",,,"S.12"
"2019","ACT","Alcohol","Drinking status","Daily","14+","Males","4.5","Per cent",,,"S.12"
"2007","NT","Alcohol","Drinking status","Daily","14+","Males","15","Per cent",,,"S.12"
"2010","NT","Alcohol","Drinking status","Daily","14+","Males","11.4","Per cent",,,"S.12"
"2013","NT","Alcohol","Drinking status","Daily","14+","Males","11.9","Per cent",,,"S.12"
"2016","NT","Alcohol","Drinking status","Daily","14+","Males","9.7","Per cent",,,"S.12"
"2019","NT","Alcohol","Drinking status","Daily","14+","Males","11","Per cent",,"(b)","S.12"
"2007","Australia","Alcohol","Drinking status","Daily","14+","Males","10.9","Per cent",,,"S.12"
"2010","Australia","Alcohol","Drinking status","Daily","14+","Males","9.8","Per cent",,,"S.12"
"2013","Australia","Alcohol","Drinking status","Daily","14+","Males","8.7","Per cent",,,"S.12"
"2016","Australia","Alcohol","Drinking status","Daily","14+","Males","7.7","Per cent",,,"S.12"
"2019","Australia","Alcohol","Drinking status","Daily","14+","Males","6.9","Per cent",,"#","S.12"
"2007","NSW","Alcohol","Drinking status","Daily","14+","Females","6.1","Per cent",,,"S.12"
"2010","NSW","Alcohol","Drinking status","Daily","14+","Females","5.5","Per cent",,,"S.12"
"2013","NSW","Alcohol","Drinking status","Daily","14+","Females","4.6","Per cent",,,"S.12"
"2016","NSW","Alcohol","Drinking status","Daily","14+","Females","5","Per cent",,,"S.12"
"2019","NSW","Alcohol","Drinking status","Daily","14+","Females","4.3","Per cent",,,"S.12"
"2007","Vic","Alcohol","Drinking status","Daily","14+","Females","4.7","Per cent",,,"S.12"
"2010","Vic","Alcohol","Drinking status","Daily","14+","Females","4.6","Per cent",,,"S.12"
"2013","Vic","Alcohol","Drinking status","Daily","14+","Females","4.1","Per cent",,,"S.12"
"2016","Vic","Alcohol","Drinking status","Daily","14+","Females","3.4","Per cent",,,"S.12"
"2019","Vic","Alcohol","Drinking status","Daily","14+","Females","2.9","Per cent",,,"S.12"
"2007","Qld","Alcohol","Drinking status","Daily","14+","Females","5.9","Per cent",,,"S.12"
"2010","Qld","Alcohol","Drinking status","Daily","14+","Females","5.6","Per cent",,,"S.12"
"2013","Qld","Alcohol","Drinking status","Daily","14+","Females","5.4","Per cent",,,"S.12"
"2016","Qld","Alcohol","Drinking status","Daily","14+","Females","4.3","Per cent",,,"S.12"
