"category","type","age","year","region","returned_completed_screening","screening_invitations","screen_participation_rate"
"Screening","Bowel cancer","50 - 74 Years","2013-2014","ACT","13794","34141","40.4"
"Screening","Bowel cancer","50 - 74 Years","2013-2014","Australia","836457","2239760","37.3"
"Screening","Bowel cancer","50 - 74 Years","2013-2014","NSW","257607","745921","34.5"
"Screening","Bowel cancer","50 - 74 Years","2013-2014","NT","5193","18798","27.6"
"Screening","Bowel cancer","50 - 74 Years","2013-2014","Qld","162775","444781","36.6"
"Screening","Bowel cancer","50 - 74 Years","2013-2014","SA","73705","167951","43.9"
"Screening","Bowel cancer","50 - 74 Years","2013-2014","Tas","22972","53994","42.5"
"Screening","Bowel cancer","50 - 74 Years","2013-2014","Vic","210383","548370","38.4"
"Screening","Bowel cancer","50 - 74 Years","2013-2014","WA","90028","225804","39.9"
"Screening","Bowel cancer","50 - 74 Years","2014-2015","ACT","17292","41356","41.8"
"Screening","Bowel cancer","50 - 74 Years","2014-2015","Australia","1014327","2608599","38.9"
"Screening","Bowel cancer","50 - 74 Years","2014-2015","NSW","309743","860103","36"
"Screening","Bowel cancer","50 - 74 Years","2014-2015","NT","6188","21616","28.6"
"Screening","Bowel cancer","50 - 74 Years","2014-2015","Qld","196015","514295","38.1"
"Screening","Bowel cancer","50 - 74 Years","2014-2015","SA","92960","202982","45.8"
"Screening","Bowel cancer","50 - 74 Years","2014-2015","Tas","28953","65379","44.3"
"Screening","Bowel cancer","50 - 74 Years","2014-2015","Vic","258521","648001","39.9"
"Screening","Bowel cancer","50 - 74 Years","2014-2015","WA","104655","254867","41.1"
"Screening","Bowel cancer","50 - 74 Years","2015-2016","ACT","21349","48992","43.6"
"Screening","Bowel cancer","50 - 74 Years","2015-2016","Australia","1298942","3174835","40.9"
"Screening","Bowel cancer","50 - 74 Years","2015-2016","NSW","396271","1038357","38.2"
"Screening","Bowel cancer","50 - 74 Years","2015-2016","NT","6792","23884","28.4"
"Screening","Bowel cancer","50 - 74 Years","2015-2016","Qld","252763","624896","40.4"
"Screening","Bowel cancer","50 - 74 Years","2015-2016","SA","113321","241239","47"
"Screening","Bowel cancer","50 - 74 Years","2015-2016","Tas","36595","78943","46.4"
"Screening","Bowel cancer","50 - 74 Years","2015-2016","Vic","332870","794704","41.9"
"Screening","Bowel cancer","50 - 74 Years","2015-2016","WA","138981","323820","42.9"
"Screening","Bowel cancer","50 - 74 Years","2016-2017","ACT","27406","63041","43.5"
"Screening","Bowel cancer","50 - 74 Years","2016-2017","Australia","1693430","4100498","41.3"
"Screening","Bowel cancer","50 - 74 Years","2016-2017","NSW","515309","1347464","38.2"
"Screening","Bowel cancer","50 - 74 Years","2016-2017","NT","8088","28800","28.1"
"Screening","Bowel cancer","50 - 74 Years","2016-2017","Qld","326518","800852","40.8"
"Screening","Bowel cancer","50 - 74 Years","2016-2017","SA","145998","314703","46.4"
"Screening","Bowel cancer","50 - 74 Years","2016-2017","Tas","46478","100045","46.5"
"Screening","Bowel cancer","50 - 74 Years","2016-2017","Vic","442744","1024590","43.2"
"Screening","Bowel cancer","50 - 74 Years","2016-2017","WA","180889","421003","43"
"Screening","Bowel cancer","50 - 74 Years","2017-2018","ACT","34824","77793","44.8"
"Screening","Bowel cancer","50 - 74 Years","2017-2018","Australia","2150782","5074980","42.4"
"Screening","Bowel cancer","50 - 74 Years","2017-2018","NSW","648809","1648837","39.3"
"Screening","Bowel cancer","50 - 74 Years","2017-2018","NT","12441","42900","29"
"Screening","Bowel cancer","50 - 74 Years","2017-2018","Qld","413741","1013186","40.8"
"Screening","Bowel cancer","50 - 74 Years","2017-2018","SA","181382","381881","47.5"
"Screening","Bowel cancer","50 - 74 Years","2017-2018","Tas","59784","125073","47.8"
"Screening","Bowel cancer","50 - 74 Years","2017-2018","Vic","571019","1263423","45.2"
"Screening","Bowel cancer","50 - 74 Years","2017-2018","WA","228782","521887","43.8"
"Screening","Bowel cancer","50 - 74 Years","2018-2019","ACT","41786","91438","45.7"
"Screening","Bowel cancer","50 - 74 Years","2018-2019","Australia","2497317","5744244","43.5"
"Screening","Bowel cancer","50 - 74 Years","2018-2019","NSW","751564","1854482","40.5"
"Screening","Bowel cancer","50 - 74 Years","2018-2019","NT","13619","44520","30.6"
"Screening","Bowel cancer","50 - 74 Years","2018-2019","Qld","486750","1169918","41.6"
"Screening","Bowel cancer","50 - 74 Years","2018-2019","SA","210716","431266","48.9"
"Screening","Bowel cancer","50 - 74 Years","2018-2019","Tas","67913","138765","48.9"
"Screening","Bowel cancer","50 - 74 Years","2018-2019","Vic","650355","1415020","46"
"Screening","Bowel cancer","50 - 74 Years","2018-2019","WA","274614","598835","45.9"
