"closure_description","object_id","closure_type","footpaths_closed","reason_for_closure","global_id","closure_start_time","closure_end_time","related_suburbs","project_title","location"
"","425","buildingConstruction","Tower crane removal.","SIGNALISED PEDESTRIAN CROSSING: Akuna Street on either side of City Walk.","d3c95669-a00c-4557-ad44-f50e68656e94","2018-09-07T13:55:00.000","2018-09-09T13:55:00.000","CITY","Akuna Street, City","POINT (149.1328270245998 -35.28159782287249)"
"","907","buildingConstruction","Building construction.","Furzer Street (eastern side): from the southern side of the pedestrian crossing located between Corinna Street and Garth Place to the end opposite the Woden Library.","e13db1df-e38b-4946-81d8-c3a3a580af53","2018-11-15T19:00:00.000","2019-12-31T07:00:00.000","PHILLIP","A and A Apartments","POINT (149.0846474693122 -35.343731978126364)"
"","1267","roadWorks","Verge Construction","The Valley Avenue (all directions): from Manning Clark Crescent to Hinder Street.","7b6628a7-ef84-49d0-be76-b0b0acd476f3","2018-12-19T20:00:00.000","2019-01-26T06:00:00.000","GUNGAHLIN","EXT - TTE18-CC1-1360-RevB - Cord Civil - Valley Ave / Kate Crace Closure","POINT (149.138841549731 -35.1879515107178)"
"","1850","buildingConstruction","Crane works.","Rickerby Street (eastern side): from Parramatta Street to approximately 40 metres south of Parramatta Street.<br>
Will be closed on periodic days as required between the hours of 6 am - 5 pm Monday to Saturday.","0dd1cf3a-0f7c-45ec-933d-3a1a26245e69","2019-03-31T19:00:00.000","2019-11-15T06:00:00.000","PHILLIP","Waves Phillip","POINT (149.09021194984962 -35.35532183245591)"
"","1975","buildingConstruction","Crane lift at 19 National Circuit, Barton","National Circuit (western side): from Darling Street to Bourke Street.","60fe313a-6d65-4c3f-89b5-41709212e7e6","2019-03-22T19:00:00.000","2019-03-23T02:00:00.000","BARTON","Crane Lift","POINT (149.139089 -35.306811)"
"","2980","utilities","EVO Energy works.","Bradfield Street (southern side): from Melba Street to approximately 120 metres east towards Frencham Street.","aea387d5-8e16-40be-9f01-fcaf94908fed","2019-07-14T21:00:00.000","2019-08-16T08:00:00.000","DOWNER","RESUB TTE19-SE1-1385, Shepherd Electrical, Footpath Closure, Utility Works, Bradfield St, Downer","POINT (149.14442388583268 -35.24339047557098)"
"","3276","lightRail","Works associated with the Transport Canberra Light Rail project. ","Northbourne Avenue (eastern side) at the Morphett Street intersection.<br>
Will be closed on periodic days, nights and weekends as required between the hours of,<br>
9.30 am - 2 pm Monday to Friday.<br>
8 pm - 6 am Monday to Friday.<br>
8 pm Friday to 6 am Monday (inclusive).
","7e058933-7995-411b-a7db-f347f509a3d1","2019-08-16T10:00:00.000","2019-12-31T03:00:00.000","DICKSON","Ext - TTE19-MET-6354 CMC, Morphett St - Road Closure ","POINT (149.13381002853657 -35.25365027106354)"
"","3491","buildingConstruction","Building construction.","Irving Street (western side): located on the eastern side of 15 Irving Street will be closed at Irving Street.","1fa408b7-e6c8-41bb-b03a-287bbd117630","2019-09-18T10:00:00.000","2019-11-01T09:00:00.000","PHILLIP","Building Works","POINT (149.0909216 -35.34707341)"
"","4149","utilities","ICON Water works.","Tait Place (northern side): between Thring Street and the Chapman Shops.","0e764346-4aa8-44ee-81f6-1fce58426738","2019-12-08T20:00:00.000","2019-12-27T06:00:00.000","CHAPMAN","ICON Water - Chapman Shops","POINT (149.0402062809839 -35.355480868444566)"
"","4712","buildingConstruction","Building construction.","Rickerby Street (eastern side): adjacent to block 49, Section 40 Phillip.<br>
Will be periodically closed as required.","cf388cbf-5cf0-4bc0-ae08-6861f91b8d24","2020-03-04T19:00:00.000","2020-05-28T07:00:00.000","PHILLIP","Waves Car wash","POINT (149.0909216 -35.34707341)"
"","4781","roadWorks","Civil works.","Cooyong Street (eastern side): between Donaldson Street and the southern side of Batman Street.","266ba164-5b65-4412-8132-fb78cee7eaa9","2020-05-28T07:00:00.000","2020-09-30T07:00:00.000","BRADDON","Cooyong Works","POINT (149.13461 -35.27747)"
"","4974","utilities","Installation of overhead power lines.","All footpaths located within the public open space between Lionel Rose Street , Fullston Way and Pro Hart Avenue.<br>
5 am - 6 pm (daily) Saturday and Sunday.","dd4eed67-ff78-4512-8ba5-aedd5b4e0139","2020-04-24T19:00:00.000","2020-05-10T08:00:00.000","HOLT","Stockdill Substation","POINT (149.0004953482545 -35.231902532730956)"
"","5710","roadWorks","Belconnen Bikeway project.","Signalised pedestrian crossing located on the northern side of the Haydon Drive / College Street intersection.","d113a185-a2ce-4246-9022-42bcb76cc5e7","2020-07-03T06:00:00.000","2020-10-02T06:00:00.000","BELCONNEN","Ext TTE19-CC1-1609 1 2 Cord Civil, Belconnen Bikeway - Verge Works, Haydon Dr - College St to Haydon Dr","POINT (149.0904456311613 -35.24201700853782)"
"","5991","buildingConstruction","Crane operations.","Parberry Street (eastern side): between Charles Roach Lane and Dawes Street.","53cff0cb-86ee-4ff1-ab03-0ec6e45cc020","2020-08-09T21:00:00.000","2020-08-10T07:00:00.000","KINGSTON","Kingsborough Apartments Roof replacement","POINT (149.1465921 -35.31523431)"
"","6082","roadWorks","Stormwater infrastructure improvements.","Footpath between Clare Dennis Avenue and Fred Lane Crescent.<br>
Footpath between Fred Lane Crescent and the public open space located on Block 3, Section 475 Gordon.","2b037c52-9f51-4566-80ad-738082a318ad","2020-09-06T21:00:00.000","2020-10-30T06:00:00.000","GORDON","TTM 20090 Stormwater Infrastructure Improvements - Fred Lane Crescent","POINT (149.08723303754385 -35.44770091247059)"
"","6253","utilities","Underground service installations.","Cynthea Teague Crescent (western side): in front of Block 1, Section 77 Greenway.","46ecaa6a-fc1a-486f-9248-09e6d22d2ea6","2020-09-27T21:00:00.000","2020-11-27T07:00:00.000","GREENWAY","TTE20-DGP-2495 DGroup, Utility Works, Footpath Closure, Cynthea Teague Cres, Greenway","POINT (149.07363890624868 -35.421324425534486)"
"","6584","utilities","Utility installation","Matson Street - from Mina Wylie Crescent to Knoke Avenue - (southern side)","f8a42bce-ed88-41ee-ba11-d20786059958","2020-11-01T20:00:00.000","2020-11-06T06:00:00.000","GORDON","TTE20-MSC-2563 Smart Plumbing Solutions WM Installation Matson St Gordon","POINT (149.08646408869845 -35.465808488181544)"
"","6647","buildingConstruction","Watermain installation.","Beasley Street (southern side): between Marshall Street and Wilkins Street.","55cfc9ef-c011-4403-ae86-bcb70e528c97","2020-11-13T06:00:00.000","2020-12-18T06:00:00.000","FARRER","Goodwin Farrer Icon Works","POINT (149.10079122399122 -35.37129444799071)"
"","4763","roadWorks","Building Construction.","Hobart Place (eastern side): adjacent to the Capitol Apartments development site.<br>
Will be closed on periodic days a as required between the hours of;<br>
6:00am-6:00pm Monday to Friday.","bf9c7e62-d6dd-4f1d-88d4-b9233ccc7425","2020-03-16T07:00:00.000","2020-04-27T08:00:00.000","CITY","Hobart Place-Insurance Work","POINT (149.12919 -35.28127)"
"","6141","buildingConstruction","Red Hill precinct development.","La Perouse Street (southern side): between the western side of Discovery Street to the western side of Nuyts Street.","33a9e5da-bd5b-44be-8765-c1a109516ac3","2020-09-30T07:00:00.000","2020-10-30T06:00:00.000","RED_HILL","EXT  TTE19-BMU-1437 BMD Urban, Verge Closure, La Perouse St, Red Hill Precinct, Red Hill","POINT (149.12986348270596 -35.340759736175016)"
"","639","buildingConstruction","Tower crane removal","Northbourne Avenue (western side): in front of number 217 Northbourne Avenue.<br>
6 am Saturday 3 November 2018 to 2 am Sunday 4 November 2018.<br>
6 am Saturday 10 November 2018 to 2 am Sunday 11 November 2018.","1138c2ef-14a9-4257-9fc9-cd69970498e7","2018-11-02T19:00:00.000","2018-11-10T15:00:00.000","TURNER","TTE18-TCR-1581 - Titan Cranes - 217 Northbourne Avenue ","POINT (149.13152351190473 -35.262413730884354)"
