"age","income","male_trip_rate","female_trip_rate","total_trip_rate"
"0-14","Zero income / Not stated","2.9","3.4","3.1"
"15-29","$1 - $500 pw","2.8","3.6","3.2"
"15-29","$600 - $1499 pw","3.1","3.2","3.2"
"15-29","Over $1500 pw","3.6","3.8","3.7"
"15-29","Zero income / Not stated","2.6","3","2.8"
"30-49","$1 - $500 pw","4.1","4.3","4.2"
"30-49","$600 - $1499 pw","3.6","4.3","4"
"30-49","Over $1500 pw","4.1","4.5","4.3"
"30-49","Zero income / Not stated","2.8","4.6","4.3"
"50-69","$1 - $500 pw","2.9","3.4","3.2"
"50-69","$600 - $1499 pw","3.8","3.9","3.8"
"50-69","Over $1500 pw","4","3.8","3.9"
"50-69","Zero income / Not stated","4.3","3","3.3"
"70+","$1 - $500 pw","1.8","2.4","2.1"
"70+","$600 - $1499 pw","2.9","3.1","3"
"70+","Over $1500 pw","2.7","3.4","3"
"70+","Zero income / Not stated","0.4","0.6","0.5"
