"closure_description","project_title","object_id","footpaths_closed","global_id","closure_type","closure_start_time","closure_end_time","closure_end_time_status","location"
"","Civil works associated with the Transport Canberra Light Rail project.","170","FOOTPATH: Condamine Street (southern side) from Northbourne Avenue to Forbes Street.","cedd5b90-b072-430f-879a-481113e9b191","lightRail","2018-03-02T19:00:00.000","2018-08-30T10:00:00.000","Known","POINT (149.13029982721076 -35.26625237992271)"
""," Road extension.","212","FOOTPATH: Western side of Childers Street footpath opposite University Avenue.","67a32c05-01d6-4591-88ca-df0bb59dd9e9","roadWorks","2018-07-19T21:00:00.000","2018-12-31T06:00:00.000","Known","POINT (149.12422395375404 -35.27854602764123)"
"","Commercial Development.","213","FOOTPATH: Western side of Athlon Drive between Lennock Hyundai and Autoco Mechanical.","3f9d1877-5f8b-4f3d-b0ef-d43ae1a588c6","buildingConstruction","2018-07-19T20:00:00.000","2019-01-16T09:00:00.000","Known","POINT (149.09112451620632 -35.35361961077224)"
"","Works associated with the Transport Canberra Light Rail project.","214","FOOTPATH: Eastern corner of the Wattle Street and DeBurgh Street intersection.","f41879e3-6187-4169-8ebe-44fcf92ef298","lightRail","2018-07-19T21:00:00.000","2018-10-31T07:00:00.000","Known","POINT (149.13093136068773 -35.25886291657946)"
"","Footpath closure for verge work.","215","FOOTPATH/VERGE: South side of De Burgh Street from National Blood Authority driveway to Wattle Street.","5203124a-b3ff-418d-9427-585e3e439120","roadWorks","2018-07-23T21:00:00.000","2018-09-15T08:00:00.000","Known","POINT (149.13103033141584 -35.25833241012855)"
"","Road works, new alignment median works.","216","FOOTPATH: Katherine Avenue pedestrian underpass at Horse Park Drive.","276b4a48-a7f1-4607-9067-8e55ca5db3d6","roadWorks","2018-07-22T21:00:00.000","2018-10-03T07:00:00.000","Known","POINT (149.13868737733867 -35.17009465798417)"
"","Footpath closure for verge work.","217","FOOTPATH/VERGE: Western side of Eastern Valley Way, 45m south of Emu Bank and 50m north of Cameron Avenue.","440c542f-3706-44c0-a7c9-1f58c661c6d5","roadWorks","2018-08-12T23:30:00.000","2018-08-31T06:00:00.000","Known","POINT (149.07283475930603 -35.240356072741655)"
"TEST FOoTPATH","None","311","Tessting","782ac771-5b1b-4b07-a32d-3b6c957d53b3","other","2018-12-02T08:59:00.000","2018-12-10T08:59:00.000","Known","POINT (149.1283581521996 -35.20558237309627)"
,"Works associated with the West Basin redevelopment. Point Park - Phase 1.","77","SHARED USE PATH: Barrine Drive both sides from approximately 75 metres on the eastern side of Commonwealth Avenue to Corkhill Street.

Connection from the Commonwealth Avenue (northbound) northern bridge abutment to Barrine Drive.
","8092c6b3-dbfd-4774-a7c2-98fb958d959e","buildingConstruction","2018-02-28T06:00:00.000","2018-04-28T07:00:00.000","Known","POINT (149.1278573607891 -35.29042887999896)"
"","Building construction works associated with the development of Blocks 1 & 2, Section 114 Amaroo.","78","PUBLIC OPEN SPACE / FOOTPATHS: Located within Blocks 3, 4 & 5, Section 114 Amaroo.","d78c84d7-170a-4953-91ac-e0e56734d8fc","buildingConstruction","2017-03-22T19:00:00.000","2018-12-20T08:00:00.000","Known","POINT (149.1283888232976 -35.16960168385751)"
,"Building construction works associated with the development of Block 1, Section 110 Amaroo","79","FOOTPATH / VERGE: Horse Park Drive Service road (southern side) from Emerald Way to Crossman Street

Pioneer Street (northern side) from Emerald Way to Crossman Street.
","cebd123c-aa7f-4811-910e-6fef7b35b6f3","buildingConstruction","2017-09-14T21:00:00.000","2018-05-30T07:00:00.000","Known","POINT (149.13280776936313 -35.165107685926245)"
,"Building construction works associated with the development of Block","80","FOOTPATH / VERGE: Emerald Way (eastern side) from Horse Park Drive to Pioneer Street.

Crossman Street (western side) from Horse Park Drive to Pioneer Street.
","1cc21a8d-7560-409f-82cb-9ede5a48d731","buildingConstruction","2017-02-12T20:00:00.000","2018-08-01T08:00:00.000","Known","POINT (149.13286921473315 -35.165118583754314)"
"","Works associated with the Horse Park Drive duplication project.","81","FOOTPATH: Horse Park Drive (western side) located on either side of Katherine Avenue (South).","6437b8d2-a648-4ee0-bd89-d35f9052112e","roadWorks","2017-11-22T20:00:00.000","2018-12-30T06:00:00.000","Known","POINT (149.13114960427936 -35.16393826966508)"
"","Building construction works associated with the development of Blocks 1 & 2, Section 114 Amaroo.","82","FOOTPATH / NATURE STRIP: Pioneer Street (southern side) from the pedestrian crossing located on the western side of Emerald Way to Balgarup Street.<br>
Balgarup Street (eastern side) from Pioneer Street (northern side) to Aberfoyle Street.<br>
Aberfoyle Street (northern side) from Balgarup Street to the public open space located on Block 5, Section 114.
","a2151094-681c-4859-8c29-4bc205b53493","buildingConstruction","2017-03-14T23:33:00.000","2018-12-20T08:00:00.000","Known","POINT (149.13129714398036 -35.165061914019795)"
,"Sewer main connection works associated with the development of Block 2, Section 200 Belconnen.","83","FOOTPATH / VERGE: Emu Bank (southern side) from Eastern Valley Way to Cohen Street.","a7c9bf8f-5882-4b15-82f2-826df2fd8cd4","utilities","2018-05-28T20:00:00.000","2018-08-01T09:00:00.000","Known","POINT (149.07359528567127 -35.2397671729083)"
,"Underground service installation works.","84","FOOTPATH / VERGE: Eastern Valley Way (western side) from the southern side of the bus stop located between Cameron Avenue and Emu Bank to approximately 30 metres south towards Cameron Avenue.
","77a4b19f-753e-4fde-b118-49367ae7b74a","utilities","2018-07-15T23:30:00.000","2018-08-04T06:00:00.000","Known","POINT (149.07284991692688 -35.24017640891452)"
,"Gross pollutant trap cleaning.","85","SIGNALISED PEDESTRIAN CROSSING: Emu Bank (southern side) from the eastern side of Eastern Valley Way to the western side of Eastern Valley Way.","b5d949cd-dba0-4239-be68-956cba82f57e","utilities","2018-06-14T23:30:00.000","2018-07-16T06:00:00.000","Known","POINT (149.073077123874 -35.23976953787477)"
"","Building construction works associated with the redevelopment of Block 37, Section 52 Belconnen.","86","FOOTPATH / VERGE: Emu Bank (southern side) from Benjamin Way to Beissel Street.","d43a0951-6209-494a-89cf-7679fd4c4259","buildingConstruction","2017-05-22T21:00:00.000","2019-07-15T08:00:00.000","Known","POINT (149.06648566690944 -35.236367903847814)"
,"Chandler Street bridge abutment works.","87","FOOTPATH: Chandler Street (western side) from the pedestrian crossing located on the northern side of Cohen Street to the southern side of Cohen Street. This closure also includes the stairs from Chandler Street down to Cohen Street located on the southern side of Cohen Street.","70b8ee37-e4c9-4211-bd73-f3d3740cab7a","buildingConstruction","2018-02-18T22:00:00.000","2018-04-23T06:00:00.000","Known","POINT (149.0704374059107 -35.23988105319806)"
"","Building construction works associated with the development of Block 2, Section 200 Belconnen.","88","FOOTPATH / VERGE: Edmonstone Place (eastern side) from the car park entry exit to Cameron Avenue.<br>
FOOTPATH / VERGE: Cameron Avenue (northern side) from Edmonstone Place to the car park entry exit located approximately 50 metres east of Edmonstone Place.
","736aeebe-0464-46f0-977c-6606141e0133","buildingConstruction","2018-04-29T20:00:00.000","2020-04-30T09:00:00.000","Known","POINT (149.0716304605201 -35.24110915560315)"
"","Building construction works associated with the redevelopment of Blocks 8 & 9, Section 48 Belconnen.","89","FOOTPATH: Cameron Avenue (northern side) from Chandler Street to Edmondstone Place.<br>
Chandler Street (eastern side) from Cameron Avenue to approximately 55 metres north of Cameron Avenue.
","312e664e-a125-4733-9291-21e9607c493b","buildingConstruction","2017-06-30T21:00:00.000","2020-07-01T08:00:00.000","Known","POINT (149.0709399468119 -35.24098870545437)"
,"Works associated with the Horse Park Drive duplication project.
","90","FOOTPATH / VERGE: Mulligans Flat Road (northern side) from Horse Park Drive to approximately 80 metres east of Horse Park Drive towards Mabo Boulevard.","b2ad8a79-c7e7-43b5-8f63-49a7d688dace","roadWorks","2018-03-22T20:00:00.000","2018-06-30T07:00:00.000","Known","POINT (149.13874956087483 -35.16639598976491)"
"","Building construction works associated with the redevelopment of Block 5, Section 30 Braddon.","91","FOOTPATH / VERGE: Donaldson Street (northern side) from Cooyong Street to the eastern side of Currong Street (North).<br>
7 am – 6 pm (daily) Monday to Saturday and 8 am – 6 pm Sundays on periodic days as required.","f9265560-cf24-41ed-b9d8-f49f7385f2bf","buildingConstruction","2018-06-19T21:00:00.000","2020-04-20T08:00:00.000","Known","POINT (149.13533113059265 -35.27562938608432)"
,"ICON Water service connection associated with the redevelopment of Block 1, section 29 Braddon","92","FOOTPATH: Elouera Street (southern side) from Torrens Street to approximately 25 metres west towards Lonsdale Street.","6f85f0c1-8905-4017-82fb-cb20859bc9a2","utilities","2018-02-25T19:00:00.000","2018-04-26T08:00:00.000","Known","POINT (149.13349523226907 -35.27353857734215)"
,"Concrete pour associated with the redevelopment of Blocks 7, 8 & 9, Section 18 Braddon.","93","FOOTPATH / VERGE: Elouera Street (northern side) from Northbourne Avenue to Mort Street.","05dfca3b-37e3-4f08-a896-fb3c91e0261e","buildingConstruction","2018-07-08T21:00:00.000","2018-07-13T05:00:00.000","Known","POINT (149.13095700935366 -35.27293502422864)"
