"category","topic","region","age","question","year","per_cent","lower_95_confidence_interval","upper_95_confidence_interval","sex","notes"
"Weight status","Happiness with weight","ACT","Year 6 students","Happy","2006","69.18","65.54","72.59","Person",
"Weight status","Happiness with weight","ACT","Year 6 students","Happy","2009","63.91","61.15","66.59","Person",
"Weight status","Happiness with weight","ACT","Year 6 students","Happy","2012","64.64","61.71","67.47","Person",
"Weight status","Happiness with weight","ACT","Year 6 students","Happy","2015","63.04","59.78","66.19","Person",
"Weight status","Happiness with weight","ACT","Year 6 students","Happy","2018","62.14","58.46","65.68","Person",
"Weight status","Happiness with weight","ACT","Year 6 students","In between","2006","19.49","17.07","22.18","Person",
"Weight status","Happiness with weight","ACT","Year 6 students","In between","2009","23.32","20.99","25.82","Person",
"Weight status","Happiness with weight","ACT","Year 6 students","In between","2012","22.2","20.28","24.25","Person",
"Weight status","Happiness with weight","ACT","Year 6 students","In between","2015","22.83","20.68","25.12","Person",
"Weight status","Happiness with weight","ACT","Year 6 students","In between","2018","26.23","23.27","29.41","Person",
"Weight status","Happiness with weight","ACT","Year 6 students","Unhappy","2006","11.33","9.33","13.69","Person",
"Weight status","Happiness with weight","ACT","Year 6 students","Unhappy","2009","12.77","10.84","14.98","Person",
"Weight status","Happiness with weight","ACT","Year 6 students","Unhappy","2012","13.16","11.16","15.45","Person",
"Weight status","Happiness with weight","ACT","Year 6 students","Unhappy","2015","14.13","11.96","16.62","Person",
"Weight status","Happiness with weight","ACT","Year 6 students","Unhappy","2018","11.63","9.71","13.88","Person",
"Weight status","Happiness with weight","ACT","Year 6 students","Happy","2006","72.27","67.35","76.7","Male",
"Weight status","Happiness with weight","ACT","Year 6 students","Happy","2009","68.76","64.61","72.63","Male",
"Weight status","Happiness with weight","ACT","Year 6 students","Happy","2012","70.03","65.4","74.29","Male",
"Weight status","Happiness with weight","ACT","Year 6 students","Happy","2015","69.01","65.1","72.67","Male",
"Weight status","Happiness with weight","ACT","Year 6 students","Happy","2018","68.31","63.51","72.74","Male",
"Weight status","Happiness with weight","ACT","Year 6 students","In between","2006","18.5","15.38","22.08","Male",
"Weight status","Happiness with weight","ACT","Year 6 students","In between","2009","21.14","18.09","24.55","Male",
"Weight status","Happiness with weight","ACT","Year 6 students","In between","2012","20.35","17.51","23.51","Male",
"Weight status","Happiness with weight","ACT","Year 6 students","In between","2015","18.88","16.32","21.74","Male",
"Weight status","Happiness with weight","ACT","Year 6 students","In between","2018","24.03","20.49","27.97","Male",
"Weight status","Happiness with weight","ACT","Year 6 students","Unhappy","2006","9.23","6.7","12.59","Male",
"Weight status","Happiness with weight","ACT","Year 6 students","Unhappy","2009","10.1","8.18","12.42","Male",
"Weight status","Happiness with weight","ACT","Year 6 students","Unhappy","2012","9.62","7.38","12.46","Male",
"Weight status","Happiness with weight","ACT","Year 6 students","Unhappy","2015","12.11","9.42","15.44","Male",
"Weight status","Happiness with weight","ACT","Year 6 students","Unhappy","2018","7.67","5.62","10.38","Male",
"Weight status","Happiness with weight","ACT","Year 6 students","Happy","2006","66.21","61.01","71.03","Female",
"Weight status","Happiness with weight","ACT","Year 6 students","Happy","2009","59.29","55.23","63.23","Female",
"Weight status","Happiness with weight","ACT","Year 6 students","Happy","2012","59.62","56.11","63.03","Female",
"Weight status","Happiness with weight","ACT","Year 6 students","Happy","2015","56.51","52.16","60.76","Female",
"Weight status","Happiness with weight","ACT","Year 6 students","Happy","2018","55.21","50.85","59.5","Female",
"Weight status","Happiness with weight","ACT","Year 6 students","In between","2006","20.38","16.75","24.56","Female",
