"cancertype","incidencemortality","year","sex","average_cases_per_year"
"Prostate C61","Incidence","2015-2019","Male","295"
"Melanoma of skin C43","Incidence","2015-2019","Male","119"
"Bowel C18-C20","Incidence","2015-2019","Male","108"
"Lung C33, C34","Incidence","2015-2019","Male","67"
"All lymphomas C81-C85","Incidence","2015-2019","Male","53"
"Breast C50","Incidence","2015-2019","Female","289"
"Bowel C18-C20","Incidence","2015-2019","Female","92"
"Melanoma of skin C43","Incidence","2015-2019","Female","86"
"Lung C33, C34","Incidence","2015-2019","Female","67"
"Uterine C54, C55","Incidence","2015-2019","Female","47"
"Lung C33, C34","Mortality","2014-2018","Male","50"
"Bowel C18-C20","Mortality","2014-2018","Male","39"
"Prostate C61","Mortality","2014-2018","Male","38"
"Pancreatic C25","Mortality","2014-2018","Male","21"
"Liver C22","Mortality","2014-2018","Male","15"
"Lung C33, C34","Mortality","2014-2018","Female","41"
"Breast C50","Mortality","2014-2018","Female","38"
"Bowel C18-C20","Mortality","2014-2018","Female","29"
"Pancreatic C25","Mortality","2014-2018","Female","17"
"Cancer unknown primary C26, C39, C48, C76, C80","Mortality","2014-2018","Female","13"
