"year","region","category","indicator","characteristic","characteristic_sex","age","sex","result","unit","rse","comment"
"2014-15","ACT","Lifestyle risk factors","Psychological distress","Low distress level","Low distress level, Persons","18–24","Persons","53.8","Per cent","12.4","#"
"2014-15","ACT","Lifestyle risk factors","Psychological distress","Moderate distress level","Moderate distress level, Persons","18–24","Persons","30.5","Per cent","18.5","#"
"2014-15","ACT","Lifestyle risk factors","Psychological distress","High/Very high distress level","High/Very high distress level, Persons","18–24","Persons","12.7","Per cent","27.9",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","Low distress level","Low distress level, Males","18–24","Males","61.1","Per cent","17.9","#"
"2014-15","ACT","Lifestyle risk factors","Psychological distress","Moderate distress level","Moderate distress level, Males","18–24","Males","27.5","Per cent","35.2","#"
"2014-15","ACT","Lifestyle risk factors","Psychological distress","High/Very high distress level","High/Very high distress level, Males","18–24","Males","14.5","Per cent","35.2",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","Low distress level","Low distress level, Females","18–24","Females","54","Per cent","14","#"
"2014-15","ACT","Lifestyle risk factors","Psychological distress","Moderate distress level","Moderate distress level, Females","18–24","Females","25.3","Per cent","26.5","#"
"2014-15","ACT","Lifestyle risk factors","Psychological distress","High/Very high distress level","High/Very high distress level, Females","18–24","Females","24.8","Per cent","24.1","#"
"2014-15","ACT","Lifestyle risk factors","Psychological distress","Low distress level","Low distress level, Persons","25–34","Persons","68.4","Per cent","4.1",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","Moderate distress level","Moderate distress level, Persons","25–34","Persons","20.2","Per cent","12.3",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","High/Very high distress level","High/Very high distress level, Persons","25–34","Persons","10.1","Per cent","20.2",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","Low distress level","Low distress level, Males","25–34","Males","73.3","Per cent","5.5",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","Moderate distress level","Moderate distress level, Males","25–34","Males","21.7","Per cent","17.2",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","High/Very high distress level","High/Very high distress level, Males","25–34","Males","10.9","Per cent","30",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","Low distress level","Low distress level, Females","25–34","Females","62.8","Per cent","6.4",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","Moderate distress level","Moderate distress level, Females","25–34","Females","22.5","Per cent","16.9",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","High/Very high distress level","High/Very high distress level, Females","25–34","Females","11.4","Per cent","26.1",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","Low distress level","Low distress level, Persons","35–44","Persons","69.4","Per cent","4.5",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","Moderate distress level","Moderate distress level, Persons","35–44","Persons","19.4","Per cent","14",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","High/Very high distress level","High/Very high distress level, Persons","35–44","Persons","10.5","Per cent","22.6",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","Low distress level","Low distress level, Males","35–44","Males","74.9","Per cent","5.9",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","Moderate distress level","Moderate distress level, Males","35–44","Males","18.6","Per cent","19.1",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","High/Very high distress level","High/Very high distress level, Males","35–44","Males","10.3","Per cent","33.4",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","Low distress level","Low distress level, Females","35–44","Females","63.9","Per cent","7.7",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","Moderate distress level","Moderate distress level, Females","35–44","Females","21.5","Per cent","20.1",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","High/Very high distress level","High/Very high distress level, Females","35–44","Females","13.2","Per cent","30",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","Low distress level","Low distress level, Persons","45–54","Persons","66.2","Per cent","5.7",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","Moderate distress level","Moderate distress level, Persons","45–54","Persons","22.9","Per cent","15",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","High/Very high distress level","High/Very high distress level, Persons","45–54","Persons","12.3","Per cent","22.4",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","Low distress level","Low distress level, Males","45–54","Males","75.3","Per cent","7",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","Moderate distress level","Moderate distress level, Males","45–54","Males","17.3","Per cent","25.7",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","High/Very high distress level","High/Very high distress level, Males","45–54","Males","5.4","Per cent","np",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","Low distress level","Low distress level, Females","45–54","Females","58.3","Per cent","10.4","#"
"2014-15","ACT","Lifestyle risk factors","Psychological distress","Moderate distress level","Moderate distress level, Females","45–54","Females","29.8","Per cent","17.8","#"
"2014-15","ACT","Lifestyle risk factors","Psychological distress","High/Very high distress level","High/Very high distress level, Females","45–54","Females","17.2","Per cent","28.9",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","Low distress level","Low distress level, Persons","55–64","Persons","70.5","Per cent","4.9",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","Moderate distress level","Moderate distress level, Persons","55–64","Persons","22.3","Per cent","14.1",
"2014-15","ACT","Lifestyle risk factors","Psychological distress","High/Very high distress level","High/Very high distress level, Persons","55–64","Persons","7.4","Per cent","33.4",
