"id","type","division","location","image_link","video_link","latitude","longitude","location_1"
"Bskt45","Double Court","Wright","Porter Street Neighbourhood Park",,,"-35.3114","149.028152","
,  
(-35.3114, 149.028152)"
"Bskt2","Single Court","Ainslie","Corroboree Park",,,"-35.268338","149.141855","(-35.268338, 149.141855)"
"Bskt14","Single Court","Deakin","Lawley Street - Neighbourhood Park",,,"-35.319147","149.100659","(-35.319147, 149.100659)"
"Bskt11","Single Court","Flynn","Blackwell Circuit Neighbourhood Park",,,"-35.206624","149.038999","(-35.206624, 149.038999)"
"Bskt39","Single Court","Nicholls","Lyrebird Place Pedestrian Parkland",,,"-35.193455","149.106676","(-35.193455, 149.106676)"
"Bskt10","4 Way Hoop","Lyons","Devonport Street - Neighbourhood Park",,,"-35.336639","149.073916","(-35.336639, 149.073916)"
"Bskt40","Half Court","Chisholm","Alston Street Neighbourhood Park",,,"-35.42128","149.122054","(-35.42128, 149.122054)"
"Bskt25","Single Court","Macarthur","Hawkesworth Place - Neighbourhood Park",,,"-35.408123","149.129002","(-35.408123, 149.129002)"
"Bskt5","Half Court","Greenway","Lake Tuggeranong District Park",,,"-35.402904","149.071724","(-35.402904, 149.071724)"
"Bskt8","4 Way Hoop","Kambah","Rundle Place - Neighbourhood Park",,,"-35.372251","149.062246","(-35.372251, 149.062246)"
"Bskt26","4 Way Hoop","Oaks Estate","River Street Neighbourhood Park",,,"-35.341884","149.227383","(-35.341884, 149.227383)"
"Bskt29","Double Court","Belconnen","John Knight Memorial Park",,,"-35.237826","149.074645","(-35.237826, 149.074645)"
"Bskt4","Half Court","Deakin","Hannah Place - Pedestrian Parkland",,,"-35.314768","149.10579","(-35.314768, 149.10579)"
"Bskt32","Single Court","O'connor","Cockle Street  Pedestrian Parkland",,,"-35.264871","149.113599","(-35.264871, 149.113599)"
"Bskt42","4 Way Hoop","Charnwood","Packham Place Neighbourhood Park",,,"-35.201965","149.038737","(-35.201965, 149.038737)"
"Bskt7","4 Way Hoop","Kambah","Boddington Crescent - Neighbourhood Park",,,"-35.389103","149.051935","(-35.389103, 149.051935)"
"Bskt35","Half Court","Waramanga","Nemarang Crescent Neighbourhood Park",,,"-35.357267","149.063593","(-35.357267, 149.063593)"
"Bskt12","Half Court","Evatt","Kingston Street Pedestrian Parkland",,,"-35.209532","149.077357","(-35.209532, 149.077357)"
"Bskt6","Single Court","Gordon","Point Hut District Park",,,"-35.456377","149.084235","(-35.456377, 149.084235)"
"Bskt28","Half Court","Paddys River (Rural Dist.)","Coree - Cotter Road",,,"-35.323883","148.941168","(-35.323883, 148.941168)"
"Bskt17","Half Court","Bonython","Burgoyne Street Neighbourhood Park",,,"-35.426712","149.07164","(-35.426712, 149.07164)"
"Bskt34","Half Court","Waramanga","Malara Street Neighbourhood Park",,,"-35.350207","149.061227","(-35.350207, 149.061227)"
"Bskt1","Half Court","Weston","Dillon Close - Pedestrian Parkland",,,"-35.337649","149.053683","(-35.337649, 149.053683)"
"Bskt3","Half Court","Harrison","Helby Street Neighbourhood Park",,,"-35.20798","149.160242","(-35.20798, 149.160242)"
"Bskt15","Half Court","Kingston","Sandalwood Street - Neighbourhood Park",,,"-35.31666","149.152879","(-35.31666, 149.152879)"
"Bskt30","Single Court","Narrabundah","Kootara Crescent",,,"-35.330285","149.151911","(-35.330285, 149.151911)"
"Bskt31","Half Court","Forde","Mulligans Flat Road Pedestrian Parkland",,,"-35.157396","149.150881","(-35.157396, 149.150881)"
"Bskt33","Half Court","Duffy","Cargelligo Street Pedestrian Parkland",,,"-35.334126","149.030598","(-35.334126, 149.030598)"
"Bskt37","4 Way Hoop","Kambah","Kambah District Park",,,"-35.392426","149.062122","(-35.392426, 149.062122)"
"Bskt24","Half Court","Chifley","Shann Place  Neighbourhood Park",,,"-35.352159","149.077012","(-35.352159, 149.077012)"
"Bskt38","4 Way Hoop","Kambah","Kambah District Park",,,"-35.392427","149.062302","(-35.392427, 149.062302)"
"Bskt23","Half Court","Kambah","Boddington Crescent Neighbourhood Park",,,"-35.383505","149.052571","(-35.383505, 149.052571)"
"Bskt13","Half Court","Hackett","Brennan Street  Neighbourhood Park",,,"-35.253398","149.165685","(-35.253398, 149.165685)"
"Bskt36","Half Court","Wanniassa","Lansell Circuit Pedestrian Parkland",,,"-35.404784","149.103042","(-35.404784, 149.103042)"
"Bskt22","Half Court","Forde","Amy Ackman Street Neighbourhood Park",,,"-35.16785","149.143869","(-35.16785, 149.143869)"
"Bskt44","Single Court","Throsby","Bettong Avenue Neighbourhood Park",,,"-35.188035","149.162369","(-35.188035, 149.162369)"
"Bskt43","Half Court","Monash","Griffin Place Pedestrian Parkland",,,"-35.418688","149.083038","(-35.418688, 149.083038)"
"Bskt16","Half Court","Macgregor","Clyde Finlay Street Neighbourhood Park",,,"-35.20853","149.001871","(-35.20853, 149.001871)"
"Bskt20","Double Court","Lyneham","Lambert Place - Road Verge",,,"-35.247334","149.120967","(-35.247334, 149.120967)"
"Bskt21","Half Court","Dunlop","Percy Pegg Circuit Neighbourhood Park",,,"-35.188399","149.017748","(-35.188399, 149.017748)"
"Bskt41","Half Court","Ngunnawal","Gadali Crescent Pedestrian Parkland",,,"-35.180051","149.119613","(-35.180051, 149.119613)"
"Bskt19","Half Court","Phillip","Edison District Park",,,"-35.339862","149.091642","(-35.339862, 149.091642)"
"Bskt9","4 Way Hoop","Kambah","Attiwell Circuit - Neighbourhood Park",,,"-35.377732","149.053236","(-35.377732, 149.053236)"
"Bskt27","Half Court","City","City Youth Centre Basket Ball Court",,,"-35.277923","149.134538","(-35.277923, 149.134538)"
"Bskt18","Single Court","Gungahlin","Yerrabi District Park",,,"-35.179882","149.129916","(-35.179882, 149.129916)"
"Bskt46","Half Court","Whitlam","Mcdonagh Crescent Neighbourhood Park",,,"-35.270855","149.046666","
,  
(-35.270855, 149.046666)"
"Bskt47","Half Court","Torrens","Torrens Place Pedestrian Parkland",,,"-35.373231","149.08801","
,  
(-35.373231, 149.08801)"
