"routenumber","shift","starttime","vehiclestyle","description","address","phone","school_name","website","location"
"1001","1550","7:53:00 AM","Euro","Forde, Bonner, Amaroo, Ngunnawal","1021 Gungahlin Dr, Nicholls","(02) 6163 4800","St John Paul II College","https://www.transport.act.gov.au/getting-around/getting-to-school","POINT (149.1008999 -35.17702592)"
"1002","1041","8:33:00 AM","IRIS","Gungahlin Place Non Stop","1021 Gungahlin Dr, Nicholls","(02) 6163 4800","St John Paul II College","https://www.transport.act.gov.au/getting-around/getting-to-school","POINT (149.1008999 -35.17702592)"
"1009","1034","7:23:00 AM","PR 3","Ngunnawal, Moncrieff, Amaroo, Bonner","4 The Valley Avenue, Gungahlin","(02) 6255 7700","Burgmann Anglican School Valley Campus","https://www.transport.act.gov.au/getting-around/getting-to-school","POINT (149.1236662 -35.18784524)"
"1001","1358","8:05:00 AM","Euro","Bonner, Amaroo, Ngunnawal","1021 Gungahlin Dr, Nicholls","(02) 6163 4800","St John Paul II College","https://www.transport.act.gov.au/getting-around/getting-to-school","POINT (149.1008999 -35.17702592)"
"1002","1605","3:44:00 PM","Euro","Gungahlin Place Non Stop","1021 Gungahlin Dr, Nicholls","(02) 6163 4800","St John Paul II College","https://www.transport.act.gov.au/getting-around/getting-to-school","POINT (149.1008999 -35.17702592)"
"1003","1412","3:45:00 PM","Euro","Gungahlin, Throsby, Harrison, Franklin, Palmerston","1021 Gungahlin Dr, Nicholls","(02) 6163 4800","St John Paul II College","https://www.transport.act.gov.au/getting-around/getting-to-school","POINT (149.1008999 -35.17702592)"
"1001","1433","3:51:00 PM","Euro","Forde, Bonner, Amaroo, Ngunnawal","1021 Gungahlin Dr, Nicholls","(02) 6163 4800","St John Paul II College","https://www.transport.act.gov.au/getting-around/getting-to-school","POINT (149.1008999 -35.17702592)"
"1002","1547","3:54:00 PM","PR 3","Gungahlin Place Non Stop","1021 Gungahlin Dr, Nicholls","(02) 6163 4800","St John Paul II College","https://www.transport.act.gov.au/getting-around/getting-to-school","POINT (149.1008999 -35.17702592)"
"1001","1414","3:57:00 PM","Euro","Forde, Bonner, Amaroo, Ngunnawal","1021 Gungahlin Dr, Nicholls","(02) 6163 4800","St John Paul II College","https://www.transport.act.gov.au/getting-around/getting-to-school","POINT (149.1008999 -35.17702592)"
"1009","1622","3:25:00 PM","Euro","Ngunnawal, Moncrieff, Amaroo, Bonner","4 The Valley Avenue, Gungahlin","(02) 6255 7700","Burgmann Anglican School Valley Campus","https://www.transport.act.gov.au/getting-around/getting-to-school","POINT (149.1236662 -35.18784524)"
"1018","1629","3:35:00 PM","PR 3","Crace, Giralang, Kaleen","73 Davenport St, Dickson","(02) 6247 7151","Emmaus Christian School","https://www.transport.act.gov.au/getting-around/getting-to-school","POINT (149.1428789 -35.25344606)"
"1003","1357","7:58:00 AM","Euro","Gungahlin, Throsby, Harrison, Franklin, Palmerston","1021 Gungahlin Dr, Nicholls","(02) 6163 4800","St John Paul II College","https://www.transport.act.gov.au/getting-around/getting-to-school","POINT (149.1008999 -35.17702592)"
"1002","1341","8:26:00 AM","Std","Gungahlin Place Non Stop","1021 Gungahlin Dr, Nicholls","(02) 6163 4800","St John Paul II College","https://www.transport.act.gov.au/getting-around/getting-to-school","POINT (149.1008999 -35.17702592)"
"1023","1450","3:31:00 PM","Euro","Bonner, Amaroo, Gungahlin","121 Cowper Street, Dickson","(02) 6245 6300","Daramalan College","https://www.transport.act.gov.au/getting-around/getting-to-school","POINT (149.1389186 -35.25300846)"
"2047","2534","7:51:00 AM","Std","Hughes, Garran","27 Marr Street, Pearce","(02) 6298 7271","Marist College Canberra","https://www.transport.act.gov.au/getting-around/getting-to-school","POINT (149.0882278 -35.35945117)"
"1045","1318","6:58:00 AM","Euro","Gungahlin Place, Ngunnawal, Casey, Nicholls, Spence, Melba","Copland Drive, Melba","(02) 6142 0333","Melba Copland Secondary School 11-12","https://www.transport.act.gov.au/getting-around/getting-to-school","POINT (149.0588667 -35.21250506)"
"1032","1353","3:11:00 PM","Euro","Ainslie, Hackett","24 White Cres, Campbell","(02) 6249 8869","St Thomas More's Primary School","https://www.transport.act.gov.au/getting-around/getting-to-school","POINT (149.1556876 -35.28732792)"
"2073","2532","7:43:00 AM","Std","Waramanga, Fisher, Stirling, Rivett, Chapman","34 McBryde Cres, Wanniassa","(02) 6231 4177","Trinity Christian School","https://www.transport.act.gov.au/getting-around/getting-to-school","POINT (149.0865327 -35.40790103)"
"2042","2005","7:34:00 AM","PR 3","Lanyon Marketplace, Gordon, Banks, Conder","27 Marr Street, Pearce","(02) 6298 7271","Marist College Canberra","https://www.transport.act.gov.au/getting-around/getting-to-school","POINT (149.0882278 -35.35945117)"
"2038","2618","3:21:00 PM","Std","Woden Interchange Non Stop","41 Marr Street, Pearce","(02) 6142 0700","Melrose High School","https://www.transport.act.gov.au/getting-around/getting-to-school","POINT (149.0885994 -35.36276738)"
"2016","2621","3:30:00 PM","Std","Garran, Hughes, Deakin","15 Alexander Street, 18 Golden Grove, Red Hill","(02) 6260 9600","Canberra Grammar Junior School","https://www.transport.act.gov.au/getting-around/getting-to-school","POINT (149.124805 -35.33241923)"
"2071","2543","7:58:00 AM","Std","Chisholm Centre, Chisholm, Gilmore, Richardson","90 Ellerston Ave, Isabella Plains","(02) 6209 0100","St Mary Mackillop College - Senior Campus","https://www.transport.act.gov.au/getting-around/getting-to-school","POINT (149.0931127 -35.42505875)"
