"sign_id","sign_code","sign_type","sign_purpose","sign_type_text","suburb","location_description","sign_text","limit_description","no_of_signs","location_1","latitude","longitude"
"43922","W1-3","WARNING SIGN","ALIGNMENT SERIES","CURVE (symbolic - L & R)","TENNENT (RURAL DIST.)","NAAS ROAD","CURVE (symbolic - L & R)",,"1",,"-35.599134","149.052973"
"34838","W6-1","WARNING SIGN","PEDESTRIAN, BICYCLE AND SCHOOL SERIES","PEDESTRIANS","BRUCE","JAEGER CIRCUIT","PEDESTRIANS",,"1",,"-35.251166","149.087278"
"37019","G5-1","GUIDE SIGN","STREET NAME AND PEDESTRIAN DIRECTION SERIES","STREET NAME","EVATT","OWEN DIXON DRIVE SERVICE ROAD","STREET NAME",,"1",,"-35.203666","149.078943"
"49747","W5-10","WARNING SIGN","ROAD OBSTACLE SERIES","ROAD HUMP","GRIFFITH","MONARO CRESCENT","ROAD HUMP",,"1",,"-35.32894","149.128014"
"46543","R5-20/12","REGULATORY SIGN","PARKING SERIES","BUS ZONE","BARTON","NEW SOUTH WALES CRESCENT","BUS ZONE - 8AM-4PM SCHOOL DAYS",,"1",,"-35.315346","149.134295"
"38259","R5-16/1","REGULATORY SIGN","PARKING SERIES","TIME LIMIT","FYSHWICK","WOLLONGONG STREET","30MIN - 7.30AM-6PM MON-FRI PUB HOL EXC","30 MINUTE","1",,"-35.326665","149.178233"
"35531","R4-1(60)","REGULATORY SIGN","SPEED SERIES","SPEED RESTRICTION (60)","CAMPBELL","BLAMEY CRESCENT","SPEED RESTRICTION (60)","60 km/h","1",,"-35.285577","149.145864"
"36517","W4-5","WARNING SIGN","ROAD WIDTH, LOW AND NARROW CLEARANCE SIGNS","ISLAND","CURTIN","ADELWCOTTWRM RAMP","ISLAND",,"1",,"-35.313855","149.091106"
"51745","R5-2/1","REGULATORY SIGN","PARKING SERIES","TIME LIMIT","AINSLIE","HAYLEY STREET","2HR - 7.30AM-6PM MON-FRI PUB HOL EXC","2 HOUR","1",,"-35.273405","149.145664"
"39626","W8-2(25)","WARNING SIGN","SUPPLEMENTARY PLATE SERIES","ADVISORY SPEED 25km/h","AMAROO","TARRABOOL STREET","ADVISORY SPEED 25km/h","25 km/h","1",,"-35.172634","149.133645"
