"camera_type","camera_location_code","location_code","latitude","longitude","location_description","location","decommissioned_camera_date"
"MOBILE SPEED CAMERA","0001A","0001A","-35.313899999999997","149.09950000000001","Adelaide Ave & Tourist Drive 5 & Kent St, Deakin ACT 2600, Australia","(-35.3139, 149.0995)",
"MOBILE SPEED CAMERA","0001B","0001B","-35.312330000000003","149.10587000000001","Hopetoun Circuit & Tourist Drive 5 & Adelaide Ave & Tourist Drive 6, Yarralumla ACT 2600, Australia","(-35.31233, 149.10587)",
"MOBILE SPEED CAMERA","0001C","0001C","-35.310879999999997","149.11323999999999","Adelaide Ave, Deakin ACT 2600, Australia","(-35.31088, 149.11324)",
"MOBILE SPEED CAMERA","0001D","0001D","-35.31073","149.11328","Adelaide Ave, Deakin ACT 2600, Australia","(-35.31073, 149.11328)",
"MOBILE SPEED CAMERA","0002A","0002A","-35.248640000000002","149.14285000000001","97 Antill St, Downer ACT 2602, Australia","(-35.24864, 149.14285)",
"MOBILE SPEED CAMERA","0002B","0002B","-35.248809999999999","149.14293000000001","97 Antill St, Downer ACT 2602, Australia","(-35.24881, 149.14293)",
"MOBILE SPEED CAMERA","0002C","0002C","-35.248429999999999","149.14535000000001","121 Antill St, Downer ACT 2602, Australia","(-35.24843, 149.14535)",
"MOBILE SPEED CAMERA","0002D","0002D","-35.248550000000002","149.14529999999999","121 Antill St, Downer ACT 2602, Australia","(-35.24855, 149.1453)",
"MOBILE SPEED CAMERA","0002E","0002E","-35.24783","149.14977999999999","165 Antill St, Downer ACT 2602, Australia","(-35.24783, 149.14978)",
"MOBILE SPEED CAMERA","0002E","0002E","-35.247909999999997","149.14975999999999","165 Antill St, Downer ACT 2602, Australia","(-35.24791, 149.14976)",
"MOBILE SPEED CAMERA","0002F","0002F","-35.247959999999999","149.14935","161 Antill St, Downer ACT 2602, Australia","(-35.24796, 149.14935)",
"MOBILE SPEED CAMERA","0002G","0002G","-35.24438","149.15914000000001","251 Antill St, Watson ACT 2602, Australia","(-35.24438, 149.15914)",
"MOBILE SPEED CAMERA","0002H","0002H","-35.241970000000002","149.16217","293 Antill St, Watson ACT 2602, Australia","(-35.24197, 149.16217)",
"MOBILE SPEED CAMERA","0002I","0002I","-35.23236","149.16648000000001","363 Antill St, Watson ACT 2602, Australia","(-35.23236, 149.16648)",
"MOBILE SPEED CAMERA","0002J","0002J","-35.229149999999997","149.16684000000001","400 Antill St, Watson ACT 2602, Australia","(-35.22915, 149.16684)",
"MOBILE SPEED CAMERA","0002K","0002K","-35.231810000000003","149.16679999999999","363 Antill St, Watson ACT 2602, Australia","(-35.23181, 149.1668)",
"MOBILE SPEED CAMERA","0002L","0002L","-35.241059999999997","149.16362000000001","309 Antill St, Watson ACT 2602, Australia","(-35.24106, 149.16362)",
"MOBILE SPEED CAMERA","0002M","0002M","-35.245010000000001","149.15870000000001","243 Antill St, Watson ACT 2602, Australia","(-35.24501, 149.1587)",
"MOBILE SPEED CAMERA","0002N","0002N","-35.248289999999997","149.14927","170 Antill St, Downer ACT 2602, Australia","(-35.24829, 149.14927)",
