"contrib_desc","year","quarter","report_no","contrib_type","contrib_code","person_id","vehicle_id"
"Not Applicable","2015","Q2","MSP6376002G","Person","0","dde89c77-bdd1-4a32-8aa7-18abd86ec44a",
"Not Applicable","2015","Q2","ZD5880000Q","Person","0","7c8fe502-0d62-466c-99c2-676ccfbdda23",
"Not Applicable","2015","Q2","ZD5880000Q","Person","0","415a2376-a3c9-435f-97dd-38897362544b",
"Improper Lane Change","2015","Q2","CB5671000J","Person","24","d9d55ddc-36a7-4143-ae8e-392f57fbc791",
"Improper Passing","2015","Q2","CB5671000J","Person","26","d9d55ddc-36a7-4143-ae8e-392f57fbc791",
"Not Applicable","2015","Q2","MCP2134000B","Person","0","688f2794-39e8-4fc1-bfad-2e885e08dab0",
"Not Applicable","2015","Q2","MCP2134000B","Person","0","6c6d9f1f-4104-41dd-b54a-58f671ca7104",
"Not Applicable","2015","Q2","CB5720000N","Person","0","bb07f525-9d4c-4be8-8cf8-e3e61f0be551",
"Not Applicable","2015","Q2","ADI872000K","Person","0","36b153e2-2434-4535-9345-294c5be30295",
"Other Improper Action","2015","Q2","AE54880007","Person","75.88","1774367b-417f-44ad-a16e-49e58fe8814d",
"Under Influence of Alcohol","2015","Q2","AE54880007","Person","2","1774367b-417f-44ad-a16e-49e58fe8814d",
,"2015","Q2","AE54880007","Person","60.88","1774367b-417f-44ad-a16e-49e58fe8814d",
"Improper Backing","2019","Q1","MCP3121001T","Person","25","12a01671-7167-4ff7-8afd-22ef912bb8f2",
,"2019","Q1","MCP3121001T","Person","60.88","12a01671-7167-4ff7-8afd-22ef912bb8f2",
"Improper Backing","2019","Q1","MCP0036009H","Person","25","5cd47e6c-0803-4e33-8756-0b1cc40153ef",
"Not Applicable","2019","Q1","MCP0036009H","Person","0","e75a5aa4-1f02-43f4-86b9-6edfe6fa6fbb",
"Not Applicable","2019","Q1","BS05270023","Person","0","c10ee7c3-d052-4c31-97cb-8ea1980d86de",
"Not Applicable","2019","Q1","MCP2929003L","Person","0","a77a71cd-5a64-450a-a0f1-ac54bc8913ad",
"Followed Too Closely","2019","Q1","DA40880030","Person","22","d5561830-9ef1-4f84-b6f2-c2b514ead5fe",
,"2019","Q1","DA40880030","Person","60.88","d5561830-9ef1-4f84-b6f2-c2b514ead5fe",
,"2019","Q1","DA4189000S","Person","60.88","61ea26cf-2d56-41b2-ae63-aec704f69791",
