"month","strategy_c_metric_3_number_of_veterans_linked_to_employment","strategy_c_metric_3_analysis","strategy_c_metric_3_correlations"
"11-Nov","15","Data Tracking Began this Month.","No Correlations Lower than the 0.1 Level were Found."
"11-Dec","14","Percent Change Since Previous Month: -7%. Absolute Change Since Previous Month: -1. Rolling Twelve Month Mean: 14.5. Mean to Date: 14.5. Median to Date: 14.5. Rolling Twelve Month Sum: 29. Sum to Date: 29. The Magnitude of the Change this Month is 1x the Magnitude of the Average Monthly Change (1).","No Correlations Lower than the 0.1 Level were Found."
"12-Jan",,"Data not Reported for this Month.","No Correlations Lower than the 0.1 Level were Found."
"12-Feb","9","More than 1 Standard Deviation Below the Mean. Percent Change Since Previous Month: Undefined. Absolute Change Since Previous Month: Undefined. Rolling Twelve Month Mean: 12.67. Mean to Date: 12.67. Median to Date: 14. Rolling Twelve Month Sum: 38. Sum to Date: 38. The Magnitude of the Change this Month is Unknown. The Magnitude of the Average Monthly Change is Still 1.","No Correlations Lower than the 0.1 Level were Found."
"12-Mar","4","More than 1 Standard Deviation Below the Mean. Percent Change Since Previous Month: -56%. Absolute Change Since Previous Month: -5. Rolling Twelve Month Mean: 10.5. Mean to Date: 10.5. Median to Date: 11.5. Rolling Twelve Month Sum: 42. Sum to Date: 42. The Magnitude of the Change this Month is 1.67x the Magnitude of the Average Monthly Change (3).","Strategy D Metric 2.  Number of veterans and their families served by the Alcohol and Drug Abuse Administration (N = 4, r = -0.91, p = 0.089*) "
"12-Apr","2","More than 1 Standard Deviation Below the Mean. Percent Change Since Previous Month: -50%. Absolute Change Since Previous Month: -2. Rolling Twelve Month Mean: 8.8. Mean to Date: 8.8. Median to Date: 9. Rolling Twelve Month Sum: 44. Sum to Date: 44. The Magnitude of the Change this Month is 0.75x the Magnitude of the Average Monthly Change (2.67).","Strategy D Metric 2.  Number of veterans and their families served by the Alcohol and Drug Abuse Administration (N = 5, r = -0.95, p = 0.014*) "
"12-May","9","Percent Change Since Previous Month: 350%. Absolute Change Since Previous Month: 7. Rolling Twelve Month Mean: 8.83. Mean to Date: 8.83. Median to Date: 9. Rolling Twelve Month Sum: 53. Sum to Date: 53. The Magnitude of the Change this Month is 1.87x the Magnitude of the Average Monthly Change (3.75).","Strategy C Metric 5. Number of veterans linked to financial assistance.  (N = 6, r = 0.77, p = 0.072*) ... Strategy D Metric 2.  Number of veterans and their families served by the Alcohol and Drug Abuse Administration (N = 6, r = -0.75, p = 0.087*) "
"12-Jun","11","Percent Change Since Previous Month: 22%. Absolute Change Since Previous Month: 2. Rolling Twelve Month Mean: 9.14. Mean to Date: 9.14. Median to Date: 9. Rolling Twelve Month Sum: 64. Sum to Date: 64. The Magnitude of the Change this Month is 0.59x the Magnitude of the Average Monthly Change (3.4).","Strategy C Metric 5. Number of veterans linked to financial assistance.  (N = 7, r = 0.76, p = 0.046*) ... Strategy D Metric 2.  Number of veterans and their families served by the Alcohol and Drug Abuse Administration (N = 7, r = -0.7, p = 0.079*) "
"12-Jul","12","Percent Change Since Previous Month: 9%. Absolute Change Since Previous Month: 1. Rolling Twelve Month Mean: 9.5. Mean to Date: 9.5. Median to Date: 10. Rolling Twelve Month Sum: 76. Sum to Date: 76. The Magnitude of the Change this Month is 0.33x the Magnitude of the Average Monthly Change (3).","Strategy C Metric 5. Number of veterans linked to financial assistance.  (N = 8, r = 0.77, p = 0.026*) "
"12-Aug","16","More than 1 Standard Deviation Above the Mean. Percent Change Since Previous Month: 33%. Absolute Change Since Previous Month: 4. Rolling Twelve Month Mean: 10.22. Mean to Date: 10.22. Median to Date: 11. Rolling Twelve Month Sum: 92. Sum to Date: 92. The Magnitude of the Change this Month is 1.27x the Magnitude of the Average Monthly Change (3.14).","Strategy C Metric 5. Number of veterans linked to financial assistance.  (N = 9, r = 0.81, p = 0.009**) "
"12-Sep","8","Percent Change Since Previous Month: -50%. Absolute Change Since Previous Month: -8. Rolling Twelve Month Mean: 10. Mean to Date: 10. Median to Date: 10. Rolling Twelve Month Sum: 100. Sum to Date: 100. The Magnitude of the Change this Month is 2.13x the Magnitude of the Average Monthly Change (3.75).","Strategy C Metric 1. Number of veterans linked to housing services (N = 10, r = 0.59, p = 0.072*) ... Strategy C Metric 5. Number of veterans linked to financial assistance.  (N = 10, r = 0.79, p = 0.006**) "
"12-Oct","4","More than 1 Standard Deviation Below the Mean. Percent Change Since Previous Month: -50%. Absolute Change Since Previous Month: -4. Rolling Twelve Month Mean: 9.45. Mean to Date: 9.45. Median to Date: 9. Rolling Twelve Month Sum: 104. Sum to Date: 104. The Magnitude of the Change this Month is 1.06x the Magnitude of the Average Monthly Change (3.78).","Strategy C Metric 1. Number of veterans linked to housing services (N = 11, r = 0.61, p = 0.048*) ... Strategy C Metric 5. Number of veterans linked to financial assistance.  (N = 11, r = 0.67, p = 0.024*) "
"12-Nov","6","Percent Change Since Previous Month: 50%. Absolute Change Since Previous Month: 2. Rolling Twelve Month Mean: 8.64. Mean to Date: 9.17. Median to Date: 9. Rolling Twelve Month Sum: 95. Sum to Date: 110. The Magnitude of the Change this Month is 0.56x the Magnitude of the Average Monthly Change (3.6).","Strategy A Metric 3. Number of referrals received from local health departments. (N = 7, r = -0.73, p = 0.064*) ... Strategy C Metric 1. Number of veterans linked to housing services (N = 12, r = 0.6, p = 0.038*) ... Strategy C Metric 5. Number of veterans linked to financial assistance.  (N = 12, r = 0.67, p = 0.018*) "
"12-Dec","6","Percent Change Since Previous Month: 0%. Absolute Change Since Previous Month: 0. Rolling Twelve Month Mean: 7.91. Mean to Date: 8.92. Median to Date: 9. Rolling Twelve Month Sum: 87. Sum to Date: 116. The Magnitude of the Change this Month is 0x the Magnitude of the Average Monthly Change (3.27).","Strategy A Metric 3. Number of referrals received from local health departments. (N = 8, r = -0.66, p = 0.074*) ... Strategy C Metric 1. Number of veterans linked to housing services (N = 13, r = 0.61, p = 0.026*) ... Strategy C Metric 5. Number of veterans linked to financial assistance.  (N = 13, r = 0.67, p = 0.012*) "
"13-Jan","4","More than 1 Standard Deviation Below the Mean. Percent Change Since Previous Month: -33%. Absolute Change Since Previous Month: -2. Rolling Twelve Month Mean: 7.58. Mean to Date: 8.57. Median to Date: 8.5. Rolling Twelve Month Sum: 91. Sum to Date: 120. The Magnitude of the Change this Month is 0.63x the Magnitude of the Average Monthly Change (3.17).","Strategy A Metric 1. Number referrals received from 1-877 TeleRep (N = 6, r = -0.78, p = 0.069*) ... Strategy A Metric 2.Number of Callers Assisted by 4 RRCs (N = 6, r = 0.8, p = 0.056*) ... Strategy A Metric 3. Number of referrals received from local health departments. (N = 9, r = -0.67, p = 0.051*) ... Strategy C Metric 1. Number of veterans linked to housing services (N = 14, r = 0.64, p = 0.013*) ... Strategy C Metric 5. Number of veterans linked to financial assistance.  (N = 14, r = 0.66, p = 0.01**) ... Strategy D Metric 2.  Number of veterans and their families served by the Alcohol and Drug Abuse Administration (N = 14, r = -0.51, p = 0.065*) "
"13-Feb","3","More than 1 Standard Deviation Below the Mean. Percent Change Since Previous Month: -25%. Absolute Change Since Previous Month: -1. Rolling Twelve Month Mean: 7.08. Mean to Date: 8.2. Median to Date: 8. Rolling Twelve Month Sum: 85. Sum to Date: 123. The Magnitude of the Change this Month is 0.33x the Magnitude of the Average Monthly Change (3).","Strategy A Metric 2.Number of Callers Assisted by 4 RRCs (N = 7, r = 0.78, p = 0.038*) ... Strategy C Metric 1. Number of veterans linked to housing services (N = 15, r = 0.63, p = 0.012*) ... Strategy C Metric 5. Number of veterans linked to financial assistance.  (N = 15, r = 0.66, p = 0.007**) ... Strategy D Metric 2.  Number of veterans and their families served by the Alcohol and Drug Abuse Administration (N = 15, r = -0.53, p = 0.042*) "
"13-Mar","3","More than 1 Standard Deviation Below the Mean. Percent Change Since Previous Month: 0%. Absolute Change Since Previous Month: 0. Rolling Twelve Month Mean: 7. Mean to Date: 7.88. Median to Date: 7. Rolling Twelve Month Sum: 84. Sum to Date: 126. The Magnitude of the Change this Month is 0x the Magnitude of the Average Monthly Change (2.79).","Strategy A Metric 2.Number of Callers Assisted by 4 RRCs (N = 8, r = 0.79, p = 0.02*) ... Strategy C Metric 1. Number of veterans linked to housing services (N = 16, r = 0.6, p = 0.014*) ... Strategy C Metric 5. Number of veterans linked to financial assistance.  (N = 16, r = 0.69, p = 0.003**) ... Strategy D Metric 2.  Number of veterans and their families served by the Alcohol and Drug Abuse Administration (N = 16, r = -0.56, p = 0.024*) "
"13-Apr","11","Percent Change Since Previous Month: 267%. Absolute Change Since Previous Month: 8. Rolling Twelve Month Mean: 7.75. Mean to Date: 8.06. Median to Date: 8. Rolling Twelve Month Sum: 93. Sum to Date: 137. The Magnitude of the Change this Month is 2.55x the Magnitude of the Average Monthly Change (3.13).","Strategy A Metric 2.Number of Callers Assisted by 4 RRCs (N = 9, r = 0.67, p = 0.049*) ... Strategy C Metric 1. Number of veterans linked to housing services (N = 17, r = 0.6, p = 0.011*) ... Strategy C Metric 5. Number of veterans linked to financial assistance.  (N = 17, r = 0.7, p = 0.002**) ... Strategy D Metric 2.  Number of veterans and their families served by the Alcohol and Drug Abuse Administration (N = 17, r = -0.48, p = 0.05*) "
"13-May","10","Percent Change Since Previous Month: -9%. Absolute Change Since Previous Month: -1. Rolling Twelve Month Mean: 7.83. Mean to Date: 8.17. Median to Date: 8.5. Rolling Twelve Month Sum: 94. Sum to Date: 147. The Magnitude of the Change this Month is 0.33x the Magnitude of the Average Monthly Change (3).","Strategy A Metric 2.Number of Callers Assisted by 4 RRCs (N = 10, r = 0.67, p = 0.033*) ... Strategy C Metric 1. Number of veterans linked to housing services (N = 18, r = 0.59, p = 0.009**) ... Strategy C Metric 5. Number of veterans linked to financial assistance.  (N = 18, r = 0.67, p = 0.002**) ... Strategy D Metric 2.  Number of veterans and their families served by the Alcohol and Drug Abuse Administration (N = 18, r = -0.41, p = 0.09*) "
"13-Jun","12","Percent Change Since Previous Month: 20%. Absolute Change Since Previous Month: 2. Rolling Twelve Month Mean: 7.92. Mean to Date: 8.37. Median to Date: 9. Rolling Twelve Month Sum: 95. Sum to Date: 159. The Magnitude of the Change this Month is 0.68x the Magnitude of the Average Monthly Change (2.94).","Strategy A Metric 2.Number of Callers Assisted by 4 RRCs (N = 11, r = 0.71, p = 0.014*) ... Strategy C Metric 1. Number of veterans linked to housing services (N = 19, r = 0.61, p = 0.006**) ... Strategy C Metric 5. Number of veterans linked to financial assistance.  (N = 19, r = 0.64, p = 0.003**) "
"13-Jul","12","Percent Change Since Previous Month: 0%. Absolute Change Since Previous Month: 0. Rolling Twelve Month Mean: 7.92. Mean to Date: 8.55. Median to Date: 9. Rolling Twelve Month Sum: 95. Sum to Date: 171. The Magnitude of the Change this Month is 0x the Magnitude of the Average Monthly Change (2.78).","Key Outcome 2. Number of veterans linked to behavioral health services through VA health services (N = 20, r = 0.4, p = 0.078*) ... Strategy A Metric 2.Number of Callers Assisted by 4 RRCs (N = 12, r = 0.74, p = 0.006**) ... Strategy C Metric 1. Number of veterans linked to housing services (N = 20, r = 0.63, p = 0.003**) ... Strategy C Metric 5. Number of veterans linked to financial assistance.  (N = 20, r = 0.65, p = 0.002**) "
"13-Aug","12","Percent Change Since Previous Month: 0%. Absolute Change Since Previous Month: 0. Rolling Twelve Month Mean: 7.58. Mean to Date: 8.71. Median to Date: 9. Rolling Twelve Month Sum: 91. Sum to Date: 183. The Magnitude of the Change this Month is 0x the Magnitude of the Average Monthly Change (2.63).","Key Outcome 2. Number of veterans linked to behavioral health services through VA health services (N = 21, r = 0.43, p = 0.053*) ... Strategy A Metric 2.Number of Callers Assisted by 4 RRCs (N = 13, r = 0.76, p = 0.002**) ... Strategy A Metric 3. Number of referrals received from local health departments. (N = 16, r = -0.45, p = 0.078*) ... Strategy C Metric 1. Number of veterans linked to housing services (N = 21, r = 0.64, p = 0.002**) ... Strategy C Metric 5. Number of veterans linked to financial assistance.  (N = 21, r = 0.67, p = 0.001***) "
"13-Sep","14","More than 1 Standard Deviation Above the Mean. Percent Change Since Previous Month: 17%. Absolute Change Since Previous Month: 2. Rolling Twelve Month Mean: 8.08. Mean to Date: 8.95. Median to Date: 9.5. Rolling Twelve Month Sum: 97. Sum to Date: 197. The Magnitude of the Change this Month is 0.77x the Magnitude of the Average Monthly Change (2.6).","Key Outcome 2. Number of veterans linked to behavioral health services through VA health services (N = 22, r = 0.48, p = 0.023*) ... Strategy A Metric 2.Number of Callers Assisted by 4 RRCs (N = 14, r = 0.8, p = 0.001***) ... Strategy A Metric 3. Number of referrals received from local health departments. (N = 17, r = -0.44, p = 0.077*) ... Strategy C Metric 1. Number of veterans linked to housing services (N = 22, r = 0.62, p = 0.002**) "
"13-Oct","23","More than 2 Standard Deviations Above the Mean. Percent Change Since Previous Month: 64%. Absolute Change Since Previous Month: 9. Rolling Twelve Month Mean: 9.67. Mean to Date: 9.57. Median to Date: 10. Rolling Twelve Month Sum: 116. Sum to Date: 220. The Magnitude of the Change this Month is 3.1x the Magnitude of the Average Monthly Change (2.9).","Key Outcome 2. Number of veterans linked to behavioral health services through VA health services (N = 23, r = 0.53, p = 0.009**) ... Strategy A Metric 4. Number of transports to maintain veterans in behavioral healthcare   (N = 23, r = 0.46, p = 0.027*) ... Strategy C Metric 1. Number of veterans linked to housing services (N = 23, r = 0.6, p = 0.002**) ... Strategy C Metric 2. Number of veterans linked to medical services  (N = 23, r = 0.46, p = 0.027*) ... Strategy C Metric 5. Number of veterans linked to financial assistance.  (N = 23, r = 0.53, p = 0.01**) "
