"program_name","technology","application_received_date","award_date","award_amount","actual_start_date","actual_end_date","award_status","last_invoice_received_date","total_disbursed_amount","capacity","capacity_units","total_project_cost","ownership","city","zip_code","county","location_1"
"Residential Clean Energy Grant Program","Geothermal","2014-11-05T00:00:00.000","2014-12-09T00:00:00.000","3000.00","2014-08-05T00:00:00.000","2014-10-28T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","3000.00","3","ton","25096","Purchased","Severn","21144","Anne Arundel","
Severn, Maryland 21144
(39.12625939000003, -76.69088641399998)"
"Residential Clean Energy Grant Program","Geothermal","2014-11-28T00:00:00.000","2014-12-09T00:00:00.000","3000.00","2014-01-28T00:00:00.000","2014-04-11T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","3000.00","3.5","ton","17909","Purchased","North East","21901","Cecil","
North East, Maryland 21901
(39.59943917900006, -75.95494676299995)"
"Residential Clean Energy Grant Program","Geothermal","2014-11-18T00:00:00.000","2014-12-09T00:00:00.000","3000.00","2014-03-26T00:00:00.000","2015-09-02T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","3000.00","4","ton","41560","Purchased","Lutherville","21093","Baltimore","
Lutherville, Maryland 21093
(39.44221950000008, -76.63706917599995)"
"Residential Clean Energy Grant Program","Solar Hot Water","2014-06-24T00:00:00.000","2014-12-09T00:00:00.000","500.00","2014-04-16T00:00:00.000","2014-06-12T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","500.00","64.3","sqft","50000","Purchased","Forest Hill","21050","Harford","
Forest Hill, Maryland 21050
(39.57348646100007, -76.38543687199996)"
"Residential Clean Energy Grant Program","Solar PV","2014-09-05T00:00:00.000","2014-12-09T00:00:00.000","1000.00","2014-07-30T00:00:00.000","2014-08-08T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","6.48","kW","22750","Purchased","Gaithersburg","20878","Montgomery","
Gaithersburg, Maryland 20878
(39.11831672000005, -77.23415983199999)"
"Residential Clean Energy Grant Program","Geothermal","2014-11-15T00:00:00.000","2014-12-09T00:00:00.000","3000.00","2013-04-01T00:00:00.000","2014-01-27T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","3000.00","8","ton","67392","Purchased","Phoenix","21131","Baltimore","
Phoenix, Maryland 21131
(39.508267928000066, -76.56927839999997)"
"Residential Clean Energy Grant Program","Geothermal","2014-11-11T00:00:00.000","2014-12-09T00:00:00.000","3000.00","2014-07-09T00:00:00.000","2014-09-17T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","3000.00","5","ton","27829","Purchased","Laurel","20723","Howard","
Laurel, Maryland 20723
(39.127289156000074, -76.85436724599998)"
"Residential Clean Energy Grant Program","Solar PV","2014-11-05T00:00:00.000","2014-12-09T00:00:00.000","1000.00","2014-10-24T00:00:00.000","2014-10-31T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","6.88","kW","20003.34","Purchased","Ellicott City","21043","Howard","
Ellicott City, Maryland 21043
(39.25955981300007, -76.80313963099996)"
"Residential Clean Energy Grant Program","Solar PV","2014-10-09T00:00:00.000","2014-12-09T00:00:00.000","1000.00","2014-08-25T00:00:00.000","2014-09-01T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","8.75","kW","27000","Purchased","La Plata","20646","Charles","
La Plata, Maryland 20646
(38.52460647800007, -76.98236676299996)"
"Residential Clean Energy Grant Program","Solar Hot Water","2014-10-15T00:00:00.000","2014-11-25T00:00:00.000","500.00","2014-09-04T00:00:00.000","2014-09-05T00:00:00.000","Award Complete","2015-01-02T00:00:00.000","500.00","48","sqft","29721","Purchased","Edgemere","21219","Baltimore","
Edgemere, Maryland 21219
(39.232329664000076, -76.44169600399994)"
"Residential Clean Energy Grant Program","Solar Hot Water","2014-11-06T00:00:00.000","2014-11-25T00:00:00.000","500.00","2014-07-03T00:00:00.000","2014-07-30T00:00:00.000","Award Complete","2015-01-02T00:00:00.000","500.00","54","sqft","13800","Purchased","Forest Hill","21050","Harford","
Forest Hill, Maryland 21050
(39.57348646100007, -76.38543687199996)"
"Residential Clean Energy Grant Program","Solar PV","2014-11-03T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2014-09-02T00:00:00.000","2014-09-05T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","12","kW","35900","Purchased","Eden","21522","Wicomico","
Eden, Maryland 21522
(39.59935662400005, -79.21325769699996)"
"Residential Clean Energy Grant Program","Solar PV","2014-10-15T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2014-09-04T00:00:00.000","2014-09-05T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","2","kW","29721","Purchased","Edgemere","21219","Baltimore","
Edgemere, Maryland 21219
(39.232329664000076, -76.44169600399994)"
"Residential Clean Energy Grant Program","Solar PV","2014-10-22T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2014-09-11T00:00:00.000","2014-09-16T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","4.8600000000000003","kW","18138.96","Purchased","Tracy's Landing","20779","Anne Arundel","
Tracy's Landing, Maryland 20779
(38.763777306000065, -76.56915673999998)"
"Residential Clean Energy Grant Program","Solar PV","2014-11-03T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2014-10-25T00:00:00.000","2014-10-30T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","9.81","kW","37310","Purchased","Laurel","20707","Prince George's","
Laurel, Maryland 20707
(39.09811678900007, -76.86857975899994)"
"Residential Clean Energy Grant Program","Solar PV","2014-10-27T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2014-10-02T00:00:00.000","2014-10-06T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","3.85","kW","16775","Purchased","Reisterstown","21136","Baltimore","
Reisterstown, Maryland 21136
(39.46182850900004, -76.81510577599994)"
"Residential Clean Energy Grant Program","Solar PV","2014-10-24T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2014-07-14T00:00:00.000","2014-10-22T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","6.25","kW","19687.5","Purchased","Takoma Park","20912","Montgomery","
Takoma Park, Maryland 20912
(38.982878553000035, -77.00160644699997)"
"Residential Clean Energy Grant Program","Solar PV","2014-11-03T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2014-09-05T00:00:00.000","2014-09-05T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","2","kW","16621","Purchased","Clinton","20735","Prince George's","
Clinton, Maryland 20735
(38.75721634800004, -76.89952923299995)"
"Residential Clean Energy Grant Program","Solar PV","2014-10-17T00:00:00.000","2014-11-25T00:00:00.000","1000.00","2014-07-16T00:00:00.000","2014-10-10T00:00:00.000","Award Complete","2015-01-07T00:00:00.000","1000.00","2.97","kW","9949.5","Purchased","College Park","20740","Prince George's","
College Park, Maryland 20740
(38.996717396000065, -76.92870594499993)"
