"month","strategy_d_metric_1_number_of_veterans_and_their_families_served_by_the_mental_hygiene_administration","strategy_d_metric_1_analysis","strategy_d_metric_1_correlations"
"11-Jul","357","Data Tracking Began this Month.","No Correlations Lower than the 0.1 Level were Found."
"11-Aug","371","Percent Change Since Previous Month: 4%. Absolute Change Since Previous Month: 14. Rolling Twelve Month Mean: 364. Mean to Date: 364. Median to Date: 364. Rolling Twelve Month Sum: 728. Sum to Date: 728. The Magnitude of the Change this Month is 1x the Magnitude of the Average Monthly Change (14).","No Correlations Lower than the 0.1 Level were Found."
"11-Sep","346","Percent Change Since Previous Month: -7%. Absolute Change Since Previous Month: -25. Rolling Twelve Month Mean: 358. Mean to Date: 358. Median to Date: 357. Rolling Twelve Month Sum: 1074. Sum to Date: 1074. The Magnitude of the Change this Month is 1.28x the Magnitude of the Average Monthly Change (19.5).","No Correlations Lower than the 0.1 Level were Found."
"11-Oct","365","Percent Change Since Previous Month: 5%. Absolute Change Since Previous Month: 19. Rolling Twelve Month Mean: 359.75. Mean to Date: 359.75. Median to Date: 361. Rolling Twelve Month Sum: 1439. Sum to Date: 1439. The Magnitude of the Change this Month is 0.98x the Magnitude of the Average Monthly Change (19.33).","No Correlations Lower than the 0.1 Level were Found."
"11-Nov","354","Percent Change Since Previous Month: -3%. Absolute Change Since Previous Month: -11. Rolling Twelve Month Mean: 358.6. Mean to Date: 358.6. Median to Date: 357. Rolling Twelve Month Sum: 1793. Sum to Date: 1793. The Magnitude of the Change this Month is 0.64x the Magnitude of the Average Monthly Change (17.25).","No Correlations Lower than the 0.1 Level were Found."
"11-Dec","271","More than 1 Standard Deviation Below the Mean. Percent Change Since Previous Month: -23%. Absolute Change Since Previous Month: -83. Rolling Twelve Month Mean: 344. Mean to Date: 344. Median to Date: 355.5. Rolling Twelve Month Sum: 2064. Sum to Date: 2064. The Magnitude of the Change this Month is 2.73x the Magnitude of the Average Monthly Change (30.4).","No Correlations Lower than the 0.1 Level were Found."
"12-Jan",,"Data not Reported for this Month.","No Correlations Lower than the 0.1 Level were Found."
"12-Feb","333","Percent Change Since Previous Month: Undefined. Absolute Change Since Previous Month: Undefined. Rolling Twelve Month Mean: 342.43. Mean to Date: 342.43. Median to Date: 354. Rolling Twelve Month Sum: 2397. Sum to Date: 2397. The Magnitude of the Change this Month is Unknown. The Magnitude of the Average Monthly Change is Still 30.4.","No Correlations Lower than the 0.1 Level were Found."
"12-Mar","307","Percent Change Since Previous Month: -8%. Absolute Change Since Previous Month: -26. Rolling Twelve Month Mean: 338. Mean to Date: 338. Median to Date: 350. Rolling Twelve Month Sum: 2704. Sum to Date: 2704. The Magnitude of the Change this Month is 0.88x the Magnitude of the Average Monthly Change (29.67).","No Correlations Lower than the 0.1 Level were Found."
"12-Apr","310","Percent Change Since Previous Month: 1%. Absolute Change Since Previous Month: 3. Rolling Twelve Month Mean: 334.89. Mean to Date: 334.89. Median to Date: 346. Rolling Twelve Month Sum: 3014. Sum to Date: 3014. The Magnitude of the Change this Month is 0.12x the Magnitude of the Average Monthly Change (25.86).","No Correlations Lower than the 0.1 Level were Found."
