"date","fiscal_year","complaints_referred","percent_diverted","released_youth","success_rate"
"2001-06-30T00:00:00.000","FY2001","51271","56.00",,
"2002-06-30T00:00:00.000","FY2002","53197","57.300",,
"2003-06-30T00:00:00.000","FY2003","52662","58.300",,
"2004-06-30T00:00:00.000","FY2004","53081","58.00",,
"2005-06-30T00:00:00.000","FY2005","51384","57.400",,
"2006-06-30T00:00:00.000","FY2006","53475","56.00",,
"2007-06-30T00:00:00.000","FY2007","51137","57.700",,
"2008-06-30T00:00:00.000","FY2008","51127","56.800",,
"2009-06-30T00:00:00.000","FY2009","48387","58.200",,
"2010-06-30T00:00:00.000","FY2010","40660","57.00",,
"2011-06-30T00:00:00.000","FY2011","35867","55.100","1469","75.400"
"2012-06-30T00:00:00.000","FY2012","33004","52.00","1570","79.00"
"2013-06-30T00:00:00.000","FY2013","27559","48.100","1530","78.300"
"2014-06-30T00:00:00.000","FY2014","25133","46.500","1338","79.100"
"2015-06-30T00:00:00.000","FY2015","23469","48.800","1142","81.300"
"2016-06-30T00:00:00.000","FY2016","22444","51.500","980","79.700"
"2017-06-30T00:00:00.000","FY2017","21532","53.200","870","80.500"
"2018-06-30T00:00:00.000","FY2018","19669","54.900","671","80.800"
"2019-06-30T00:00:00.000","FY2019","18904","61.00",,
"2020-06-30T00:00:00.000","FY2020","14913","61.100",,
