"month","strategy_c_metric_1_number_of_veterans_linked_to_housing_services","strategy_c_metric_1_analysis","strategy_c_metric_1_correlations"
"11-Nov","19","Data Tracking Began this Month.","No Correlations Lower than the 0.1 Level were Found."
"11-Dec","26","Percent Change Since Previous Month: 37%. Absolute Change Since Previous Month: 7. Rolling Twelve Month Mean: 22.5. Mean to Date: 22.5. Median to Date: 22.5. Rolling Twelve Month Sum: 45. Sum to Date: 45. The Magnitude of the Change this Month is 1x the Magnitude of the Average Monthly Change (7).","No Correlations Lower than the 0.1 Level were Found."
"12-Jan",,"Data not Reported for this Month.","No Correlations Lower than the 0.1 Level were Found."
"12-Feb","24","Percent Change Since Previous Month: Undefined. Absolute Change Since Previous Month: Undefined. Rolling Twelve Month Mean: 23. Mean to Date: 23. Median to Date: 24. Rolling Twelve Month Sum: 69. Sum to Date: 69. The Magnitude of the Change this Month is Unknown. The Magnitude of the Average Monthly Change is Still 7.","No Correlations Lower than the 0.1 Level were Found."
"12-Mar","6","More than 1 Standard Deviation Below the Mean. Percent Change Since Previous Month: -75%. Absolute Change Since Previous Month: -18. Rolling Twelve Month Mean: 18.75. Mean to Date: 18.75. Median to Date: 21.5. Rolling Twelve Month Sum: 75. Sum to Date: 75. The Magnitude of the Change this Month is 1.44x the Magnitude of the Average Monthly Change (12.5).","No Correlations Lower than the 0.1 Level were Found."
"12-Apr","17","Percent Change Since Previous Month: 183%. Absolute Change Since Previous Month: 11. Rolling Twelve Month Mean: 18.4. Mean to Date: 18.4. Median to Date: 19. Rolling Twelve Month Sum: 92. Sum to Date: 92. The Magnitude of the Change this Month is 0.92x the Magnitude of the Average Monthly Change (12).","No Correlations Lower than the 0.1 Level were Found."
"12-May","7","More than 1 Standard Deviation Below the Mean. Percent Change Since Previous Month: -59%. Absolute Change Since Previous Month: -10. Rolling Twelve Month Mean: 16.5. Mean to Date: 16.5. Median to Date: 18. Rolling Twelve Month Sum: 99. Sum to Date: 99. The Magnitude of the Change this Month is 0.87x the Magnitude of the Average Monthly Change (11.5).","No Correlations Lower than the 0.1 Level were Found."
"12-Jun","24","Percent Change Since Previous Month: 243%. Absolute Change Since Previous Month: 17. Rolling Twelve Month Mean: 17.57. Mean to Date: 17.57. Median to Date: 19. Rolling Twelve Month Sum: 123. Sum to Date: 123. The Magnitude of the Change this Month is 1.35x the Magnitude of the Average Monthly Change (12.6).","No Correlations Lower than the 0.1 Level were Found."
"12-Jul","35","More than 1 Standard Deviation Above the Mean. Percent Change Since Previous Month: 46%. Absolute Change Since Previous Month: 11. Rolling Twelve Month Mean: 19.75. Mean to Date: 19.75. Median to Date: 21.5. Rolling Twelve Month Sum: 158. Sum to Date: 158. The Magnitude of the Change this Month is 0.89x the Magnitude of the Average Monthly Change (12.33).","No Correlations Lower than the 0.1 Level were Found."
"12-Aug","27","Percent Change Since Previous Month: -23%. Absolute Change Since Previous Month: -8. Rolling Twelve Month Mean: 20.56. Mean to Date: 20.56. Median to Date: 24. Rolling Twelve Month Sum: 185. Sum to Date: 185. The Magnitude of the Change this Month is 0.68x the Magnitude of the Average Monthly Change (11.71).","No Correlations Lower than the 0.1 Level were Found."
"12-Sep","17","Percent Change Since Previous Month: -37%. Absolute Change Since Previous Month: -10. Rolling Twelve Month Mean: 20.2. Mean to Date: 20.2. Median to Date: 21.5. Rolling Twelve Month Sum: 202. Sum to Date: 202. The Magnitude of the Change this Month is 0.87x the Magnitude of the Average Monthly Change (11.5).","Strategy C Metric 3. Number of veterans linked to employment (N = 10, r = 0.59, p = 0.072*) "
"12-Oct","15","Percent Change Since Previous Month: -12%. Absolute Change Since Previous Month: -2. Rolling Twelve Month Mean: 19.73. Mean to Date: 19.73. Median to Date: 19. Rolling Twelve Month Sum: 217. Sum to Date: 217. The Magnitude of the Change this Month is 0.19x the Magnitude of the Average Monthly Change (10.44).","Strategy C Metric 3. Number of veterans linked to employment (N = 11, r = 0.61, p = 0.048*) "
"12-Nov","18","Percent Change Since Previous Month: 20%. Absolute Change Since Previous Month: 3. Rolling Twelve Month Mean: 19.64. Mean to Date: 19.58. Median to Date: 18.5. Rolling Twelve Month Sum: 216. Sum to Date: 235. The Magnitude of the Change this Month is 0.31x the Magnitude of the Average Monthly Change (9.7).","Strategy A Metric 2.Number of Callers Assisted by 4 RRCs (N = 4, r = 0.94, p = 0.06*) ... Strategy C Metric 3. Number of veterans linked to employment (N = 12, r = 0.6, p = 0.038*) "
"12-Dec","16","Percent Change Since Previous Month: -11%. Absolute Change Since Previous Month: -2. Rolling Twelve Month Mean: 18.73. Mean to Date: 19.31. Median to Date: 18. Rolling Twelve Month Sum: 206. Sum to Date: 251. The Magnitude of the Change this Month is 0.22x the Magnitude of the Average Monthly Change (9).","Strategy A Metric 2.Number of Callers Assisted by 4 RRCs (N = 5, r = 0.86, p = 0.061*) ... Strategy C Metric 3. Number of veterans linked to employment (N = 13, r = 0.61, p = 0.026*) "
"13-Jan","11","Percent Change Since Previous Month: -31%. Absolute Change Since Previous Month: -5. Rolling Twelve Month Mean: 18.08. Mean to Date: 18.71. Median to Date: 17.5. Rolling Twelve Month Sum: 217. Sum to Date: 262. The Magnitude of the Change this Month is 0.58x the Magnitude of the Average Monthly Change (8.67).","Strategy A Metric 2.Number of Callers Assisted by 4 RRCs (N = 6, r = 0.86, p = 0.028*) ... Strategy C Metric 3. Number of veterans linked to employment (N = 14, r = 0.64, p = 0.013*) "
