"company","county","location_1","phone1","phone2","business_type","product_code","sales_structure"
"RICHARD BRUSCA NURSERY, INC.  ","QUEEN ANNE'S","140 BRUSCA LANE
SUDLERSVILLE, MD 21668
(39.19758039600049, -75.83229035699964)","4104383180","4104383658","A,B,E","1,4,7,8,9,13","I,III"
"CLINTON NURSERIES OF MARYLAND, INC.  ","QUEEN ANNE'S","613 HAYDEN ROAD
CENTREVILLE, MD 21617
(39.06379004100046, -75.97029115099963)","8603993000","8603992054","A","6,7,10,11","I"
"FRITZ FARM AND NURSERY  ","HARFORD","1001 HOLLINGSWORTH ROAD
JOPPA, MD 21085
(39.48721002700046, -76.36527050399962)","4108771766",,"B,E","1,3,4,7,8,13","II,III"
"THE FARMS AT ELLIS BAY  ","WICOMICO","2471 SPRING LANE
NANTICOKE, MD 21840
(38.26466318400048, -75.90089747099967)","4108732204","4108732201","A,B","8","I"
"NICHOLSON NURSERY, LLC  ","ANNE ARUNDEL","LOT 27 DEALE ROAD
TRACY'S LANDING, MD 20779
(38.77764231200047, -76.56564735399968)","4102572082",,"A,B,E","1,3,4,6,7,8,10,13","III"
"CAPITOL CITY CONTRACTORS  ","HOWARD","15240 FREDERICK ROAD
WOODBINE, MD 21797
(39.3307807810005, -77.04723039099963)","3018545620",,"A,D","7","I"
"W. E. BRESSLER AND SONS NURSERY  ","BALTIMORE","11910 LONG GREEN PIKE
GLEN ARM, MD 21057
(39.44893005400047, -76.49574113299963)","4105927752",,"A,B,E","1,7","III"
"MOON NURSERIES OF MARYLAND, INC.  ","CECIL","145 MOON ROAD
CHESAPEAKE CITY, MD 21915
(39.50200419100048, -75.84785975699964)","4107556600","4107556636","A","6,10","I"
"WOODLAND FALLS CO., INC.  ","MONTGOMERY","15515 TIERRA DR.
SILVER SPRING, MD 20906
(39.1098605950005, -77.04527035799964)","3015986666","3014049019","A,D","7","I,III"
"SUN NURSERIES, INC.  ","HOWARD","14790 BUSHY PARK ROAD
WOODBINE, MD 21797
(39.32087000000047, -77.02791007199966)","4104422090","4108546107","A,B,D","1,6,7,8","I,III"
"GREENSTREET GROWERS, INC.  ","ANNE ARUNDEL","391 W. BAY FRONT RD.
LOTHIAN, MD 20711
(38.781294224000476, -76.62636177499968)","4108679500","3015202444","A,B,E","1,2,3,7,8,9,10,13","I,II,III"
"FOUR SPRINGS FARM  ","CARROLL","1123 STREAKER ROAD
SYKESVILLE, MD 21784
(39.41433047200047, -77.03740026899965)","4105498982","4105498982","A,B,E","1,5,7,10,13","III"
"MURPHY JOHN'S, INC.  ","QUEEN ANNE'S","1110 BOLTON WOOD ROAD
SUDLERSVILLE, MD 21668
(39.2356483530005, -75.80342680499967)","4109283029",,"E","1","I"
"KINGS TREE FARM  ","CARROLL","4600 MILLERS STATION ROAD
HAMPSTEAD, MD 21074
(39.662790207000455, -76.83027059899968)","4102398525",,"A","7","I"
"SMITHSONIAN GARDENS  ","PRINCE GEORGE'S","4222 SILVER HILL RD. , MRC 560
SUITLAND, MD 20746
(38.84238387100049, -76.93574633299966)","3012381905","3012381037","F","1,2,4,7,8,9,10,13",
"SIMMONS CHRISTMAS TREES  ","KENT","10630 HANESVILLE ROAD
CHESTERTOWN, MD 21620
(39.27035048400046, -76.13522078399967)","4107780451",,"A,B","3,4","III"
