"month","strategy_a_metric_3_number_of_referrals_received_from_local_health_departments","strategy_a_metric_3_analysis","strategy_a_metric_3_correlations"
"12-May","33","Data Tracking Began this Month.","No Correlations Lower than the 0.1 Level were Found."
"12-Jun","167","Percent Change Since Previous Month: 406%. Absolute Change Since Previous Month: 134. Rolling Twelve Month Mean: 100. Mean to Date: 100. Median to Date: 100. Rolling Twelve Month Sum: 200. Sum to Date: 200. The Magnitude of the Change this Month is 1x the Magnitude of the Average Monthly Change (134).","No Correlations Lower than the 0.1 Level were Found."
"12-Jul","79","Percent Change Since Previous Month: -53%. Absolute Change Since Previous Month: -88. Rolling Twelve Month Mean: 93. Mean to Date: 93. Median to Date: 79. Rolling Twelve Month Sum: 279. Sum to Date: 279. The Magnitude of the Change this Month is 0.79x the Magnitude of the Average Monthly Change (111).","No Correlations Lower than the 0.1 Level were Found."
"12-Aug","53","Percent Change Since Previous Month: -33%. Absolute Change Since Previous Month: -26. Rolling Twelve Month Mean: 83. Mean to Date: 83. Median to Date: 66. Rolling Twelve Month Sum: 332. Sum to Date: 332. The Magnitude of the Change this Month is 0.31x the Magnitude of the Average Monthly Change (82.67).","Strategy C Metric 4. Number of veterans linked to VA Benefits (N = 4, r = 0.97, p = 0.031*) "
"12-Sep","79","Percent Change Since Previous Month: 49%. Absolute Change Since Previous Month: 26. Rolling Twelve Month Mean: 82.2. Mean to Date: 82.2. Median to Date: 79. Rolling Twelve Month Sum: 411. Sum to Date: 411. The Magnitude of the Change this Month is 0.38x the Magnitude of the Average Monthly Change (68.5).","Strategy C Metric 4. Number of veterans linked to VA Benefits (N = 5, r = 0.93, p = 0.024*) "
"12-Oct","316","More than 1 Standard Deviation Above the Mean. Percent Change Since Previous Month: 300%. Absolute Change Since Previous Month: 237. Rolling Twelve Month Mean: 121.17. Mean to Date: 121.17. Median to Date: 79. Rolling Twelve Month Sum: 727. Sum to Date: 727. The Magnitude of the Change this Month is 2.32x the Magnitude of the Average Monthly Change (102.2).","Strategy C Metric 2. Number of veterans linked to medical services  (N = 6, r = -0.8, p = 0.053*) "
"12-Nov","251","More than 1 Standard Deviation Above the Mean. Percent Change Since Previous Month: -21%. Absolute Change Since Previous Month: -65. Rolling Twelve Month Mean: 139.71. Mean to Date: 139.71. Median to Date: 79. Rolling Twelve Month Sum: 978. Sum to Date: 978. The Magnitude of the Change this Month is 0.68x the Magnitude of the Average Monthly Change (96).","Strategy A Metric 1. Number referrals received from 1-877 TeleRep (N = 4, r = 0.99, p = 0.006**) ... Strategy C Metric 3. Number of veterans linked to employment (N = 7, r = -0.73, p = 0.064*) "
"12-Dec","115","Percent Change Since Previous Month: -54%. Absolute Change Since Previous Month: -136. Rolling Twelve Month Mean: 136.63. Mean to Date: 136.63. Median to Date: 97. Rolling Twelve Month Sum: 1093. Sum to Date: 1093. The Magnitude of the Change this Month is 1.34x the Magnitude of the Average Monthly Change (101.71).","Strategy A Metric 1. Number referrals received from 1-877 TeleRep (N = 5, r = 0.96, p = 0.008**) ... Strategy C Metric 3. Number of veterans linked to employment (N = 8, r = -0.66, p = 0.074*) "
"13-Jan","187","Percent Change Since Previous Month: 63%. Absolute Change Since Previous Month: 72. Rolling Twelve Month Mean: 142.22. Mean to Date: 142.22. Median to Date: 115. Rolling Twelve Month Sum: 1280. Sum to Date: 1280. The Magnitude of the Change this Month is 0.73x the Magnitude of the Average Monthly Change (98).","Strategy A Metric 1. Number referrals received from 1-877 TeleRep (N = 6, r = 0.95, p = 0.003**) ... Strategy C Metric 3. Number of veterans linked to employment (N = 9, r = -0.67, p = 0.051*) "
"13-Feb","92","Percent Change Since Previous Month: -51%. Absolute Change Since Previous Month: -95. Rolling Twelve Month Mean: 137.2. Mean to Date: 137.2. Median to Date: 103.5. Rolling Twelve Month Sum: 1372. Sum to Date: 1372. The Magnitude of the Change this Month is 0.97x the Magnitude of the Average Monthly Change (97.67).","Strategy A Metric 1. Number referrals received from 1-877 TeleRep (N = 7, r = 0.95, p = 0.001**) "
