"projid","projnum","fy","awardee","projname","county","region","applicanttype","projtype","projectdesc","awardamount","taxcredited","taxcredbal","donationlink","website","y_coord","x_coord","location"
"64768","CITC-2022-AllegMus-00043","2022","Allegany Museum, Inc.","Award Years 2022 - 2023: Increase Education and Financial Self-sufficiency","Allegany","Western Maryland","Arts, Culture and Historic Preservation","Capital","Capital support for construction and installation of new HVAC system and catering kitchen. Museum facilities require climate control for reaccreditation. The catering kitchen will support enhanced rental income via management partnership with Allegany College of MD (ACM) - Culinary and Hospitality Program.","20000","0","20000","http://www.alleganymuseum.org","https://alleganymuseum.org/","39.650413999999998","-78.762150000000005","
,  
(39.650414, -78.76215)"
"65109","CITC-2022-ArtEvryD-00085","2022","Arts Every Day","Award Years 2022 - 2023: Baltimore Arts Leadership Project","Baltimore City","Baltimore City","Education and Youth Services","Operating","Operating support for leadership development training to offer arts-focused civic engagement programs for Baltimore City high school students, parents, & caregivers through equitable access for PK-12 students.","20000","0","20000","https://www.artseveryday.org/donate","http://www.artseveryday.org","39.311275000000002","-76.618796000000003","
,  
(39.311275, -76.618796)"
"65594","CITC-2022-YoungAud-00131","2022","Arts For Learning Maryland, Inc.","Award Years 2022 - 2023: Summer Arts Corps","Baltimore City","Baltimore City","Education and Youth Services","Operating","Operating support to train 40 artists between during 2022 and 2023 allowing the Summer Arts & Learning Academy to establish services for 750 Prince George's County students using the successful model serving Baltimore City 

Project Addresses:

21 East North Avenue, Baltimore, MD
7010 Walker Mill Road, Capital Heights, MD
6110 Editors Park Drive, Hyattsville, MD
1425 E Fort Avenue, Baltimore, MD
621 Wildwood Parkway, Baltimore, MD
4301 10th Street, Baltimore, MD
2011 Linden Avenue, Baltimore, MD
2100 Ashland Avenue, Baltimore, MD
6300 O'Donnell Street, Baltimore, MD
6201 Frankford Avenue, Baltimore, MD
4849 Pimlico Road, Baltimore, MD
5915 Glennor Road, Baltimore, MD","20000","0","20000","https://www.yamd.org/donate/","https://www.artsforlearningmd.org/","39.310881999999999","-76.615883999999994","
,  
(39.310882, -76.615884)"
"60897","CITC-2021-AtTheHouse-00061","2021","At The House, Inc","Award Years 2021 - 2022: Baltimore's First Social Settlement House","Baltimore City","Baltimore City","Services for At-Risk Populations","Capital","Capital support for the development of a 2,600 sq. ft. Social Settlement House to serve youth and families in the Arlington Community in Northwest Baltimore City.","25000","0","25000","https://atthehouseinc.com","https://atthehouseinc.com/","39.349963909198301","-76.681946150125597","
,  
(39.3499639091983, -76.6819461501256)"
"65314","CITC-2022-BaltClay-00112","2022","Baltimore Clayworks, Inc.","Award Years 2022 - 2023: Children's Educational Clay Programs","Baltimore City","Baltimore City","Arts, Culture and Historic Preservation","Operating","Baltimore Clayworks Children's programs offer a variety of options for kids to participate in after school classes, homeschool programs, teen courses and projects at multiple sites via the Community Arts Program.","20000","0","20000","https://baltimoreclayworks.org/donate/","https://baltimoreclayworks.org/donate/","39.368174000000003","-76.653319999999994","
,  
(39.368174, -76.65332)"
"60724","CITC-2021-BaltMusInd-00015","2021","Baltimore Museum of Industry, Inc.","Award Years 2021 - 2022: Remote Educational Programming","Baltimore City","Baltimore City","Arts, Culture and Historic Preservation","Operating","Operating Support for the development and delivery of two new remote educational programs: City Kits and Industry Investigators.","18000","5500","12500","https://www.thebmi.org/get-involved/donate-now/","http://www.thebmi.org","39.273722330489903","-76.602135179177296","
,  
(39.2737223304899, -76.6021351791773)"
"65153","CITC-2022-BlueWate-00088","2022","Blue Water Baltimore, Inc.","Award Years 2022 - 2023: Climate Resiliency in the Lower Gwynns Falls Watershed","Baltimore City","Baltimore City","Enhancing Neighborhoods and Business Districts","Operating","Operating support to build broad-based community coalition to create long-term strategies for climate resiliency in southwest Baltimore including environmental restoration and storm water remediation.","20000","0","20000","https://www.bluewaterbaltimore.org/donate","https://bluewaterbaltimore.org","39.281486000000001","-76.699662000000004","
,  
(39.281486, -76.699662)"
"60845","CITC-2021-BTCCPL-00049","2021","Board of Trustees of the Carroll County Public Library","Award Years 2021 - 2022: Exploration Commons Equipment","Carroll","Central Maryland","Job and Self-Sufficiency Training","Operating","Operating Support to provide high tech equipment and tools to enhance collaborative learning opportunities to facilitate job readiness, job creation, and grow a local workforce that is being sought by county employers.","25000","10250","14750","https://library.carr.org/","https://library.carr.org/","39.574250531523397","-76.995640210950796","
,  
(39.5742505315234, -76.9956402109508)"
"67526","CITC-2022-BSCW-00102","2022","Bon Secours Community Works, Inc.","Award Years 2022 - 2023: Bon Secours Community Works Certified Nursing Assistant/Geriatric Nursing Assistant Training & Placement Program","Baltimore City","Baltimore City","Services for At-Risk Populations","Operating","The Certified Nursing Assistant/Geriatric Nursing Assistant Training & Placement Program delivers job training and placement with career pathway potential to young adults age 18-24 from West Baltimore, an under-served and under-employed population.","15000","0","15000","http://www.bonsecoursbaltimorefoundation.org","https://bonsecoursbaltimorefoundation.org/","39.289351000000003","-76.645500999999996","
,  
(39.289351, -76.645501)"
"67519","CITC-2021-BSCW-00128","2021","Bon Secours Community Works, Inc.","Award Years 2021 - 2022: Bon Secours Future Baltimore Community Resource Center","Baltimore City","Baltimore City","Services for At-Risk Populations","Capital","Capital support for the Community Resource Center at the site of an abandoned library at 31 S. Payson Street, Baltimore.","20000","0","20000","https://www.bonsecoursbaltimorefoundation.org","https://bonsecoursbaltimorefoundation.org/","39.286813112952501","-76.648272953800898","
,  
(39.2868131129525, -76.6482729538009)"
