"company","county","location_1","phone1","phone2"
"BUNTING'S TREE FARM, LLC  ","ANNE ARUNDEL","3740 PARKE DRIVE
EDGEWATER, MD 21037
(38.903451100000495, -76.50015091699964)","4434580922","4434580236"
"PINE TREE DISTRIBUTORS, INC.  ","QUEEN ANNE'S","227 HOFFECKER ROAD
CHESTERTOWN, MD 21620
(39.20421062800045, -75.97618046599968)","4107780964",
"LOWRY & COMPANY, INC.  ","BALTIMORE","3421 SWEET AIR ROAD
PHOENIX, MD 21131
(39.516396107000446, -76.55748790899963)","4106288061",
"ANNA NICHOLS  ","BALTIMORE","15 VELVET VALLEY CT.
OWINGS MILLS, MD 21117
(39.42047458100046, -76.73366175199965)",,
"MARYLAND PLANTS & SUPPLIES, INC.  ","BALTIMORE","9103 G YELLOW BRICK ROAD
BALTIMORE, MD 21237
(39.341934188000494, -76.49173743199964)","4106873885",
"PLANTABBS PRODUCTS  ","BALTIMORE","8839 H KELSO DR.
BALTIMORE, MD 21221
(39.30592278300048, -76.45008620899966)","4107805494","4107805496"
"GROUNDSCAPE, INC.  ","BALTIMORE","2426 DIANA RD.
BALTIMORE, MD 21209
(39.37857054000045, -76.67998071299968)","4106022063","4106022341"
"HORTUSALES  ","CARROLL","
, MD 
(39.29058096400047, -76.60926011099963)","4104899280","4104899281"
"ABORTRAGE PLANT BROKERAGE, LLC  ","ANNE ARUNDEL","3019 ABERDEEN RD.
ANNAPOLIS, MD 21403
(38.95280105100045, -76.51851023199964)",,
"JGL DESIGN ASSOCIATES  ","BALTIMORE","29 CHESTERFIELD CT.
MONKTON, MD 21111
(39.5644601890005, -76.64460103599964)","4103295208",
"HOLLY SPRING NURSERY, INC.  ","BALTIMORE","18622 BRICKSTORE ROAD
HAMPSTEAD, MD 21074
(39.63633034600048, -76.80692074899963)","4102396864",
