"id","program_name","link","program_type","project_name","recipient_region_if_applicable","mea_award","total_project_cost","sector","vehicle_technology","charging_fueling_station_technology","public_or_private","gallons_of_gasoline_equivalent_avoided","co2_emissions_reductions_tons","notes","point","county","legislative","congressional","zipcode"
"EV000152","Maryland Electric Vehicle Excise Tax Credit",,"Tax Credit",,,"2000.00","34170.00","Residential","Electric",,,"3156.88","28.12778761",,,"Howard","13","3","21046"
"DOE0001","DOE Charging and Fueling Stations","http://www.afdc.energy.gov/locator/stations/",,"UM PTS",,,,"State Government",,"Electric","Public Facility",,,"Public; 24 hours daily",,,,,"21201"
"BIO01","Biodiesel Refueling Stations","http://energy.maryland.gov/Transportation/biodieselRefueling.html","Grant","Baltimore Biodiesel Cooperative",,,,"Commercial",,"Biodiesel","Public Facility",,,,,,,,"21044"
"BIO02","Biodiesel Refueling Stations","http://energy.maryland.gov/Transportation/biodieselRefueling.html","Grant","Cato Pacific Pride Fuel",,,,"Commercial",,"Biodiesel","Public Facility",,,,,,,,"21804"
"BIO03","Biodiesel Refueling Stations","http://energy.maryland.gov/Transportation/biodieselRefueling.html","Grant","Cato Pacific Pride Fuel",,,,"Commercial",,"Biodiesel","Public Facility",,,,,,,,"21801"
"BIO04","Biodiesel Refueling Stations","http://energy.maryland.gov/Transportation/biodieselRefueling.html","Grant","Cropper Oil & Gas",,,,"Commercial",,"Biodiesel","Public Facility",,,,,,,,"21811"
"BIO05","Biodiesel Refueling Stations","http://energy.maryland.gov/Transportation/biodieselRefueling.html","Grant","Baltimore Biodiesel Cooperative",,,,"Commercial",,"Biodiesel","Public Facility",,,,,,,,"21211"
"CNG1","Maryland Natural Gas Vehicle Voucher Program","http://energy.maryland.gov/Transportation/natgas/","Rebate/Voucher","Easton Utilities",,"3000","26900","Commercial","Natural Gas (CNG)",,,"375","3.34125","Grant provided for 1 compressed natural gas truck",,"Talbot","37B",,"20014"
"CNG2","Maryland Natural Gas Vehicle Voucher Program","http://energy.maryland.gov/Transportation/natgas/","Rebate/Voucher","Lancaster Foods, LLC",,"40000","284716","Commercial","Natural Gas (CNG)",,,"18750","167.0625","Grant provided for 2 compressed natural gas trucks",,,,,"20794"
"CNG3","Maryland Natural Gas Vehicle Voucher Program","http://energy.maryland.gov/Transportation/natgas/","Rebate/Voucher","Preflight Airport Parking",,"60000","463245","Commercial","Natural Gas (CNG)",,,"3738","33.30558","Grant provided for 5 compressed natural gas trucks",,"Anne Arundel","32",,"21076"
"CNG4","Maryland Natural Gas Vehicle Voucher Program","http://energy.maryland.gov/Transportation/natgas/","Rebate/Voucher","Waste Management of Maryland, Inc.",,"100000","1050635","Commercial","Natural Gas (CNG)",,,"40000","356.4","Grant provided for 5 compressed natural gas trucks",,"Baltimore City","46",,"21226"
"DOE0002","DOE Charging and Fueling Stations","http://www.afdc.energy.gov/locator/stations/",,"Walgreens - Lutherville, MD #12847",,,,"Commercial",,"Electric","Public Facility",,,"Public - Card key at all times; MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified",,,,,"21093"
"DOE0003","DOE Charging and Fueling Stations","http://www.afdc.energy.gov/locator/stations/",,"Walgreens - Bel Air, MD #12748",,,,"Commercial",,"Electric","Public Facility",,,"Public - Card key at all times; MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified",,,,,"21014"
"DOE0004","DOE Charging and Fueling Stations","http://www.afdc.energy.gov/locator/stations/",,"TOWSON",,,,"State Government",,"Electric","Public Facility",,,"Public; 24 hours daily",,,,,"21252"
"DOE0005","DOE Charging and Fueling Stations","http://www.afdc.energy.gov/locator/stations/",,"U-Haul",,,,"Commercial",,"LPG","Public Facility",,,"Public; 7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",,,,,"21740"
"DOE0006","DOE Charging and Fueling Stations","http://www.afdc.energy.gov/locator/stations/",,"Severn Building",,,,"Commercial",,"Electric","Public Facility",,,"Public; MO: 24 hours; TU: 24 hours; WE: 24 hours; TH: 24 hours; FR: 24 hours; SA: 24 hours; SU: 24 hours",,,,,"20740"
"DOE0007","DOE Charging and Fueling Stations","http://www.afdc.energy.gov/locator/stations/",,"Walgreens - Bel Air, MD #11999",,,,"Commercial",,"Electric","Public Facility",,,"Public - Card key at all times; MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified",,,,,"21015"
"DOE0008","DOE Charging and Fueling Stations","http://www.afdc.energy.gov/locator/stations/",,"Arundel Gas and Water Conditioning",,,,"Commercial",,"LPG","Public Facility",,,"Public; 8am-5pm M-F",,,,,"21037"
"DOE0009","DOE Charging and Fueling Stations","http://www.afdc.energy.gov/locator/stations/",,"UMD COLLEGEPARK",,,,"State Government",,"Electric","Public Facility",,,"Public; 24 hours daily",,,,,"20740"
"DOE0010","DOE Charging and Fueling Stations","http://www.afdc.energy.gov/locator/stations/",,"Tischer Nissan",,,,"Commercial",,"Electric","Public Facility",,,"Public - Call ahead; Dealership business hours",,,,,"20724"
"DOE0011","DOE Charging and Fueling Stations","http://www.afdc.energy.gov/locator/stations/",,"350GREEN",,,,"Commercial",,"Electric","Public Facility",,,"Public; 24 hours daily",,,,,"21215"
"DOE0012","DOE Charging and Fueling Stations","http://www.afdc.energy.gov/locator/stations/",,"LAID",,,,"Commercial",,"Electric","Public Facility",,,"Public - Card key at all times; MO: 24 hours; TU: 24 hours; WE: 24 hours; TH: 24 hours; FR: 24 hours; SA: 24 hours; SU: 24 hours",,,,,"20715"
"DOE0013","DOE Charging and Fueling Stations","http://www.afdc.energy.gov/locator/stations/",,"Waldorf Ford",,,,"Commercial",,"Electric","Public Facility",,,"Public - Call ahead; Dealership business hours",,,,,"20601"
"DOE0015","DOE Charging and Fueling Stations","http://www.afdc.energy.gov/locator/stations/",,"MEDL GB EVCS",,,,"Commercial",,"Electric","Public Facility",,,"Public; 24 hours daily",,,,,"20878"
"EV000023","Maryland Electric Vehicle Excise Tax Credit",,"Tax Credit",,,"2000.00","34170.00","Commercial","Electric",,,"3156.88","28.12778761",,,"Montgomery","17","8","20852"
"DOE0016","DOE Charging and Fueling Stations","http://www.afdc.energy.gov/locator/stations/",,"Ashland Garage",,,,"Commercial",,"Electric","Public Facility",,,"Public - Card key at all times; MO: 24 hours; TU: 24 hours; WE: 24 hours; TH: 24 hours; FR: 24 hours; SA: 24 hours; SU: 24 hours",,,,,"21213"
"DOE0017","DOE Charging and Fueling Stations","http://www.afdc.energy.gov/locator/stations/",,"Suburban Propane",,,,"Commercial",,"LPG","Public Facility",,,"Public - Call ahead; 8am-4pm M-F",,,,,"21050"
"DOE0018","DOE Charging and Fueling Stations","http://www.afdc.energy.gov/locator/stations/",,"NRG eVgo - Queenstown Premium Outlets",,,,"Commercial",,"Electric","Public Facility",,,"Public - Card key at all times; 24 hours daily; eVgo network subscription and key fob required",,,,,"21658"
"DOE0019","DOE Charging and Fueling Stations","http://www.afdc.energy.gov/locator/stations/",,"Building F",,,,"Commercial",,"Electric","Public Facility",,,"Public; MO: 24 hours; TU: 24 hours; WE: 24 hours; TH: 24 hours; FR: 24 hours; SA: 24 hours; SU: 24 hours",,,,,"21702"
"DOE0020","DOE Charging and Fueling Stations","http://www.afdc.energy.gov/locator/stations/",,"INDIAN HEAD",,,,"Commercial",,"Electric","Public Facility",,,"Public; 24 hours daily",,,,,"20640"
"DOE0022","DOE Charging and Fueling Stations","http://www.afdc.energy.gov/locator/stations/",,"FASTPARK",,,,"Commercial",,"Electric","Public Facility",,,"Public; 24 hours daily",,,,,"21090"
