"fiscal_year","recipient","program_name_level_one","program_name_level_two","program_name_level_three","approved_amount","loan_guarantee_amount","total_project_costs","new_jobs","retained_jobs","promised_trainees","maryland_local_hires_film","number_of_maryland_businesses","employment_reporting_required","naics_code","address","county","city","state","zip","incentive_type"
"2016","20/20 Genesystems Inc.","Biotechnology Investment Incentive Tax Credit (BIITC)","Biotech Tax Credit",,"976707",,,,"15",,,,,"541712","9430 Key West Avenue, Suite 100","Montgomery","Rockville","MD","20850","Tax credit"
"2016","3e Technologies International Inc.","Research and Development Tax Credit","R&D Tax Credit",,"2668.71",,"637871",,,,,,,"541330",,"Montgomery",,,,"Tax credit"
"2016","4701 O'Donnell Street, LLC","Brownfields Tax Incentive","Brownfields Tax Incentive","Brownfield Property Tax Credit",,,,,,,,,,,,"Baltimore City",,,,"Tax credit"
"2016","A B Construction","Small, Minority and Women-Owned Business Account- Video Lottery Terminal Fund (VLT)","SMWOBA VLT Fund","VLT/Meridian Management Group","3500",,,"1",,,,,,"236118",,"Worcester",,,,"Loan/grant"
"2016","AAI Corporation","Research and Development Tax Credit","R&D Tax Credit",,"68498.80",,"14251991",,,,,,,"336413","40 Westminster Street","Baltimore","Providence","RI","02903","Tax credit"
"2016","AC Beverage, Inc.","Research and Development Tax Credit","R&D Tax Credit",,"1051.95",,"101090",,,,,,,"333415","1993 Moreland Parkway","Anne Arundel","Annapolis","MD","21401","Tax credit"
"2016","Action Products, Inc.","Research and Development Tax Credit","R&D Tax Credit",,"682.7213",,"163183",,,,,,,"325212",,"Washington",,,,"Tax credit"
"2016","Adobe Systems Incorporated","Research and Development Tax Credit","R&D Tax Credit",,"3441.51",,"344758",,,,,,,"511210",,"Multiple",,,,"Tax credit"
"2016","Advanced Biotechnologies, Inc.","Research and Development Tax Credit","R&D Tax Credit",,"283.4258",,"67744",,,,,,,"325414","1545 Progress Way","Carroll","Eldersburg","MD","21784","Tax credit"
"2016","Advanced Integrative Health Group, LLC","Small, Minority and Women-Owned Business Account- Video Lottery Terminal Fund (VLT)","SMWOBA VLT Fund","VLT/Meridian Management Group","50000",,,"2","4",,,,,"561320",,"Anne Arundel",,,,"Loan/grant"
"2016","Advanced Thermal Batteries","Maryland Economic Development Assistance Authority Fund (Advantage Maryland)","Advantage Maryland (MEDAAF) - 2","MEDAAF-2 Cond. Loan","125000",,"5000000",,"25",,,,,"335912",,"Carroll",,,,"Loan/Grant"
"2016","Aeroflex/Weinschel, Inc.","Research and Development Tax Credit","R&D Tax Credit",,"146.7041",,"35065",,,,,,,"334419",,"Frederick",,,,"Tax credit"
"2016","Aerospace & Technology Metalworks, Inc.","Export Maryland Grant","Export Maryland",,"10000",,,"2",,,,,,"332710","500A Earls Road","Baltimore","Middle River","MD","21220","Loan/grant"
"2016","Aetna Shirt","Small, Minority and Women-Owned Business Account- Video Lottery Terminal Fund (VLT)","SMWOBA VLT Fund","VLT/Baltimore Development Corporation","50500",,,,"27",,,,,"315220",,"Baltimore",,,,"Loan/grant"
"2016","AgriMetis, LLC","Biotechnology Investment Incentive Tax Credit (BIITC)","Biotech Tax Credit",,"975000",,,"1","2",,,,,"541712",,"Baltimore",,,,"Tax credit"
"2016","AiNet Holding, LLC","Research and Development Tax Credit","R&D Tax Credit",,"4726.03",,"848103",,,,,,,"561621",,"Prince George's",,,,"Tax credit"
"2016","AirBoss Defense (formerly Immediate Response Technologies)","Export Maryland Grant","Export Maryland",,"5000",,,"20",,,,,,"314910",,"Prince George's",,,,"Loan/grant"
"2016","Akonni Biosystems, Inc.","Biotechnology Investment Incentive Tax Credit (BIITC)","Biotech Tax Credit",,"657502",,,"4","19",,,,,"325412","400 Sagner Avenue, Suite 300","Frederick","Frederick","MD","21701","Tax credit"
"2016","Akonni Biosystems, Inc.","Research and Development Tax Credit","R&D Tax Credit",,"474.2729",,"113360",,,,,,,"325412","400 Sagner Avenue, Suite 300","Frederick","Frederick","MD","21701","Tax credit"
"2016","All City Wireless","Export Maryland Grant","Export Maryland",,"5000",,,"4",,,,,,"511210",,"Anne Arundel",,,,"Loan/grant"
"2016","Allegheny Trail House B&B","Small, Minority and Women-Owned Business Account- Video Lottery Terminal Fund (VLT)","SMWOBA VLT Fund","VLT/Tri-County Council for Western Maryland","197965",,"34935","2",,,,,,"721191",,"Allegany",,,,"Loan/grant"
"2016","Alliant Techsystems, Inc.","Research and Development Tax Credit","R&D Tax Credit",,"28561.39",,"6826701",,,,,,,"334511",,"Cecil",,,,"Tax credit"
"2016","Allovue","Small, Minority and Women-Owned Business Account- Video Lottery Terminal Fund (VLT)","SMWOBA VLT Fund","VLT/Baltimore Development Corporation","25000",,,"4",,,,,,"511210",,"Baltimore City",,,,"Loan/grant"
"2016","Amazon.com.dedc LLC","Maryland Economic Development Assistance Authority Fund (Advantage Maryland)","Advantage Maryland (MEDAAF) - 2","MEDAAF-2 Cond. Loan","1000000",,"5500000","1000","1600",,,,,"454111",,"Baltimore City",,,,"Loan/Grant"
"2016","American Gene Technologies International Inc.","Biotechnology Investment Incentive Tax Credit (BIITC)","Biotech Tax Credit",,"1799744",,,"4","9",,,,,"325412",,"Montgomery",,,,"Tax credit"
"2016","American General Supplies","Export Maryland Grant","Export Maryland",,"10000",,,"1",,,,,,"425120",,"Montgomery",,,,"Loan/grant"
"2016","American Home Energy Corporation","Small, Minority and Women-Owned Business Account- Video Lottery Terminal Fund (VLT)","SMWOBA VLT Fund","VLT/Tri-County Council for Western Maryland","160000",,"50000","2","11",,,,,"541690",,"Cecil",,,,"Loan/grant"
"2016","American Infrastructure/ Allen Myers","Research and Development Tax Credit","R&D Tax Credit",,"5596.43",,"1337649",,,,,,,"237110",,"Harford",,,,"Tax credit"
"2016","American Woodmark Corporation","Research and Development Tax Credit","R&D Tax Credit",,"1222.76",,"292262",,,,,,,"337110",,"Allegany",,,,"Tax credit"
"2016","Amgen, Inc.","Research and Development Tax Credit","R&D Tax Credit",,"143499.77",,"21086619",,,,,,,"325410",,"Multiple",,,,"Tax credit"
"2016","Amplimmune, Inc.","Research and Development Tax Credit","R&D Tax Credit",,"187112.07",,"22816195",,,,,,,"541712",,"Montgomery",,,,"Tax credit"
"2016","Anthem Engineering, LLC","Employer Security Clearances Costs (ESCC) Tax Credit","ESCC Tax Credit",,"2697.90",,"4671.99",,"7",,,,,"541511",,"Howard",,,,"Tax credit"
"2016","Antietam Creek Vineyards, LLC","Maryland Wineries and Vineyards Tax Credit","Wineries and Vineyards Tax Credit",,"5132.46",,"24369.69",,,,,,,"111332",,"Prince George's",,,,"Tax credit"
"2016","AOL Advertising, Inc.","Research and Development Tax Credit","R&D Tax Credit",,"54519.50",,"11640892",,,,,,,"519130",,"Baltimore City",,,,"Tax credit"
"2016","Aphena Pharma Solutions - Mary","Maryland Economic Development Assistance Authority Fund (Advantage Maryland)","Advantage Maryland (MEDAAF) - 2","MEDAAF-2 Cond. Grant","116580",,"5000000",,"87",,,,,"325412",,"Talbot",,,,"Loan/Grant"
"2016","ARINC Incorporated","Research and Development Tax Credit","R&D Tax Credit",,"79767.56",,"13584835",,,,,,,"541330",,"Anne Arundel",,,,"Tax credit"
"2016","Aryana Rainbow, LLC","Small, Minority and Women-Owned Business Account- Video Lottery Terminal Fund (VLT)","SMWOBA VLT Fund","VLT/Baltimore County Department of Economic and Workforce Development","200000",,"6097625","8",,,,,,"561990",,"Anne Arundel",,,,"Loan/grant"
"2016","Assateague Life, LLC","Small, Minority and Women-Owned Business Account- Video Lottery Terminal Fund (VLT)","SMWOBA VLT Fund","VLT/Meridian Management Group","50000",,,"1",,,,,,"453998",,"Worcester",,,,"Loan/grant"
"2016","Astrum Solar, Inc.","Maryland Economic Development Assistance Authority Fund (Advantage Maryland)","Advantage Maryland (MEDAAF) - 2","MEDAAF-2 Cond. Loan","500000",,"750000","240","75",,,,,"238221",,"Howard",,,,"Loan/Grant"
"2016","Asymmetrik, Ltd.","Employer Security Clearances Costs (ESCC) Tax Credit","ESCC Tax Credit",,"34836.60",,"60326.95","4","18",,,,,"541511",,"Anne Arundel",,,,"Tax credit"
"2016","Ath Group","Research and Development Tax Credit","R&D Tax Credit",,"3556.53",,"708895",,,,,,,"541512",,"Prince George's",,,,"Tax credit"
"2016","Athena Environmental Sciences, Inc.","Research and Development Tax Credit","R&D Tax Credit",,"72.5007",,"17329",,,,,,,"325414",,"Baltimore",,,,"Tax credit"
"2016","ATI, Inc.","Employer Security Clearances Costs (ESCC) Tax Credit","ESCC Tax Credit",,"4199.30",,"7271.97","12",,,,,,"541310",,"Howard",,,,"Tax credit"
"2016","Atlanta Micro, Inc.","Research and Development Tax Credit","R&D Tax Credit",,"476.1347",,"113805",,,,,,,"423450",,"Howard",,,,"Tax credit"
"2016","Ausley Associates, Inc.","Export Maryland Grant","Export Maryland",,"10000",,,"6",,,,,,"541330",,"St. Mary's",,,,"Loan/grant"
"2016","Automated Precision, Inc.","Research and Development Tax Credit","R&D Tax Credit",,"8638.21",,"1808138",,,,,,,"334500",,"Montgomery",,,,"Tax credit"
"2016","Availink (US), Inc.","Research and Development Tax Credit","R&D Tax Credit",,"11089.20",,"2498614",,,,,,,"334410",,"Montgomery",,,,"Tax credit"
"2016","AvDyne AeroServices, LLC","Maryland Small Business Development Fund Authority (MSBDFA)","MSBDFA Equity Participation Program","MSBDFA EPIP Other Small Business","70000",,"70000",,"25",,,,,"488190",,"Anne Arundel",,,,"Loan/grant"
"2016","Aviation Systems Engineering Co., Inc.","Export Maryland Grant","Export Maryland",,"10000",,,"2",,,,,,"541330",,"St. Mary's",,,,"Loan/grant"
"2016","AVID Technical Services","Export Maryland Grant","Export Maryland",,"5000",,,"2",,,,,,"561110",,"Baltimore City",,,,"Loan/grant"
"2016","B.R.W., Inc. or entity accepta","Maryland Economic Development Assistance Authority Fund (Advantage Maryland)","Advantage Maryland (MEDAAF) - 3","MEDAAF-3 One MD Loan","1500000",,"2000000","10",,,,,,"312111",,"Dorchester",,,,"Loan/Grant"
"2016","Backshore Brewing Co","Small, Minority and Women-Owned Business Account- Video Lottery Terminal Fund (VLT)","SMWOBA VLT Fund","VLT/Baltimore County Department of Economic and Workforce Development","250000",,"100000",,,,,,,"312120",,"Worcester",,,,"Loan/grant"
"2016","Badjo T Industries, LLC","Small, Minority and Women-Owned Business Account- Video Lottery Terminal Fund (VLT)","SMWOBA VLT Fund","VLT/Meridian Management Group","20000",,,"8",,,,,,"541410",,"Wicomico",,,,"Loan/grant"
"2016","basys, Inc.","Research and Development Tax Credit","R&D Tax Credit",,"9517.19",,"1726557",,,,,,,"541512",,"Baltimore City",,,,"Tax credit"
"2016","Bayview Services Group","Military Personnel and Veteran-Owned Small Business Loan Program","Military/Veterans Small Business Loans",,"40000",,"45000","1",,,,,,"236118",,"Anne Arundel",,,,"Loan/grant"
"2016","BCT LLC","Employer Security Clearances Costs (ESCC) Tax Credit","ESCC Tax Credit",,"53034.23",,"91840","78",,,,,,"541700",,"Howard",,,,"Tax credit"
"2016","Beacon Environmental Services, Inc.","Export Maryland Grant","Export Maryland",,"5000",,,"2",,,,,,"541712",,"Harford",,,,"Loan/grant"
"2016","Becton, Dickinson and Company","Research and Development Tax Credit","R&D Tax Credit",,"186018.98",,"44461974",,,,,,,"339110",,"Baltimore",,,,"Tax credit"
"2016","Bentley Systems, Incorporated","Research and Development Tax Credit","R&D Tax Credit",,"3900.10",,"932195",,,,,,,"511210",,"Multiple",,,,"Tax credit"
"2016","Berry Plastics Group, Inc.","Research and Development Tax Credit","R&D Tax Credit",,"15265.45",,"2599943",,,,,,,"453998",,"Multiple",,,,"Tax credit"
"2016","Berrywine Plantations, Inc.","Maryland Wineries and Vineyards Tax Credit","Wineries and Vineyards Tax Credit",,"12276.92",,"58292.62",,"44",,,,,"312130",,"Frederick",,,,"Tax credit"
"2016","BioFactura, Inc.","Biotechnology Investment Incentive Tax Credit (BIITC)","Biotech Tax Credit",,"882498",,,,"6",,,,,"541711",,"Frederick",,,,"Tax credit"
"2016","BioMarker Strategies, LLC","Biotechnology Investment Incentive Tax Credit (BIITC)","Biotech Tax Credit",,"375000",,,"3","10",,,,,"334516",,"Montgomery",,,,"Tax credit"
"2016","BizSolutions 360","Export Maryland Grant","Export Maryland",,"10000",,,"2",,,,,,"541320",,"Anne Arundel",,,,"Loan/grant"
"2016","Black Ankle Vineyards, LLC","Maryland Wineries and Vineyards Tax Credit","Wineries and Vineyards Tax Credit",,"48907.71",,"232221",,"51",,,,,"312130",,"Frederick",,,,"Tax credit"
"2016","Blackwatch International Corp","Employer Security Clearances Costs (ESCC) Tax Credit","ESCC Tax Credit",,"18715.58",,"32410","3",,,,,,"541511",,"Montgomery",,,,"Tax credit"
"2016","Boland Trane Services, Inc.","Research and Development Tax Credit","R&D Tax Credit",,"9729.97",,"1922545",,,,,,,"238220",,"Montgomery",,,,"Tax credit"
"2016","Boordy Vineyards, Inc.","Maryland Wineries and Vineyards Tax Credit","Wineries and Vineyards Tax Credit",,"63161.29",,"299899.10",,"142",,,,,"312130",,"Harford",,,,"Tax credit"
"2016","Booz Allen Hamilton, Inc.","Employer Security Clearances Costs (ESCC) Tax Credit","ESCC Tax Credit",,"115492.65",,"293820","2439",,,,,,"541611",,"Anne Arundel",,,,"Tax credit"
"2016","Brainscope Company, Inc.","Biotechnology Investment Incentive Tax Credit (BIITC)","Biotech Tax Credit",,"1007500",,,,,,,,,"541712",,"Montgomery",,,,"Tax credit"
"2016","Breethe, Inc.","Biotechnology Investment Incentive Tax Credit (BIITC)","Biotech Tax Credit",,"325000",,,"3","3",,,,,"339112",,"Baltimore City",,,,"Tax credit"
"2016","Bricata LLC","Small, Minority and Women-Owned Business Account- Video Lottery Terminal Fund (VLT)","SMWOBA VLT Fund","VLT/Maryland Capital Enterprises","250000",,"2900000","22",,,,,,"561621",,"Howard",,,,"Loan/grant"
"2016","BTE Technologies, Inc.","Export Maryland Grant","Export Maryland",,"5000",,,"4",,,,,,"339112",,"Anne Arundel",,,,"Loan/grant"
"2016","BTE Technologies, Inc.","Research and Development Tax Credit","R&D Tax Credit",,"2876.88",,"415867",,,,,,,"339112",,"Anne Arundel",,,,"Tax credit"
"2016","Bulk Head Brewing Company LLC","Small, Minority and Women-Owned Business Account- Video Lottery Terminal Fund (VLT)","SMWOBA VLT Fund","VLT/Maryland Capital Enterprises","150000",,"167938","8",,,,,,"312120",,"Howard",,,,"Loan/grant"
"2016","Burdette, Koehler, Murphy and Associates, Inc.","Research and Development Tax Credit","R&D Tax Credit",,"14669.27",,"2322814",,,,,,,"541330",,"Baltimore City",,,,"Tax credit"
"2016","C Ayers Transportation","Small, Minority and Women-Owned Business Account- Video Lottery Terminal Fund (VLT)","SMWOBA VLT Fund","VLT/Meridian Management Group","35000",,,,,,,,,"485999",,"Worcester",,,,"Loan/grant"
"2016","C&M Construction andRenovations, LLC","Maryland Small Business Development Fund Authority (MSBDFA)","MSBDFA Contract Financing Program","MSBDFA Contract Financing Direct","150000",,"150000","3","8",,,,,"238131",,"Allegany",,,,"Loan/grant"
"2016","C&M Construction andRenovations, LLC","Small, Minority and Women-Owned Business Account- Video Lottery Terminal Fund (VLT)","SMWOBA VLT Fund","VLT/Tri-County Council for Western Maryland","135000",,,"3","8",,,,,"238131",,"Allegany",,,,"Loan/grant"
"2016","C&S Jones Group, LLC dba CSJG","Small, Minority and Women-Owned Business Account- Video Lottery Terminal Fund (VLT)","SMWOBA VLT Fund","VLT/Meridian Management Group","49999",,,,,,,,,"541611",,"Baltimore City",,,,"Loan/grant"
"2016","C.K. Signals, Inc.","Employer Security Clearances Costs (ESCC) Tax Credit","ESCC Tax Credit",,"5659.14",,"9800","7",,,,,,"541519",,"Carroll",,,,"Tax credit"
