"county","totaltestingvolume","report_date"
"Allegany","73218","2022-03-14T00:00:00.000"
"Anne Arundel","543026","2022-03-14T00:00:00.000"
"Baltimore","774131","2022-03-14T00:00:00.000"
"Baltimore City","736015","2022-03-14T00:00:00.000"
"Calvert","67240","2022-03-14T00:00:00.000"
"Caroline","30223","2022-03-14T00:00:00.000"
"Carroll","133179","2022-03-14T00:00:00.000"
"Cecil","77326","2022-03-14T00:00:00.000"
"Charles","140734","2022-03-14T00:00:00.000"
"Dorchester","34703","2022-03-14T00:00:00.000"
"Frederick","254427","2022-03-14T00:00:00.000"
"Garrett","23182","2022-03-14T00:00:00.000"
"Harford","213966","2022-03-14T00:00:00.000"
"Howard","324045","2022-03-14T00:00:00.000"
"Kent","21365","2022-03-14T00:00:00.000"
"Montgomery","1173011","2022-03-14T00:00:00.000"
"Prince George's","891160","2022-03-14T00:00:00.000"
"Queen Anne's","39911","2022-03-14T00:00:00.000"
"Somerset","23240","2022-03-14T00:00:00.000"
"St. Mary's","93340","2022-03-14T00:00:00.000"
"Talbot","38108","2022-03-14T00:00:00.000"
"Washington","136618","2022-03-14T00:00:00.000"
"Wicomico","89494","2022-03-14T00:00:00.000"
"Worcester","51308","2022-03-14T00:00:00.000"
