"title","event_start","event_end","subcategory_1","subcategory_2","location"
"The Moon And The Sun","2014-05-05T00:00:00.000","2014-05-10T00:00:00.000","Filming - Movie",,"Promotional Sites"
"Holding The Man","2014-10-07T00:00:00.000","2014-10-07T00:00:00.000","Filming - Movie",,"Fawkner Park"
"Childhood's End","2014-12-04T00:00:00.000","2014-12-04T00:00:00.000","Filming - Movie",,"Princes Park"
"Childhood's End","2014-12-09T00:00:00.000","2014-12-10T00:00:00.000","Filming - Movie",,"Little Bourke Street, Rankins Lane"
"Anthony","2015-02-17T00:00:00.000","2015-02-17T00:00:00.000","Filming - Movie",,"Inner Suburb Locations"
"A Journey With Anthony","2015-03-07T00:00:00.000","2015-03-15T00:00:00.000","Filming - Movie",,"Other Park Locations, Inner Suburb Locations"
"Spirit Of The Game","2015-08-18T00:00:00.000","2015-08-18T00:00:00.000","Filming - Movie",,"Carlton Gardens"
"Ali's Wedding","2015-11-30T00:00:00.000","2015-11-30T00:00:00.000","Filming - Movie",,"Inner Suburb Locations"
"Ali's Wedding","2015-12-03T00:00:00.000","2015-12-03T00:00:00.000","Filming - Movie",,"Inner Suburb Locations"
"Dogfight","2016-08-23T00:00:00.000","2016-08-23T00:00:00.000","Filming - Movie",,"Inner Suburb Locations"
"Dogfight","2016-08-26T00:00:00.000","2016-08-27T00:00:00.000","Filming - Movie",,"Flagstaff Gardens, Collins Street, Flinders Lane, Little Collins Street, Market Street, Queen Street"
"Dogfight","2016-08-28T00:00:00.000","2016-08-28T00:00:00.000","Filming - Movie",,"Treasury Gardens, Spring Street"
"Dogfight Unit Base","2016-09-21T00:00:00.000","2016-09-21T00:00:00.000","Filming - Movie",,"Flagstaff Gardens"
"Old Timer","2016-04-20T00:00:00.000","2016-04-20T00:00:00.000","Filming - Movie","Filming - Student","Fawkner Park"
"Spirit Of The Game","2015-08-19T00:00:00.000","2015-08-20T00:00:00.000","Filming - Movie","Filming - Unit Base","Royal Park"
"Dogfight","2016-09-10T00:00:00.000","2016-09-10T00:00:00.000","Filming - Movie","Filming - Unit Base","Other Park Locations"
"Dogfight","2016-09-11T00:00:00.000","2016-09-11T00:00:00.000","Filming - Movie","Filming - Unit Base","Treasury Gardens"
"Dogfight","2016-09-17T00:00:00.000","2016-09-17T00:00:00.000","Filming - Movie","Filming - Unit Base","Flagstaff Gardens, Little Bourke Street"
"Surya TVC","2014-04-26T00:00:00.000","2014-04-27T00:00:00.000","Filming - Other",,"Collins Street"
"Threethousand","2014-05-06T00:00:00.000","2014-05-06T00:00:00.000","Filming - Other",,"Coverlid Place"
"AMSA Promo","2014-05-25T00:00:00.000","2014-05-25T00:00:00.000","Filming - Other",,"Flinders St Station"
"Loving Melbourne","2014-06-21T00:00:00.000","2014-06-21T00:00:00.000","Filming - Other",,"Promotional Sites"
"Freedom - Music Video","2014-06-25T00:00:00.000","2014-06-26T00:00:00.000","Filming - Other",,"Treasury Gardens"
"Guerilla Gig Sheppard","2014-06-26T00:00:00.000","2014-06-26T00:00:00.000","Filming - Other",,"Queensbridge Square"
"Winners & Losers","2014-08-12T00:00:00.000","2014-08-12T00:00:00.000","Filming - Other",,"Inner Suburb Locations"
"Support Act Bandwagon","2014-09-03T00:00:00.000","2014-09-03T00:00:00.000","Filming - Other",,"Bourke Street"
"AFLPA MVP OB Compound","2014-09-09T00:00:00.000","2014-09-10T00:00:00.000","Filming - Other",,"Promotional Sites"
"Parking & Traffic Music Video","2014-12-08T00:00:00.000",,"Filming - Other",,"Russell Street"
"The Parking And Traffic Music Video","2014-12-13T00:00:00.000","2014-12-13T00:00:00.000","Filming - Other",,"Little Collins Street, Union Lane"
"I, Supermodel","2014-12-18T00:00:00.000","2014-12-18T00:00:00.000","Filming - Other",,"Carlton Gardens, Flinders St Station"
"British India Film Clip","2015-03-20T00:00:00.000","2015-03-20T00:00:00.000","Filming - Other",,"Promotional Sites, All Other Spaces"
"Mq Marketing Film","2015-05-27T00:00:00.000","2015-05-28T00:00:00.000","Filming - Other",,"Treasury Gardens"
"Absolute Content","2015-07-07T00:00:00.000","2015-07-08T00:00:00.000","Filming - Other",,"Little Collins Street, Corrs Lane, Tattersalls Lane"
"The Carers Project","2015-07-19T00:00:00.000","2015-07-19T00:00:00.000","Filming - Other",,"Southbank Spillway"
"Older And Younger","2015-08-04T00:00:00.000","2015-08-04T00:00:00.000","Filming - Other",,"Swanston Street, Cohen Place"
"Rialto Regeneration Project","2015-08-11T00:00:00.000","2015-08-14T00:00:00.000","Filming - Other",,"Batman Park"
"Hoyts","2015-09-10T00:00:00.000","2015-09-11T00:00:00.000","Filming - Other",,"Bridges"
"Ang Dating Daan Video","2015-10-05T00:00:00.000","2015-10-05T00:00:00.000","Filming - Other",,"Batman Park"
"Paradise Cove TVC","2016-02-01T00:00:00.000","2016-02-02T00:00:00.000","Filming - Other",,"Alexandra Gardens, Fawkner Park, Southbank Promenade, Inner Suburb Locations, Roads / Public Access Spaces"
"Boys In The Trees - 29 Jan 2016","2016-02-02T00:00:00.000","2016-02-02T00:00:00.000","Filming - Other",,"Fitzroy Gardens"
"Billboard Traffic","2016-02-12T00:00:00.000","2016-02-16T00:00:00.000","Filming - Other",,"Batman Park"
"Milo Tvc","2016-03-12T00:00:00.000","2016-03-12T00:00:00.000","Filming - Other",,"Holland Park"
"Music Video","2016-05-03T00:00:00.000","2016-05-04T00:00:00.000","Filming - Other",,"Bridges, Promotional Sites, All Other Spaces"
"Music Video","2016-10-01T00:00:00.000","2016-10-09T00:00:00.000","Filming - Other",,"Other Park Locations"
"Traffic Demo Uav Shoot","2016-10-01T00:00:00.000","2016-10-03T00:00:00.000","Filming - Other",,"Parks"
"Metro Corporate Video","2016-11-11T00:00:00.000","2016-11-11T00:00:00.000","Filming - Other",,"Treasury Gardens"
"Mpavilion Uav Shoot","2017-01-19T00:00:00.000","2017-01-19T00:00:00.000","Filming - Other",,"Queen Victoria Gardens"
"B-87 ""ride"" - Music Video","2017-02-24T00:00:00.000","2017-02-25T00:00:00.000","Filming - Other",,"Hosier Lane, Rutledge Lane"
