"indicator","type","topic","description","response","year","respondent_group","sample_size","result","format"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2019","City of Melbourne","1212","47.5","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2019","Carlton 3053","129","39.9","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2019","Docklands 3008","102","48.6","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2019","East Melbourne 3002","94","57.7","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2019","Kensington / Flemington 3031","110","51.9","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2019","Melbourne 3000","249","52.7","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2019","North Melbourne 3051 / West Melbourne 3003","207","47.0","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2019","Parkville 3052","91","40.4","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2019","South Wharf / Southbank 3006","133","43.7","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2019","South Yarra 3141 / Melbourne/St Kilda Road 3004","97","43.0","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2019","Male","582","49.3","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2019","Female","625","45.8","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2019","18-24 years","275","43.0","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2019","25-34 years","309","48.2","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2019","35-44 years","156","50.1","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2019","45-54 years","93","53.7","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2019","55-64 years","109","57.7","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2019","65+ years","270","42.0","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2019","City of Melbourne","1259","70.4","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2019","Carlton 3053","132","70.3","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2019","Docklands 3008","105","78.3","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2019","East Melbourne 3002","95","62.0","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2019","Kensington / Flemington 3031","113","54.7","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2019","Melbourne 3000","265","72.8","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2019","North Melbourne 3051 / West Melbourne 3003","216","61.4","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2019","Parkville 3052","94","76.9","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2019","South Wharf / Southbank 3006","138","77.3","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2019","South Yarra 3141 / Melbourne/St Kilda Road 3004","101","74.3","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2019","Male","605","70.0","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2019","Female","648","71.1","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2019","18-24 years","298","77.6","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2019","25-34 years","323","77.3","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2019","35-44 years","161","65.5","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2019","45-54 years","94","57.2","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2019","55-64 years","109","59.1","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2019","65+ years","274","40.2","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2019","City of Melbourne","1259","60.6","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2019","Carlton 3053","132","56.1","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2019","Docklands 3008","105","70.0","Per cent"
