"title","date_venue","venue","attendance_est","speakers","partners_sponsors","overview"
"MKW 2017 lunchtimes: What do grown ups do all day?","Friday 5 May, 2017","MKW Festival Hub (Experimedia), State Library of Victoria","125","Jan Owen AM - FYA
Tane Hunter - Future Crunch
Nada Kalam - Melbourne Knowledge Fellowship applicant/ Muslim leadership network
Ally Watson - Code Like A Girl
Madeleine Buchner - Little Dreamers
Brodie Lancaster - freelance writer TBC
Gary Leung - IntimatAR
Helen Evans - freelancer/ gig economy","Foundation for Young Australians",
"MKW 2017 lunchtimes: Bespoke at scale","Thursday 4 May, 2017","MKW Festival Hub (Experimedia), State Library of Victoria","110","HOST Vanessa Murray - author of forthcoming book on bespoke making in Australia, to be published by Hardie Grant
Marcus Westbury - Renew Australia, Collingwood Arts Precinct
Susannah Bradley - ETSY Australia
Orion Chibnall - Orion Joel Custom Jewellery","Etsy Australia",
"MKW 2017 Keynote: Jason Schupbach on ""The role of place in civic innovation""","Tuesday 2 May, 2017","Deakin Edge","160","Keynote: Jason Schupbach – Director of Design and Creative Placemaking Programs – National Endowment for the Arts NEA 
Host: Jane Crawley - Creative Victoria
","MKW 2017",
"MKW 2017 lunchtimes: Burning Man is Silicon Valley","Tuesday 2 May, 2017","MKW Festival Hub (Experimedia), State Library of Victoria","130","HOST Angus Hervey - Future Crunch
Jodi York - Melburners Inc, Melbourne Business School
Tamara di Mattina - The New Joneses
Michael Scarlett - Culture Jam/ The Town festival","Melburners Inc",
"MKW 2017 Keynote: Katherine Maher on ""The democratisation of knowledge""","Monday 1 May, 2017","Kathleen Fitzpatrick Lecture Theatre, University of Melbourne","400","Katherine Maher - Executive Director, Wikimedia Foundation
Bjorn Nansen - Lecturer, Media & Communications, University of Melbourne","University of Melbourne
MKW 2017",
"The Light and Dark Sides of Adolescence: Boosting Wellbeing and Reducing Risk 

WORLD CONGRESS ON PUBLIC HEALTH ","Wednesday 5 April 2017","Plenary, MCEC","450","Panel
Carmel Guerra OAM - Founder and CEO of the Centre for Multicultural Youth
Professor Alex Ezeh - Executive Director of The African Population and Health Research Center in Kenya
Teresa Hall - Research Fellow and PhD student, Centre for Mental Health and The Nossal Institute, Melbourne School of Population and Global Health
Professor George Patton - Psychiatrist and epidemiologist at the Murdoch Children's Research Institute
Speaker TBC - Foundation for Young Australians
MC Peter Mares - contributing editor to Inside Story magazine
","CoM Business Team sponsored the Congress 
WORLD CONGRESS ON PUBLIC HEALTH 
MCEC","Australian adolescents today are the best nourished, educated and interconnected generation ever - but they are also facing unprecedented cultural, economic and social change. 
Adolescence is a critical developmental phase for achieving human potential. It is a time of life characterised by dynamic brain development, when interaction with the social environment moulds the capabilities that an individual takes forward into later life.
But are we creating the conditions for adolescents and young adults to thrive?
"
"Celebrating International Women's Day: Stories of bold change","Thursday 9 March, 2017","Swanston Hall, Melbourne Town Hall","220","Leslie Cannold (host)
Angela Pippos
Halima Mohamed
Jirra Lulla Harvey","CoM Events Branch",
"Jan Gehl: People Places and stories ","Thursday 9 February, 2017","B117 Theatre, Melbourne School of Design, University of Melbourne","500","Rob Adams
Jan Gehl
host TBC","CoM Design Group
Melbourne School of Design
Office of Danish Consulate General Melbourne","Presentation, discussion and Q&A followed by invite only Supper Reception in MSD Japan Room 7:45 onwards sponsored by Office of Danish Consulate General and University of Melbourne

‘If Jan Gehl did not already exist it would be necessary to invent him to rescue our cities.’ wrote Janette Sadik-Khan, former Commissioner NYC Department of Transportation. 

Influential urbanist, architect and humanist Jan Gehl returns to Melbourne with more stories about observing public life and how cities can be made more liveable, humane and happier.  As Gehl says, ‘A good city is like a good party. People stay longer than really necessary because they are enjoying themselves.’ 

The event celebrates the publication of a new book about Jan Gehl entitled People Cities – Life and legacy of Jan Gehl  written by Annie Matan and Peter Newman,  Island Press, 2016.  
 "
"Melbourne global Univer-city: Educating our future","Monday
28 November 2016","Swanston Hall","230",,"University of Melbourne",
"Creative cities: Art Culture and commerce ","Friday
25 November 2016","MPavillion","25",,"ACMI-X, MPavilion",
"Adapt, survive and thrive: creating liveable, resilient cities","Thursday
10 November 2016","Deakin Edge","350","Mr Michael Berkowitz, President of 100 Resilient Cities - pioneered by the Rockefeller Foundation   
Professor Lars Coenen, inaugural Chair in Resilient Cities, City of Melbourne and University of Melbourne
Ms Jan Owen AM, CEO Foundation for Young Australians
Ms Lara Poloni, Chief Executive AECOM Australia New Zealand
Moderator: Mr Toby Kent, Chief Resilience Officer, City of Melbourne","Resilient Melbourne / 100 Resilient Cities - Pioneered by the Rockefeller Founcation","Discussion on 100 Resilient Cities and it's massive take up around the world, and discussion on becoming a resilient city."
"ITS Conference - End of mass car ownership: How will we get around?","Friday
14 October 2016 MCEC","MCEC","265",,,
"ITS Conference - Smart Transport: Making streets better places for people","Thursday 
13 October 2016 MCEC ","MCEC","310",,,
"ITS Conference - Driverless cars and road safety: what will this mean for you?","Wednesday 12 October MCEC","MCEC","180",,,
"Alain de Botton in conversation with Michael Leunig","23 April 2009 RMIT Storey Auditorium ",,"800","Alain de Botton
Michael Leunig",,"Renowned philosopher, best-selling author and TV presenter, will discuss his latest book, The Pleasures and Sorrows of Work.   This talk will “amount to a celebration and investigation of an activity as central to a good life as love – but which we often find remarkably hard to reflect on properly. Most of us are still working at jobs chosen for us by our sixteen-year-old selves.” "
"Cultivating Green Art: Ideas and solutions for environmental sustainability","24 November 2011, Supper Room, Town Hall ",,"200","Karen Blincoe, Martin Mulligan, Katrine Vejby, Miyuki Jokiranta and Angharad Wynne-Jones 
","Tipping Point Australia
Statens Kunstrad, Danish Arts Council
Future Leaders","City of Melbourne, TippingPoint Australia and the Danish Arts Agency have combined to bring you some of Melbourne and Copenhagen’s most exciting cultural innovators as they discuss how they see the artists in their cities respond to the challenge of environmental sustainability. Contribute to the Café Conversations style evening and have interactive creative conversations on the issues they raise. 
"
"Should Melbourne bid on for another Olympic Games?","Thursday 18 June 2016 Council Chambers, Town Hall",,"61","Nick Green OAM - Dual rowing gold medallist, President Victorian Olympic Committee Brendan McClements - CEO Victorian Major Events Company Kate Palmer - Chief Executive Officer, Netball Australia and Chair, Victorian Institute of Sport Jared Tallent - Australian race walker, Olympic gold medallist London 2012 Prof Hans Westerbeek - Dean, College of Sport and Exercise Science, Victoria University and Club Melbourne Ambassador MC - Margot Foster AM – Mediator, Lawyer, Consultant, Chairman Vicsport, Director VicHealth and Olympic and Commonwealth Games medallist","Victorian Olympics Committee - External / Business and Tourism ","Olympic Games and whether they are worth the investment."
"Recognition, Treaty, Sovereignty and Self-determination – Facts and Ambitions","Wednesday 1 June 2016 Swanston Hall, Town Hall",,"300","Dr Gary Foley - Professor in History, Moondani Balluk, Victoria University Aunty Margaret Gardiner – Wurundjeri, Wamba Wamba, Barapa Barapa, Dja Dja Wurrung,  Waywurru  Ms Shireen Morris - Lawyer and Senior Policy Advisor, Cape York Institute Uncle Gary Murray - Victorian Traditional Owner Land Justice Group, Dhudhuroa, Barapa Barapa, Djupagalk, Yorta Yorta, Wamba Wamba, Dja Dja Wurrung ncle Larry Walsh - Taungurung Elder, Story Teller and Cultural Educator MC - Professor  Cheryl Saunders  - Melbourne Law School, the University of Melbourne","Social Investment /Indigenous Melbourne ","National Reconcilliation Week discussion on consititutional recognition, treaties and self-determiniation."
