"name","what","who","address_1","address_2","suburb","phone","phone_2","free_call","email","website","twitter","social_media","monday","tuesday","wednesday","thursday","friday","saturday","sunday","public_holidays","cost","tram_routes","bus_routes","nearest_train_station","category_1","category_2","category_3","category_4","category_5","category_6","longitude","latitude","geocoded_location"
"Child Protection Emergency Service",,,,,,"13 12 78",,,,"dhs.vic.gov.au/for-individuals/children,-families-and-young-people/child-protection",,,,,,,,,,,,,,,"Helpful phone number","N/A","N/A","N/A","N/A","N/A",,,
"Direct Line (24-hr drug and alcohol counselling)",,,,,,,,"1800 888 236",,"directline.org.au",,,,,,,,,,,,,,,"Helpful phone number","N/A","N/A","N/A","N/A","N/A",,,
"Gamblers Help Line Victoria",,,,,,,,"1800 858 858",,"gamblinghelponline.org.au",,,,,,,,,,,,,,,"Helpful phone number","N/A","N/A","N/A","N/A","N/A",,,
"Kids Help line",,,,,,,,"1800 551 800",,"kidshelp.com.au",,,,,,,,,,,,,,,"Helpful phone number","N/A","N/A","N/A","N/A","N/A",,,
"Lifeline (24 hour crisis counselling)",,,,,,"13 11 14",,,,"lifeline.org.au","@LifelineAust","youtube.com/user/LifelineAustralia",,,,,,,,,,,,,"Helpful phone number","N/A","N/A","N/A","N/A","N/A",,,
"Maternal and Child Health Line",,,,,,"13 22 29",,,,"education.vic.gov.au/childhood/parents/support/pages/mchline.aspx",,,,,,,,,,,,,,,"Helpful phone number","N/A","N/A","N/A","N/A","N/A",,,
"Mensline Australia",,,,,,"1300 789 978",,,,"mensline.org.au","@MensLine_Aus","facebook.com/MensLineAus",,,,,,,,,,,,,"Helpful phone number","Helpful website","N/A","N/A","N/A","N/A",,,
"Narcotics Anonymous - Victorian Area Helpline",,,,,,"9525 2833",,,"info@navic.net.au","navic.net.au",,,,,,,,,,,,,,,"Helpful phone number","Helpful website","N/A","N/A","N/A","N/A",,,
"Sexual Assault Crisis Line ",,,,,,,,"1800 806 292",,"sacl.com.au",,,,,,,,,,,,,,,"Helpful phone number","Helpful website","N/A","N/A","N/A","N/A",,,
"Suicide Line",,,,,,"1300 651 251",,,,"suicideline.org.au","@SuicideLine","facebook.com/SuicideLineVic",,,,,,,,,,,,,"Helpful phone number","Helpful website","N/A","N/A","N/A","N/A",,,
"Victims of Crime Help Line",,,,,,,,"1800 819 817  ",,"victimsofcrime.com.au","@VoCCCs","acebook.com/VictimsOfCrime",,,,,,,,,,,,,"Helpful phone number","Helpful website","N/A","N/A","N/A","N/A",,,
"Aboriginal Family Violence Prevention and Legal Service Victoria","Legal Services, Counselling Support, Information, Referral and Support, Community Education and Training",,"Level 3","70-80 Wellington Street","Collingwood","9244 3333 ",,"1800 105 303",,"fvpls.org","@FVPLSVictoria","facebook.com/pages/Aboriginal-Family-Violence-Prevention-Legal-Service-Victoria/86033298731200","9.00am – 5.00pm","9.00am – 5.00pm","9.00am – 5.00pm","9.00am – 5.00pm","9.00am – 5.00pm","Closed","Closed","Closed",,"86 (stop 15 Gertrude St)",,,"Legal / Financial Advice","Counselling and Psychiatric Services","N/A","N/A","N/A","N/A","144.986299","-37.806426999999999","(-37.806427, 144.986299)"
"Action Centre","contraception, sexuality and gender issues, pregnancy and unplanned pregnancy, sexually transmissible infections, sexual decision making, relationships","Services are for under 25 year olds","Level 1","92-94 Elizabeth Street","Melbourne","9660 4700",,"1800 013 952",,"fpv.org.au",,,"10.00am-6.00pm","10.00am-6.00pm","10.00am-6.00pm","10.00am-6.00pm","10.00am-6.00pm","Closed","Closed","Closed","Over 18 years and working $35 per year, If on a pension or student benefit $10 per year.  Free for under 18 year olds.","11, 42, 48, 109, 112 (stop 5 Elizabeth St)",,"Flinders Street","Health Services / Pharmacy","Counselling and Psychiatric Services","N/A","N/A","N/A","N/A","144.96417","-37.815731","(-37.815731, 144.96417)"
"Adult Outreach Support Services","Adult Outreach Support Services works with people who are homeless, or at risk of homelessness, to secure and maintain safe and affordable housing and achieve independence in the community.","People who are homeless, or at risk of homelessness",,"179 Flemington Road","North Melbourne","9329 5100",,,,"vincentcare.org.au",,,,,,,,,,,,"55, 57, 59",,,"Accommodation","N/A","N/A","N/A","N/A","N/A","144.94850700000001","-37.795439000000002","(-37.795439, 144.948507)"
