"id_number","status","photo","type","city_owned","category","site","last_name","first_name","artist_city_state","title","medium","cost","date_purchased_installed","dimensions","funding","installed","deinstall","latitude","longitude","location","location_address","location_city","location_state","location_zip"
"173","Temporary","yes","Outdoor","Yes","7th Biennial","Veteran's Bridge @ Riverfront Parkway","Pierce","Nathan","Cape Girardeau, MO","Don't Forget Us","epoxy coated steel","28000",,"16' H x7' H x7' D",,"16-May","18-May",,,,,,,
"115","Permanent","yes","Outdoor","Yes","City Outdoor","Main Street","Alfonso","Rey","Greenville, SC","Celestial Clockwork","aluminum, steel, enamel","35000","2009",,"Purchased with private funds",,,"35.03576","-85.30656","POINT (-85.30656 35.03576)",,,,
"80","Permanent","yes","Outdoor","Yes","City Outdoor","Hamilton Co. Bicentennial Library","Collins","Jim","Signal Mountain, TN","Volumes","stainless steel","100000","2001","12x22x10'","Purchased with private funds/gift from Ruth and Bill Holmberg",,,"35.04465","-85.31065","POINT (-85.31065 35.04465)",,,,
"99","Permanent","yes","Outdoor","Yes","City Outdoor","Riverwalk Mile #2","Collins","Jim","Signal Mountain, TN","Bicycle for Two","powder coated steel","8000","2007",,"Purchased with private funds/Linda Neely",,,"35.09081","-85.25894","POINT (-85.25894 35.09081)",,,,
"143","Permanent","yes","Outdoor","Yes","City Outdoor","West Main Street @ Key Club","Chalfant","Derek","Elmira, NC","Youth","stainless steel","14500","2014","7'8"" x 2' x 3'","Purchased with private funds/The Lyndhurst Foundation",,,"35.03691","-85.30963","POINT (-85.30963 35.03691)",,,,
"159","Temporary","yes","Outdoor","Yes","Quilted","Convention Center","Ruden","Mary","Seymour, TN","Blue Star","digital print on vinyl","500",,"4'W x 4' H",,"Sept-14","Dec-14",,,,,,,
"97","Permanent","yes","Outdoor","Yes","City Outdoor","Riverwalk Mile #0","Collins","Jim","Signal Mountain, TN","Bird Watcher","powder coated steel","8000","2007",,"Purhcased with private funds/The Riverwalk Birdwatchers",,,"35.10227","-85.2313","POINT (-85.2313 35.10227)",,,,
"43","Permanent",,"Indoor","No","Chattanoogan Indoor","Chattanoogan Hotel","Wile","Dennis","New York, NY","Bill Monroe Father of Bluegrass (2)","photography","3400","2000","20"" x 30""",,,,"35.040627","-85.30989","POINT (-85.30989 35.040627)",,,,
"118","Permanent","yes","Outdoor","Yes","City Outdoor","RiverWalk","Yost","Charles","Chicago, IL","Contemporary Budding Pipelines","mixed metals","8500","2010/2009",,"Purchased with private funds/Gift from Charles Yost",,,"35.100179","-85.246545","POINT (-85.246545 35.100179)",,,,
"137","Permanent","yes","Outdoor","Yes","Art on Main","27 West Main Street","Shearin","Jon","Brooklyn, NY","Composite Wing","wrought iron, mica, glass","9000","2013","8' x 2'4"" x 5'8“_x000B_","Purchased with private funds/The Lyndhurst Foundation",,,"35.03656","-85.30822","POINT (-85.30822 35.03656)",,,,
"132","Permanent","yes","Outdoor","Yes","City Outdoor","Belvoir Neighborhood Pocket Park","Billingsley","Carl","Ayden, NC","Plane Warp","oiled steel","6000","2013","11' x 5' x 5'","Purchased with private funds/Belvoir Neighborhood Association",,,"35.00909","-85.23714","POINT (-85.23714 35.00909)",,,,
"34","Permanent",,"Indoor","No","Chattanoogan Indoor","Chattanoogan Hotel","Koehler","James","Santa Fe, NM","Tapestry Diptych (red)","hand dyed wool",,"2000","55"" x 53.5""",,,,"35.040627","-85.30989","POINT (-85.30989 35.040627)",,,,
"49","Permanent","yes","Indoor","Yes","City Indoor","City Hall/3rd Floor Veranda Conference Room","Hefferlin","Melissa","Apison, TN","Waterfront Celebration!","oil on linen","5000","2005","6'x 6'","Purchased with private funds/21st Century Waterfront",,,"35.043539","-85.307465","POINT (-85.307465 35.043539)",,,,
"157","Temporary","yes","Outdoor","Yes","Quilted","Convention Center","Balk","Ellie","Brooklyn, NY","You Are Here","digital print on vinyl","500",,"4'W x 4' H",,"Sept-14","Dec-14",,,,,,,
