"exam_number","general_government_gru","department","division","job_title","ethnic_code","applicant_ethnicity","gender_code","applicant_gender","date_application_received","applicant_state","city","applicant_zip_code","zip_code_location"
"4193","GG",,,"Safety Specialist","WNH","White Alone Non-Hispanic","M","Male","2012-08-01T00:00:00.000","International",,,
"4700","GG",,,"POLICE OFFICER","WNH","White Alone Non-Hispanic","M","Male","2014-06-19T00:00:00.000","Connecticut",,"06861",
"4700","GG",,,"POLICE OFFICER","WNH","White Alone Non-Hispanic","M","Male","2014-06-16T00:00:00.000","Florida",,"33884-33809",
"4700","GG",,,"POLICE OFFICER","WH","White Alone Hispanic","M","Male","2014-06-05T00:00:00.000","Puerto Rico",,"00959",
"4700","GG",,,"POLICE OFFICER","OH","Other Hispanic or Latino","M","Male","2014-06-02T00:00:00.000","Puerto Rico",,"00729",
"4700","GG",,,"POLICE OFFICER","WH","White Alone Hispanic","M","Male","2014-06-02T00:00:00.000","Puerto Rico",,"00959",
"010-05001","GRU",,,"OPERATIONAL TECHNOLOGY NETWORK & SYSTEMS ANALYST, SR","OH","Other Hispanic or Latino","M","Male","2014-06-01T00:00:00.000","Puerto Rico",,"00987",
"5029","GG",,,"Intern - CAD - Civil Engineering","OH","Other Hispanic or Latino","F","Female","2014-05-31T00:00:00.000","Florida",,"329607",
"010-04470","GRU",,,"Production Technician","WNH","White Alone Non-Hispanic","F","Female","2014-05-31T00:00:00.000","International",,,
"4700","GG",,,"POLICE OFFICER","WH","White Alone Hispanic","M","Male","2014-05-29T00:00:00.000","Puerto Rico",,"00735",
"010-04470","GRU",,,"Production Technician","BNH","Black Alone Non-Hispanic","M","Male","2014-05-27T00:00:00.000","U.S. Virgin Islands",,"00851",
"4980","GG",,,"Operations Supervisor - Public Works","WNH","White Alone Non-Hispanic","M","Male","2014-05-20T00:00:00.000","Florida",,"34776",
"4700","GG",,,"POLICE OFFICER","OH","Other Hispanic or Latino","M","Male","2014-05-19T00:00:00.000","Puerto Rico",,"00687",
"4700","GG",,,"POLICE OFFICER","WH","White Alone Hispanic","M","Male","2014-05-19T00:00:00.000","Puerto Rico",,"00953",
"4700","GG",,,"POLICE OFFICER","OH","Other Hispanic or Latino","M","Male","2014-05-18T00:00:00.000","Puerto Rico",,"00926",
"5022","GG",,,"Staff Specialist","WNH","White Alone Non-Hispanic","F","Female","2014-05-13T00:00:00.000","Florida",,"34634",
"010-05014","GRU",,,"ENGINEER IV/UTILITY DESIGNER IV","OH","Other Hispanic or Latino","M","Male","2014-05-04T00:00:00.000","Puerto Rico",,"00777",
"010-04965","GRU",,,"ENGINEER I/UTILITY DESIGNER","OH","Other Hispanic or Latino","M","Male","2014-04-29T00:00:00.000","Puerto Rico",,"00624",
"010-04737","GRU",,,"ENGINEERING INTERN","OH","Other Hispanic or Latino","M","Male","2014-04-27T00:00:00.000","Puerto Rico",,"00969",
"010-04965","GRU",,,"ENGINEER I/UTILITY DESIGNER","OH","Other Hispanic or Latino","M","Male","2014-04-25T00:00:00.000","Puerto Rico",,"00969",
"010-04965","GRU",,,"ENGINEER I/UTILITY DESIGNER","OH","Other Hispanic or Latino","F","Female","2014-04-24T00:00:00.000","Puerto Rico",,"00961-8352",
"4971","GG",,,"Account Clerk II","WNH","White Alone Non-Hispanic","F","Female","2014-04-16T00:00:00.000","Florida",,"34634",
"010-04737","GRU",,,"ENGINEERING INTERN","2NH","Balance of 2+ Races and Some Other Race, Non-Hispanic","M","Male","2014-04-16T00:00:00.000","International",,,
"4971","GG",,,"Account Clerk II","OH","Other Hispanic or Latino","F","Female","2014-04-13T00:00:00.000","Puerto Rico",,"00729",
"4974","GG",,,"Temporary Horticulturalist","OH","Other Hispanic or Latino","M","Male","2014-04-08T00:00:00.000","International",,,
"4801","GG",,,"Labor / Employee Relations Specialist","OH","Other Hispanic or Latino","F","Female","2014-04-01T00:00:00.000","Puerto Rico",,"00719",
"4945","GG",,,"Temporary- Golf Cart Attendant","WNH","White Alone Non-Hispanic","M","Male","2014-03-02T00:00:00.000","Florida",,"36208",
"4945","GG",,,"Temporary- Golf Cart Attendant","WNH","White Alone Non-Hispanic","F","Female","2014-02-25T00:00:00.000","Florida",,,
"010-04929","GRU",,,"Power Plant Instrumentation, Controls and Electrical Technician","ANH","Asian Alone Non-Hispanic","M","Male","2014-02-25T00:00:00.000","International",,,
"4700","GG",,,"POLICE OFFICER","OH","Other Hispanic or Latino","M","Male","2014-02-15T00:00:00.000","Puerto Rico",,"00926",
"4700","GG",,,"POLICE OFFICER","OH","Other Hispanic or Latino","M","Male","2014-02-14T00:00:00.000","Puerto Rico",,"00687",
"4700","GG",,,"POLICE OFFICER","WH","White Alone Hispanic","M","Male","2014-02-14T00:00:00.000","Puerto Rico",,"00953",
"4700","GG",,,"POLICE OFFICER","OH","Other Hispanic or Latino","F","Female","2014-02-11T00:00:00.000","Puerto Rico",,"00983",
"4700","GG",,,"POLICE OFFICER","OH","Other Hispanic or Latino","M","Male","2014-02-08T00:00:00.000","Puerto Rico",,"00953",
"4700","GG",,,"POLICE OFFICER","OH","Other Hispanic or Latino","M","Male","2014-02-04T00:00:00.000","Puerto Rico",,"00917",
"4700","GG",,,"POLICE OFFICER","OH","Other Hispanic or Latino","M","Male","2014-02-03T00:00:00.000","Puerto Rico",,"00767",
"010-04885","GRU",,,"Maintenance Mechanic 1","WNH","White Alone Non-Hispanic","M","Male","2014-01-28T00:00:00.000","Florida",,"32028",
"010-04873","GRU",,,"Engineering Intern","OH","Other Hispanic or Latino","M","Male","2014-01-26T00:00:00.000","Puerto Rico",,"00667",
"010-04857","GRU",,,"MANAGER OF OUTAGE PLANNING AND MAJOR MAINTENANCE","INH","American Indian, Alaskan Native Alone Non-Hispanic","P","Prefer not to disclose","2014-01-22T00:00:00.000","Arizona",,"88767",
"4700","GG",,,"POLICE OFFICER","OH","Other Hispanic or Latino","M","Male","2014-01-22T00:00:00.000","Puerto Rico",,"00719-4405",
"4700","GG",,,"POLICE OFFICER","OH","Other Hispanic or Latino","M","Male","2014-01-21T00:00:00.000","Puerto Rico",,"00983",
"010-04854","GRU",,,"Supervising Engineer/ Supervisor Utility Designer","WNH","White Alone Non-Hispanic","M","Male","2014-01-21T00:00:00.000","International",,,
"010-04854","GRU",,,"Supervising Engineer/ Supervisor Utility Designer","WNH","White Alone Non-Hispanic","M","Male","2014-01-20T00:00:00.000","Florida",,"02042",
"010-04854","GRU",,,"Supervising Engineer/ Supervisor Utility Designer","WH","White Alone Hispanic","M","Male","2014-01-20T00:00:00.000","Puerto Rico",,"00698-4304",
"4700","GG",,,"POLICE OFFICER","OH","Other Hispanic or Latino","M","Male","2014-01-19T00:00:00.000","Puerto Rico",,"00728",
"010-04786","GRU",,,"Accountant, Senior","OH","Other Hispanic or Latino","M","Male","2014-01-18T00:00:00.000","Puerto Rico",,"00736",
"010-04648","GRU",,,"ACCOUNTANT II","OH","Other Hispanic or Latino","M","Male","2014-01-18T00:00:00.000","Puerto Rico",,"00736",
"4700","GG",,,"POLICE OFFICER","OH","Other Hispanic or Latino","M","Male","2014-01-14T00:00:00.000","Puerto Rico",,"00610",
"4700","GG",,,"POLICE OFFICER","WH","White Alone Hispanic","M","Male","2014-01-12T00:00:00.000","Florida",,"00627",
"4700","GG",,,"POLICE OFFICER","OH","Other Hispanic or Latino","M","Male","2014-01-10T00:00:00.000","Florida",,"00662",
"4700","GG",,,"POLICE OFFICER","WH","White Alone Hispanic","M","Male","2014-01-08T00:00:00.000","Puerto Rico",,"00735",
"4860","GG",,,"Grant Program Specialist","OH","Other Hispanic or Latino","M","Male","2014-01-04T00:00:00.000","Puerto Rico",,"00736",
"4836","GG",,,"Safety Specialist","WNH","White Alone Non-Hispanic","M","Male","2013-12-23T00:00:00.000","International",,,
"010-04838","GRU",,,"Engineer UT Designer IV","PND","Prefer Not to Disclose","M","Male","2013-12-12T00:00:00.000","Puerto Rico",,"00976",
"010-04843","GRU",,,"Water Distribution & Wastewater Collection System Director","WNH","White Alone Non-Hispanic","M","Male","2013-12-11T00:00:00.000","Nevada",,"M8V1E5",
"4792","GG",,,"POLICE SERVICE TECHNICIAN l","OH","Other Hispanic or Latino","M","Male","2013-12-01T00:00:00.000","Puerto Rico",,"00771",
"4792","GG",,,"POLICE SERVICE TECHNICIAN l","OH","Other Hispanic or Latino","M","Male","2013-11-27T00:00:00.000","Puerto Rico",,"00729",
"4839","GG",,,"Recreation Aide I","BNH","Black Alone Non-Hispanic","M","Male","2013-11-20T00:00:00.000","Florida",,"32642",
"010-04782","GRU",,,"Technical Support Specialist 3","WH","White Alone Hispanic","M","Male","2013-11-04T00:00:00.000","Puerto Rico",,"00957",
"010-04743","GRU",,,"TEMPORARY PROFESSIONAL","ANH","Asian Alone Non-Hispanic","M","Male","2013-10-28T00:00:00.000","Marshall Islands",,"201301",
