"vulnerable_population","section","long_title","short_title","group","group1","subgroup","age_group","value"
"Age Group","A. Socio-demographic Characteristics","A1. Distribution of Age among FY13 Veteran VHA Patients","Age Group (Overall)","Overall",,"Overall","X18.44","898294.0"
"Age Group","A. Socio-demographic Characteristics","A2. Distribution of Age among FY13 Veteran VHA Patients by Sex, FY13","Age Group by Sex","Sex",,"F","X18.44","162291.0"
"Age Group","A. Socio-demographic Characteristics","A2. Distribution of Age among FY13 Veteran VHA Patients by Sex, FY13","Age Group by Sex","Sex",,"M","X18.44","736001.0"
"Age Group","A. Socio-demographic Characteristics","A4. Distribution of Age among FY13 Veteran VHA Patients by Race/Ethnicity, FY13","Age Group by Race/Ethnicity","Race/Ethnicity",,"AI/AN","X18.44","7064.0"
"Age Group","A. Socio-demographic Characteristics","A4. Distribution of Age among FY13 Veteran VHA Patients by Race/Ethnicity, FY13","Age Group by Race/Ethnicity","Race/Ethnicity",,"Asian","X18.44","15193.0"
"Age Group","A. Socio-demographic Characteristics","A4. Distribution of Age among FY13 Veteran VHA Patients by Race/Ethnicity, FY13","Age Group by Race/Ethnicity","Race/Ethnicity",,"Black/African American","X18.44","169451.0"
"Age Group","A. Socio-demographic Characteristics","A4. Distribution of Age among FY13 Veteran VHA Patients by Race/Ethnicity, FY13","Age Group by Race/Ethnicity","Race/Ethnicity",,"NH/OPI","X18.44","6840.0"
"Age Group","A. Socio-demographic Characteristics","A4. Distribution of Age among FY13 Veteran VHA Patients by Race/Ethnicity, FY13","Age Group by Race/Ethnicity","Race/Ethnicity",,"White","X18.44","543522.0"
"Age Group","A. Socio-demographic Characteristics","A4. Distribution of Age among FY13 Veteran VHA Patients by Race/Ethnicity, FY13","Age Group by Race/Ethnicity","Race/Ethnicity",,"Hispanic","X18.44","91844.0"
"Age Group","A. Socio-demographic Characteristics","A4. Distribution of Age among FY13 Veteran VHA Patients by Race/Ethnicity, FY13","Age Group by Race/Ethnicity","Race/Ethnicity",,"Multi-race","X18.44","8561.0"
"Age Group","A. Socio-demographic Characteristics","A4. Distribution of Age among FY13 Veteran VHA Patients by Race/Ethnicity, FY13","Age Group by Race/Ethnicity","Race/Ethnicity",,"Unknown","X18.44","55819.0"
"Age Group","A. Socio-demographic Characteristics","A5. Distribution of Age among FY13 Veteran VHA Patients by Rural/Urban Status, FY13","Age Group by Rural/Urban Status","Geography",,"Highly Rural","X18.44","7524.0"
"Age Group","A. Socio-demographic Characteristics","A5. Distribution of Age among FY13 Veteran VHA Patients by Rural/Urban Status, FY13","Age Group by Rural/Urban Status","Geography",,"Other Rural","X18.44","255034.0"
"Age Group","A. Socio-demographic Characteristics","A5. Distribution of Age among FY13 Veteran VHA Patients by Rural/Urban Status, FY13","Age Group by Rural/Urban Status","Geography",,"Urban","X18.44","629705.0"
"Age Group","A. Socio-demographic Characteristics","A6. Distribution of Age among FY13 Veteran VHA Patients by Service-Connected Status, FY13","Age Group by Service-Connected Status","Service Connection",,"No SC","X18.44","307788.0"
"Age Group","A. Socio-demographic Characteristics","A6. Distribution of Age among FY13 Veteran VHA Patients by Service-Connected Status, FY13","Age Group by Service-Connected Status","Service Connection",,"SC 0-49","X18.44","283540.0"
"Age Group","A. Socio-demographic Characteristics","A6. Distribution of Age among FY13 Veteran VHA Patients by Service-Connected Status, FY13","Age Group by Service-Connected Status","Service Connection",,"SC 50-99","X18.44","261517.0"
"Age Group","A. Socio-demographic Characteristics","A6. Distribution of Age among FY13 Veteran VHA Patients by Service-Connected Status, FY13","Age Group by Service-Connected Status","Service Connection",,"SC 100","X18.44","44290.0"
"Age Group","B. VHA Outpatient Utilization","B1. Distribution of Age among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13","Age Group by VHA Outpatient Visits","Encounters","Outpatient Visits","0 encounters","X18.44","22233.0"
"Age Group","B. VHA Outpatient Utilization","B1. Distribution of Age among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13","Age Group by VHA Outpatient Visits","Encounters","Outpatient Visits","1 encounter","X18.44","63539.0"
"Age Group","B. VHA Outpatient Utilization","B1. Distribution of Age among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13","Age Group by VHA Outpatient Visits","Encounters","Outpatient Visits","2 encounters","X18.44","79277.0"
"Age Group","B. VHA Outpatient Utilization","B1. Distribution of Age among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13","Age Group by VHA Outpatient Visits","Encounters","Outpatient Visits","3-5 encounters","X18.44","189246.0"
"Age Group","B. VHA Outpatient Utilization","B1. Distribution of Age among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13","Age Group by VHA Outpatient Visits","Encounters","Outpatient Visits","6-11 encounters","X18.44","217382.0"
"Age Group","B. VHA Outpatient Utilization","B1. Distribution of Age among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13","Age Group by VHA Outpatient Visits","Encounters","Outpatient Visits","12+ encounters","X18.44","326617.0"
"Age Group","B. VHA Outpatient Utilization","B2. Distribution of Age among FY13 Veteran VHA Patients by Primary Care Visits, FY13","Age Group by Primary Care Visits","Encounters","Primary Care Visits","0 encounters","X18.44","177027.0"
"Age Group","B. VHA Outpatient Utilization","B2. Distribution of Age among FY13 Veteran VHA Patients by Primary Care Visits, FY13","Age Group by Primary Care Visits","Encounters","Primary Care Visits","1 encounter","X18.44","308032.0"
"Age Group","B. VHA Outpatient Utilization","B2. Distribution of Age among FY13 Veteran VHA Patients by Primary Care Visits, FY13","Age Group by Primary Care Visits","Encounters","Primary Care Visits","2 encounters","X18.44","181059.0"
"Age Group","B. VHA Outpatient Utilization","B2. Distribution of Age among FY13 Veteran VHA Patients by Primary Care Visits, FY13","Age Group by Primary Care Visits","Encounters","Primary Care Visits","3-5 encounters","X18.44","184817.0"
"Age Group","B. VHA Outpatient Utilization","B2. Distribution of Age among FY13 Veteran VHA Patients by Primary Care Visits, FY13","Age Group by Primary Care Visits","Encounters","Primary Care Visits","6-11 encounters","X18.44","41917.0"
