"date","gender","race_ethnicity","veterans"
"2020-09-30T00:00:00.000","Female","All Veterans","2012760"
"2020-09-30T00:00:00.000","Female","White, alone","1395496"
"2020-09-30T00:00:00.000","Female","Black or African American, alone","402563"
"2020-09-30T00:00:00.000","Female","American Indian and Alaska Native, alone","20334"
"2020-09-30T00:00:00.000","Female","Asian, alone","49386"
"2020-09-30T00:00:00.000","Female","Native Hawaiian and Other Pacific Islander, alone","8193"
"2020-09-30T00:00:00.000","Female","Some other race, alone","43481"
"2020-09-30T00:00:00.000","Female","Two or more races","93307"
"2020-09-30T00:00:00.000","Female","Hispanic or Latino (of any race)","197270"
"2020-09-30T00:00:00.000","Female","White alone, Not Hispanic or Latino","1277917"
"2020-09-30T00:00:00.000","Male","All Veterans","17385184"
"2020-09-30T00:00:00.000","Male","White, alone","14140396"
"2020-09-30T00:00:00.000","Male","Black or African American, alone","1987685"
"2020-09-30T00:00:00.000","Male","American Indian and Alaska Native, alone","129825"
"2020-09-30T00:00:00.000","Male","Asian, alone","293706"
"2020-09-30T00:00:00.000","Male","Native Hawaiian and Other Pacific Islander, alone","34393"
"2020-09-30T00:00:00.000","Male","Some other race, alone","287645"
"2020-09-30T00:00:00.000","Male","Two or more races","511534"
"2020-09-30T00:00:00.000","Male","Hispanic or Latino (of any race)","1341362"
"2020-09-30T00:00:00.000","Male","White alone, Not Hispanic or Latino","13299234"
"2021-09-30T00:00:00.000","Female","All Veterans","2030970"
"2021-09-30T00:00:00.000","Female","White, alone","1402310"
"2021-09-30T00:00:00.000","Female","Black or African American, alone","408860"
"2021-09-30T00:00:00.000","Female","American Indian and Alaska Native, alone","20541"
"2021-09-30T00:00:00.000","Female","Asian, alone","50558"
"2021-09-30T00:00:00.000","Female","Native Hawaiian and Other Pacific Islander, alone","8444"
"2021-09-30T00:00:00.000","Female","Some other race, alone","44668"
"2021-09-30T00:00:00.000","Female","Two or more races","95589"
"2021-09-30T00:00:00.000","Female","Hispanic or Latino (of any race)","202783"
"2021-09-30T00:00:00.000","Female","White alone, Not Hispanic or Latino","1281486"
"2021-09-30T00:00:00.000","Male","All Veterans","16926141"
"2021-09-30T00:00:00.000","Male","White, alone","13709052"
"2021-09-30T00:00:00.000","Male","Black or African American, alone","1964824"
"2021-09-30T00:00:00.000","Male","American Indian and Alaska Native, alone","128011"
"2021-09-30T00:00:00.000","Male","Asian, alone","289725"
"2021-09-30T00:00:00.000","Male","Native Hawaiian and Other Pacific Islander, alone","34291"
"2021-09-30T00:00:00.000","Male","Some other race, alone","287799"
"2021-09-30T00:00:00.000","Male","Two or more races","512438"
"2021-09-30T00:00:00.000","Male","Hispanic or Latino (of any race)","1339772"
"2021-09-30T00:00:00.000","Male","White alone, Not Hispanic or Latino","12870459"
"2022-09-30T00:00:00.000","Female","All Veterans","2049469"
"2022-09-30T00:00:00.000","Female","White, alone","1409916"
"2022-09-30T00:00:00.000","Female","Black or African American, alone","414867"
"2022-09-30T00:00:00.000","Female","American Indian and Alaska Native, alone","20729"
"2022-09-30T00:00:00.000","Female","Asian, alone","51707"
"2022-09-30T00:00:00.000","Female","Native Hawaiian and Other Pacific Islander, alone","8683"
"2022-09-30T00:00:00.000","Female","Some other race, alone","45778"
"2022-09-30T00:00:00.000","Female","Two or more races","97790"
"2022-09-30T00:00:00.000","Female","Hispanic or Latino (of any race)","208069"
"2022-09-30T00:00:00.000","Female","White alone, Not Hispanic or Latino","1285958"
"2022-09-30T00:00:00.000","Male","All Veterans","16542988"
"2022-09-30T00:00:00.000","Male","White, alone","13347017"
"2022-09-30T00:00:00.000","Male","Black or African American, alone","1945705"
"2022-09-30T00:00:00.000","Male","American Indian and Alaska Native, alone","126454"
"2022-09-30T00:00:00.000","Male","Asian, alone","286923"
"2022-09-30T00:00:00.000","Male","Native Hawaiian and Other Pacific Islander, alone","34250"
"2022-09-30T00:00:00.000","Male","Some other race, alone","288362"
"2022-09-30T00:00:00.000","Male","Two or more races","514277"
"2022-09-30T00:00:00.000","Male","Hispanic or Latino (of any race)","1341018"
"2022-09-30T00:00:00.000","Male","White alone, Not Hispanic or Latino","12509003"
"2023-09-30T00:00:00.000","Female","All Veterans","2066691"
"2023-09-30T00:00:00.000","Female","White, alone","1416982"
"2023-09-30T00:00:00.000","Female","Black or African American, alone","420433"
"2023-09-30T00:00:00.000","Female","American Indian and Alaska Native, alone","20895"
"2023-09-30T00:00:00.000","Female","Asian, alone","52808"
"2023-09-30T00:00:00.000","Female","Native Hawaiian and Other Pacific Islander, alone","8901"
"2023-09-30T00:00:00.000","Female","Some other race, alone","46792"
"2023-09-30T00:00:00.000","Female","Two or more races","99880"
"2023-09-30T00:00:00.000","Female","Hispanic or Latino (of any race)","213048"
"2023-09-30T00:00:00.000","Female","White alone, Not Hispanic or Latino","1290056"
"2023-09-30T00:00:00.000","Male","All Veterans","16183353"
"2023-09-30T00:00:00.000","Male","White, alone","13007703"
"2023-09-30T00:00:00.000","Male","Black or African American, alone","1926905"
"2023-09-30T00:00:00.000","Male","American Indian and Alaska Native, alone","124934"
"2023-09-30T00:00:00.000","Male","Asian, alone","284497"
"2023-09-30T00:00:00.000","Male","Native Hawaiian and Other Pacific Islander, alone","34218"
"2023-09-30T00:00:00.000","Male","Some other race, alone","288863"
"2023-09-30T00:00:00.000","Male","Two or more races","516233"
"2023-09-30T00:00:00.000","Male","Hispanic or Latino (of any race)","1342750"
"2023-09-30T00:00:00.000","Male","White alone, Not Hispanic or Latino","12169789"
"2024-09-30T00:00:00.000","Female","All Veterans","2082482"
"2024-09-30T00:00:00.000","Female","White, alone","1423330"
"2024-09-30T00:00:00.000","Female","Black or African American, alone","425565"
"2024-09-30T00:00:00.000","Female","American Indian and Alaska Native, alone","21042"
"2024-09-30T00:00:00.000","Female","Asian, alone","53870"
"2024-09-30T00:00:00.000","Female","Native Hawaiian and Other Pacific Islander, alone","9095"
"2024-09-30T00:00:00.000","Female","Some other race, alone","47709"
"2024-09-30T00:00:00.000","Female","Two or more races","101872"
"2024-09-30T00:00:00.000","Female","Hispanic or Latino (of any race)","217751"
"2024-09-30T00:00:00.000","Female","White alone, Not Hispanic or Latino","1293583"
"2024-09-30T00:00:00.000","Male","All Veterans","15834472"
"2024-09-30T00:00:00.000","Male","White, alone","12679618"
"2024-09-30T00:00:00.000","Male","Black or African American, alone","1907636"
"2024-09-30T00:00:00.000","Male","American Indian and Alaska Native, alone","123409"
"2024-09-30T00:00:00.000","Male","Asian, alone","282244"
"2024-09-30T00:00:00.000","Male","Native Hawaiian and Other Pacific Islander, alone","34186"
"2024-09-30T00:00:00.000","Male","Some other race, alone","289208"
"2024-09-30T00:00:00.000","Male","Two or more races","518170"
"2024-09-30T00:00:00.000","Male","Hispanic or Latino (of any race)","1344581"
"2024-09-30T00:00:00.000","Male","White alone, Not Hispanic or Latino","11841543"
"2025-09-30T00:00:00.000","Female","All Veterans","2097306"
"2025-09-30T00:00:00.000","Female","White, alone","1429194"
"2025-09-30T00:00:00.000","Female","Black or African American, alone","430382"
"2025-09-30T00:00:00.000","Female","American Indian and Alaska Native, alone","21175"
"2025-09-30T00:00:00.000","Female","Asian, alone","54925"
"2025-09-30T00:00:00.000","Female","Native Hawaiian and Other Pacific Islander, alone","9271"
"2025-09-30T00:00:00.000","Female","Some other race, alone","48551"
"2025-09-30T00:00:00.000","Female","Two or more races","103809"
"2025-09-30T00:00:00.000","Female","Hispanic or Latino (of any race)","222301"
"2025-09-30T00:00:00.000","Female","White alone, Not Hispanic or Latino","1296704"
"2025-09-30T00:00:00.000","Male","All Veterans","15492460"
"2025-09-30T00:00:00.000","Male","White, alone","12358873"
"2025-09-30T00:00:00.000","Male","Black or African American, alone","1887784"
"2025-09-30T00:00:00.000","Male","American Indian and Alaska Native, alone","121875"
"2025-09-30T00:00:00.000","Male","Asian, alone","280128"
"2025-09-30T00:00:00.000","Male","Native Hawaiian and Other Pacific Islander, alone","34157"
"2025-09-30T00:00:00.000","Male","Some other race, alone","289433"
"2025-09-30T00:00:00.000","Male","Two or more races","520210"
"2025-09-30T00:00:00.000","Male","Hispanic or Latino (of any race)","1346744"
"2025-09-30T00:00:00.000","Male","White alone, Not Hispanic or Latino","11520207"
"2026-09-30T00:00:00.000","Female","All Veterans","2110944"
"2026-09-30T00:00:00.000","Female","White, alone","1434469"
"2026-09-30T00:00:00.000","Female","Black or African American, alone","434816"
"2026-09-30T00:00:00.000","Female","American Indian and Alaska Native, alone","21299"
"2026-09-30T00:00:00.000","Female","Asian, alone","55964"
"2026-09-30T00:00:00.000","Female","Native Hawaiian and Other Pacific Islander, alone","9427"
"2026-09-30T00:00:00.000","Female","Some other race, alone","49308"
"2026-09-30T00:00:00.000","Female","Two or more races","105660"
"2026-09-30T00:00:00.000","Female","Hispanic or Latino (of any race)","226649"
