"gender","age_group","total_number_of_veterans","va_users","va_healthcare_users"
"Female","17 to 24","58649","22116","10179"
"Female","25 to 34","293942","163042","88958"
"Female","35 to 44","409786","222643","122611"
"Female","45 to 54","407026","198753","115578"
"Female","55 to 64","456166","203573","134686"
"Female","65 to 74","258086","106646","72322"
"Female","75 to 84","96181","36298","16997"
"Female","85 or older","50751","48173","9128"
"Female","Missing","0","296","226"
"Male","17 to 24","218200","79685","32496"
"Male","25 to 34","1278868","748143","360686"
"Male","35 to 44","1760285","1017824","492150"
"Male","45 to 54","2404458","1196404","590767"
"Male","55 to 64","3239032","1457500","911169"
"Male","65 to 74","4169726","2290866","1761935"
"Male","75 to 84","2948409","1193706","934220"
"Male","85 or older","1492397","813941","496547"
"Male","Missing","0","463","357"
