"date","gender","age_group","visn_description","visn","veterans"
"2020-09-30T00:00:00.000","Female","17-44","VA New England Healthcare System","1","21731"
"2020-09-30T00:00:00.000","Female","17-44","NY/NJ VA Health Care Network","2","30339"
"2020-09-30T00:00:00.000","Female","17-44","VA Healthcare - VISN 4","4","27743"
"2020-09-30T00:00:00.000","Female","17-44","VA Capitol Health Care Network","5","35647"
"2020-09-30T00:00:00.000","Female","17-44","VA Mid-Atlantic Health Care Network","6","63913"
"2020-09-30T00:00:00.000","Female","17-44","VA Southeast Network","7","67987"
"2020-09-30T00:00:00.000","Female","17-44","VA Sunshine Healthcare Network","8","50541"
"2020-09-30T00:00:00.000","Female","17-44","VA Mid South Healthcare Network","9","27683"
"2020-09-30T00:00:00.000","Female","17-44","VA VISN 10 Serving Indiana, Michigan","10","45124"
"2020-09-30T00:00:00.000","Female","17-44","VA Great Lakes Health Care System","12","30434"
"2020-09-30T00:00:00.000","Female","17-44","VA Heartland Network","15","25640"
"2020-09-30T00:00:00.000","Female","17-44","South Central VA Health Care Network","16","57748"
"2020-09-30T00:00:00.000","Female","17-44","VA Heart of Texas Health Care Network","17","64419"
"2020-09-30T00:00:00.000","Female","17-44","Rocky Mountain Network","19","41404"
"2020-09-30T00:00:00.000","Female","17-44","Northwest Network","20","38462"
"2020-09-30T00:00:00.000","Female","17-44","Sierra Pacific Network","21","40386"
"2020-09-30T00:00:00.000","Female","17-44","Desert Pacific Healthcare Network","22","63892"
"2020-09-30T00:00:00.000","Female","17-44","VA Midwest Health Care Network","23","27712"
"2020-09-30T00:00:00.000","Female","45-64","VA New England Healthcare System","1","29485"
"2020-09-30T00:00:00.000","Female","45-64","NY/NJ VA Health Care Network","2","34717"
"2020-09-30T00:00:00.000","Female","45-64","VA Healthcare - VISN 4","4","36339"
"2020-09-30T00:00:00.000","Female","45-64","VA Capitol Health Care Network","5","48717"
"2020-09-30T00:00:00.000","Female","45-64","VA Mid-Atlantic Health Care Network","6","69361"
"2020-09-30T00:00:00.000","Female","45-64","VA Southeast Network","7","77168"
"2020-09-30T00:00:00.000","Female","45-64","VA Sunshine Healthcare Network","8","66490"
