"fiscal_year","unique_identifier","deal_number","decision","decision_date","expiration_date","brokered","deal_cancelled","country","program","policy_type","decision_authority","primary_export_product_naics_sic_code","product_description","term","primary_applicant","primary_lender","primary_exporter","primary_exporter_city","primary_exporter_state_code","primary_exporter_state_name","primary_borrower","primary_source_of_repayment_psor","working_capital_delegated_authority","approved_declined_amount","disbursed_shipped_amount","undisbursed_exposure_amount","outstanding_exposure_amount","small_business_authorized_amount","woman_owned_authorized_amount","minority_owned_authorized_amount","loan_interest_rate","multiyear_working_capital_extension"
"2007","08075258XG0001","AP075258XG","Approved","2006-12-01T00:00:00.000","2007-11-17T00:00:00.000","No","No","United States","Working Capital","N/A","Individual Delegated Authority","5172","Petroleum and Petroleum Products Wholesalers - Exce","Short Term","Frost National Bank","Frost National Bank","Elare Partners Ltd","San Antonio","TX","Texas","Elare Partners Ltd","Elare Partners Ltd","Yes","6300000","6300000","0","0","6300000","0","6300000","N/A",
"2007","08075771XE0002","AP075771XE","Approved","2007-09-10T00:00:00.000","2008-08-29T00:00:00.000","No","No","United States","Working Capital","N/A","Individual Delegated Authority","5147","Meats and Meat Products","Short Term","Wells Fargo Bank Minnesota Na","Wells Fargo Bank Texas Na","Agri-West International Inc","San Antonio","TX","Texas","Agri-West International Inc","Agri-West International Inc","Yes","1350000","1350000","0","0","1350000","0","0","N/A",
"2007","08076375XG0001","AP076375XG","Approved","2007-08-24T00:00:00.000","2008-06-23T00:00:00.000","No","No","United States","Working Capital","N/A","Individual Delegated Authority","423610","Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment","Short Term","Jp Morgan Chase Bank, Na","Jp Morgan Chase Bank, Na","Ohm International Corporation","Houston","TX","Texas","Ohm International Corporation","Ohm International Corporation","Yes","3150000","3150000","0","0","3150000","0","0","N/A",
"2007","08077069XE0001","AP077069XE","Approved","2007-09-07T00:00:00.000","2008-07-08T00:00:00.000","No","No","United States","Working Capital","N/A","Individual Delegated Authority","424470","Meat and Meat Product Merchant Wholesalers","Short Term","Frost National Bank","Frost National Bank","Almacenes De Tejas, Lp","San Antonio","TX","Texas","Almacenes De Tejas, Lp","Almacenes De Tejas, Lp","Yes","3825000","3825000","0","0","3825000","0","0","N/A",
"2007","08077545XC0003","AP077545XC","Approved","2006-11-01T00:00:00.000","2006-09-28T00:00:00.000","No","No","United States","Working Capital","N/A","Individual Delegated Authority","5153","Grain and Field Beans","Short Term","Frost National Bank","Frost National Bank","U.S. Grain & Feed Ingredients, Inc.","San Antonio","TX","Texas","U.S. Grain & Feed Ingredients, Inc.","U.S. Grain & Feed Ingredients, Inc.","Yes","270000","270000","0","0","0","0","0","N/A",
"2007","08077545XD0001","AP077545XD","Approved","2007-01-29T00:00:00.000","2007-10-22T00:00:00.000","No","No","United States","Working Capital","N/A","Individual Delegated Authority","5153","Grain and Field Beans","Short Term","Frost National Bank","Frost National Bank","U.S. Grain & Feed Ingredients, Inc.","San Antonio","TX","Texas","U.S. Grain & Feed Ingredients, Inc.","U.S. Grain & Feed Ingredients, Inc.","Yes","270000","270000","0","0","270000","0","0","N/A",
"2007","08078604XC0002","AP078604XC","Approved","2007-07-17T00:00:00.000","2008-09-30T00:00:00.000","No","No","United States","Working Capital","N/A","Individual Delegated Authority","2869","Industrial Organic Chemicals - NEC","Short Term","Amegy Bank National Association","Amegy Bank National Association","Merichem Company","Houston","TX","Texas","Merichem Company","Merichem Company","Yes","4500000","4500000","0","0","4500000","0","0","N/A",
"2007","08078658XE0001","AP078658XE","Approved","2007-09-17T00:00:00.000","2008-08-31T00:00:00.000","No","No","United States","Working Capital","N/A","Individual Delegated Authority","331492","Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copp","Short Term","Capital One, N.A.","Capital One Commercial Banking","Alpha Omega Recycling, Inc.","Longview","TX","Texas","Alpha Omega Recycling, Inc.","Alpha Omega Recycling, Inc.","Yes","450000","450000","0","0","450000","0","0","N/A",
"2007","08079756XD0001","AP079756XD","Approved","2007-08-10T00:00:00.000","2008-06-12T00:00:00.000","No","No","United States","Working Capital","N/A","Individual Delegated Authority","333912","Air and Gas Compressor Manufacturing","Short Term","Amegy Bank National Association","Amegy Bank National Association","Neuman And Esser Usa Inc","Katy","TX","Texas","Neuman And Esser Usa Inc","Neuman And Esser Usa Inc","Yes","900000","900000","0","0","900000","0","0","N/A",
"2007","08079758XX0003","AP079758XX","Approved","2007-07-03T00:00:00.000","2009-09-25T00:00:00.000","No","No","Nigeria","Guarantee","N/A","Loan/Credit Committee","423830","Industrial Machinery and Equipment Merchant Wholesalers","Medium Term","Ups Capital Business Credit","Ups Capital Business Credit","Ventech Engineers Inc","Pasadena","TX","Texas","Amakpe International Refineries Nigeria","Amanam, Usua",,"23375","0","0","0","0","0","0","N/A",
