"reason","information_request_type","month_number","total_information_requests","month","year","rank"
"Transit","Bus Schedule Inquiry","8","14912","August","2017","1"
"Non-City Services","Non-City Related Phone Number Request","8","3738","August","2017","2"
"Assessment & Tax","Assessment & Tax Inquiry","8","3133","August","2017","3"
"Transit","Peggo General Inquiry","8","1899","August","2017","4"
"Garbage & Recycling","Garbage & Recycling Inquiry","8","1814","August","2017","5"
"Parking Authority","Parking Authority General Inquiry","8","1687","August","2017","6"
"Animal Services","Animal Services General Inquiry","8","1353","August","2017","7"
"Social Media","Twitter Interaction","8","1194","August","2017","8"
"311 Information","311 Use of iView Map Themes","8","962","August","2017","9"
"Street Maintenance","Street Maintenance General Inquiry","8","948","August","2017","10"
