"reason","information_request_type","month_number","total_information_requests","month","year"
"Transit","Bus Schedule Inquiry","1","29401","January","2016"
"Non-City Services","Non-City Related Phone Number Request","1","3643","January","2016"
"Assessment & Tax","Assessment & Tax Inquiry","1","3019","January","2016"
"Parking Authority","Parking Authority General Inquiry","1","1506","January","2016"
"Face to Face Interaction","311 Counter Utility Billing Payment","1","1482","January","2016"
"Street Maintenance","Street Maintenance General Inquiry","1","1105","January","2016"
"Recreation & Leisure","Aquatics-Indoor Pool Inquiry","1","1101","January","2016"
"Recreation & Leisure","CmS Other-Recreation & Leisure Inquiry","1","1047","January","2016"
"Garbage & Recycling","Garbage & Recycling Inquiry","1","1044","January","2016"
"Street Maintenance","Know Your Zone Inquiry","1","991","January","2016"
"311 Information","No Answer/Busy Signal rcv'd during Call Back","1","989","January","2016"
"Animal Services","Animal Services General Inquiry","1","960","January","2016"
"311 Information","311 Use of iView Map Themes","1","933","January","2016"
