"reason","information_request_type","month_number","total_information_requests","month","year"
"Non-City Services","Non-City Related Phone Number Request","5","3508","May","2016"
"Garbage & Recycling","Yard Waste Inquiry","5","1403","May","2016"
"Transit","Bus Schedule Inquiry","5","16688","May","2016"
"Face to Face Interaction","311 Counter Utility Billing Payment","5","2015","May","2016"
"Insect Control","Insect Control Inquiry","5","1622","May","2016"
"Assessment & Tax","Assessment & Tax Inquiry","5","5162","May","2016"
"311 Information","No Answer/Busy Signal rcv'd during Call Back","5","1846","May","2016"
"Garbage & Recycling","Garbage & Recycling Inquiry","5","1503","May","2016"
"Street Maintenance","Street Maintenance General Inquiry","5","1180","May","2016"
"Animal Services","Animal Services General Inquiry","5","1486","May","2016"
