"reason","information_request_type","month_number","total_information_requests","month","year","rank"
"Transit","Bus Schedule Inquiry","5","19151","May","2017","1"
"Assessment & Tax","Assessment & Tax Inquiry","5","6106","May","2017","2"
"Non-City Services","Non-City Related Phone Number Request","5","3896","May","2017","3"
"Garbage & Recycling","Garbage & Recycling Inquiry","5","2280","May","2017","4"
"Parking Authority","Parking Authority General Inquiry","5","1976","May","2017","5"
"Transit","Peggo General Inquiry","5","1961","May","2017","6"
"Animal Services","Animal Services General Inquiry","5","1539","May","2017","7"
"Garbage & Recycling","Yard Waste Inquiry","5","1242","May","2017","8"
"Street Maintenance","Street Maintenance General Inquiry","5","1118","May","2017","9"
"Social Media","Twitter Interaction","5","1001","May","2017","10"
