Name,Address,Website,Email,Complex ID,Location 1,Wards,Neighborhoods,Zip Codes
Archwood Community Centre,565 Guilbault St,http://www.gcwcc.mb.ca/ArchwoodCommunityCentre.htm,,133,"(49.87564389838106, -97.10029959494368)",8,172,
Assiniboine West Recreation Association,861 Buchanan Blvd,http://www.gcwcc.mb.ca/AssiniboiaWestCommunityCentre.htm,info@awra.ca,55,"(49.888857499742734, -97.31549821539275)",14,106,
Assiniboine West Recreation Association - Morgan Site,305 Morgan Cres,http://www.gcwcc.mb.ca/AssiniboiaWest-MorganSite.htm,info@awra.ca,35,"(49.889632874142, -97.30350823850983)",14,106,
Bord-Aire Community Centre,471 Hampton St,http://www.gcwcc.mb.ca/Bord-AireCommunityCentre.htm,bord-aire@mts.net,17,"(49.889456984506616, -97.2110210121195)",13,131,
Bourkevale Community Centre,100 Ferry Rd,http://www.gcwcc.mb.ca/BourkevaleCommunityCentre.htm,,20,"(49.87477308876324, -97.21973722862732)",13,32,
Bronx Park Community Centre,720 Henderson Hwy,http://www.gcwcc.mb.ca/BronxParkCommunityCentre.htm,,92,"(49.926687560314825, -97.10573398942525)",10,4,
Bronx Park Community Centre - Kelvin site,281 Henderson Hwy,http://www.bronxpark.ca,,120,"(49.91561179372953, -97.1135293076602)",1,197,
Burton Cummings Community Centre,960 Arlington St,http://www.gcwcc.mb.ca/BurtonCummingsCommunityCentre.htm,,5,"(49.90609203730093, -97.16722104608752)",12,213,
Central Community Centre,200 Isabel St,http://www.gcwcc.mb.ca/CentralCommunityCentre.htm,,163,"(49.90461400706644, -97.14957495150733)",12,38,
Central Corydon CC- River Heights site,1370 Grosvenor Ave,http://www.gcwcc.mb.ca/RiverHeightsCommunityCentre.htm,generalmanager@riverheightscc.org,31,"(49.864876996500044, -97.18165899836792)",5,162,
Central Corydon Community Centre - Crescentwood Site,1170 Corydon Ave,http://www.gcwcc.mb.ca/CrescentwoodCommunityCentre.htm,c4programservices@yahoo.ca,126,"(49.86465940745883, -97.17019925969213)",5,58,
Chalmers Community Centre,480 Chalmers Ave,http://www.gcwcc.mb.ca/ChalmersCommunityCentre.htm,,122,"(49.9103740410072, -97.1009589794182)",1,197,
Champlain Community Centre,282 Niverville Ave,http://www.gcwcc.mb.ca/ChamplainCommunityCentre.htm,,26,"(49.87579100223816, -97.11407074913164)",8,49,
Dakota Community Centre,1188 Dakota St,http://www.gcwcc.mb.ca/DakotaCommunityCentre.htm,,68,"(49.818922756415, -97.10116537456055)",7,88,
Deer Lodge Community Centre,323 Bruce Ave,http://www.gcwcc.mb.ca/DeerLodgeCommunityCentre.htm,dlcc@mts.net,23,"(49.881848047042354, -97.22688103377834)",13,165,
Earl Grey Community Centre,360 Cockburn St N,http://www.gcwcc.mb.ca/EarlGreyCommunityCentre.htm,egcc@mts.net,39,"(49.867002019754494, -97.1502719488372)",6,20,
East Elmwood Community Centre,927 Beach Ave,http://www.gcwcc.mb.ca/EastElmwoodCommunityCentre.htm,eecc@mts.net,121,"(49.90373723020184, -97.08025028999789)",1,47,
East End Community Centre,517 Pandora Ave E,http://www.gcwcc.mb.ca/EastEndCommunityCentre.htm,eearena@mts.net,106,"(49.894071965463844, -96.99120397360534)",9,174,
Fort Garry Community Centre,880 Oakenwald Ave,http://www.gcwcc.mb.ca/FortGarryCommunityCentre.htm,fortgarrycommunityclub.president@yahoo.ca,181,"(49.8421330106419, -97.14863794429948)",6,109,
Fort Garry Community Centre - Victoria Site,80 Derek St,http://www.gcwcc.mb.ca/VictoriaCommunityCentre.htm,fortgarrycommunityclub.president@yahoo.ca,180,"(49.84733698948874, -97.15833103943237)",5,225,
Garden City Community Centre,725 Kingsbury Ave,http://www.gcwcc.mb.ca/GardenCityCommunityCentre.htm,gccc@mts.net,69,"(49.947486620622996, -97.13854345634499)",2,128,
Gateway Recreation Centre,1717 Gateway Rd,http://www.gcwcc.mb.ca/GatewayCommunityCentre.htm,gatewayrec1@shaw.ca,104,"(49.94562713897557, -97.04708344056893)",10,31,
Glenwood Community Centre,27 Overton St,http://www.gcwcc.mb.ca/GlenwoodCommunityCentre.htm,info@glenwoodcc.ca,140,"(49.866153046718274, -97.10733004456974)",11,124,
Greendell Community Centre,75 Woodlawn Ave,http://www.gcwcc.mb.ca/GreendellParkCommunityCentre.htm,greedel@mts.net,144,"(49.82180003540498, -97.1204399749187)",11,83,
Heritage Victoria Park Recreation Association,950 Sturgeon Rd,http://www.gcwcc.mb.ca/HeritageVictoriaCommunityCentre.htm,hvcc@mts.net,57,"(49.891376048076594, -97.27871702662404)",14,108,
Kirkfield Westwood Community Centre - McBey Site,3160 McBey Ave,http://www.gcwcc.mb.ca/Kirkfield-WestwoodCC-McBeySite.htm,,63,"(49.87730959804706, -97.28691723899392)",14,97,
Kirkfield Westwood Community Centre - Sansome Site,165 Sansome Ave,http://www.gcwcc.mb.ca/Kirkfield-WestwoodCommunityCentre.htm,kwcc@mts.net,58,"(49.87622239206751, -97.30343753746142)",14,63,
