"reason","service_request_type","total_service_requests","month","year","month_number","rank"
"Recreation & Leisure","Leisure Guide Processed a Registration","3395","March","2018","3","1"
"Street Maintenance","Frozen Catch Basin Report P3","1210","March","2018","3","2"
"Street Maintenance","Snow Removal Request Back Lane","908","March","2018","3","3"
"Parking Authority","Parking Ticket Payment","880","March","2018","3","4"
"Water","Transferred to the Utility Billing Centre","800","March","2018","3","5"
"Garbage & Recycling","Request for Bulky Pick Up - 10 Items","759","March","2018","3","6"
"Parking Authority","Parking Infraction Report","742","March","2018","3","7"
"Garbage & Recycling","Carts Damaged By Collection Crews","643","March","2018","3","8"
"Recreation & Leisure","Transferred to Indoor Pool","612","March","2018","3","9"
"Garbage & Recycling","Missed Garbage Collection Deficiency","612","March","2018","3","9"
