"reason","information_request_type","month_number","total_information_requests","month","year"
"Transit","Bus Schedule Inquiry","12","46721","December","2014"
"Non-City Services","Non-City Related Phone Number Request","12","5640","December","2014"
"Assessment & Tax","Assessment & Tax Inquiry","12","2978","December","2014"
"Parking Authority","Parking Authority General Inquiry","12","2157","December","2014"
"Recreation & Leisure","CmS Other-Recreation & Leisure Inquiry","12","1937","December","2014"
"Recreation & Leisure","Aquatics-Indoor Pool Inquiry","12","1844","December","2014"
"311 Information","311 Use of iView Map Themes","12","1503","December","2014"
"Street Maintenance","Know Your Zone Inquiry","12","1275","December","2014"
"Garbage & Recycling","Garbage & Recycling Inquiry","12","1189","December","2014"
"Garbage & Recycling","Garbage Inquiry","12","1188","December","2014"
