"reason","information_request_type","total","month","year","month_number","rank"
"Transit","Bus Schedule Inquiry","40173","November","2014","11","1"
"Non-City Services","Non-City Related Phone Number Request","5286","November","2014","11","2"
"Assessment & Tax","Assessment & Tax Inquiry","2973","November","2014","11","3"
"Parking Authority","Parking Authority General Inquiry","1952","November","2014","11","4"
"Garbage & Recycling","Garbage & Recycling Inquiry","1593","November","2014","11","5"
"Garbage & Recycling","Garbage Inquiry","1553","November","2014","11","6"
"Recreation & Leisure","Aquatics-Indoor Pool Inquiry","1522","November","2014","11","7"
"Garbage & Recycling","Yard Waste Inquiry","1368","November","2014","11","8"
"Street Maintenance","Street Maintenance General Inquiry","1362","November","2014","11","9"
"Face to Face Interaction","311 Counter Utility Billing Payment","1275","November","2014","11","10"
