"reason","information_request_type","total_information_requests","month","year","month_number"
"Transit","Bus Schedule Inquiry","28442","March","2014","3"
"Street Maintenance","Street Maintenance General Inquiry","6091","March","2014","3"
"Non-City Services","Non-City Related Phone Number Request","2572","March","2014","3"
"Assessment & Tax","Assessment & Tax Inquiry","2471","March","2014","3"
"Recreation & Leisure","CmS Other-Recreation & Leisure Inquiry","2289","March","2014","3"
"Face to Face Interaction","311 Counter Utility Billing Payment","1567","March","2014","3"
"Street Maintenance","Know Your Zone Inquiry","1533","March","2014","3"
"Parking Authority","Parking Authority General Inquiry","1179","March","2014","3"
"Recreation & Leisure","Aquatics-Indoor Pool Inquiry","1042","March","2014","3"
"Garbage & Recycling","Garbage & Recycling Inquiry","869","March","2014","3"
