"reason","service_request_type","total_service_requests","month","year","month_number"
"Recreation & Leisure","Program Reg - Process a Registration","2049","July","2015","7"
"By Law Enforcement","Housing Complaint - Yard and Accessory Buildings","1294","July","2015","7"
"Garbage & Recycling","Request for Bulky Pick Up - 10 Items","1199","July","2015","7"
"Garbage & Recycling","Carts Damaged By Collection Crews","1184","July","2015","7"
"Water","Transferred to the Utility Billing Centre","894","July","2015","7"
"Parking Authority","Parking Ticket Payment","641","July","2015","7"
"Transit","Transit Lost Property Report","541","July","2015","7"
"Parking Authority","Parking Infraction Report","504","July","2015","7"
"Transit","TR Employees,Schedules,Routes,SchoolService Report","473","July","2015","7"
"Assessment & Tax","Questions about Payments made to Assessment & Tax","466","July","2015","7"
