"reason","service_request_type","total_service_requests","month","year","month_number"
"Recreation & Leisure","Program Reg - Process a Registration","2618","April","2015","4"
"Garbage & Recycling","Request for Bulky Pick Up - 10 Items","1315","April","2015","4"
"Garbage & Recycling","Carts Damaged By Collection Crews","1305","April","2015","4"
"Parking Authority","Parking Ticket Payment","1133","April","2015","4"
"Parking Authority","Towing Log Checked for Missing Vehicle","1101","April","2015","4"
"Water","Transferred to the Utility Billing Centre","1055","April","2015","4"
"Transit","Transit Lost Property Report","685","April","2015","4"
"Transit","TR Employees,Schedules,Routes,SchoolService Report","628","April","2015","4"
"Street Maintenance","Street Maintenance Towing Inquiries","624","April","2015","4"
"Parking Authority","Parking Infraction Report","595","April","2015","4"
