"reason","service_request_type","total_service_requests","month","year","month_number","rank"
"Parking Authority","Parking Ticket Payment","1132","November","2017","11","1"
"Water","Transferred to the Utility Billing Centre","1057","November","2017","11","2"
"Garbage & Recycling","Missed Garbage Collection Deficiency","959","November","2017","11","3"
"Garbage & Recycling","Request for Bulky Pick Up - 10 Items","900","November","2017","11","4"
"Garbage & Recycling","Missed Recycling Collection Deficiency","865","November","2017","11","5"
"Transit","Transit Lost Property Report","760","November","2017","11","6"
"Parking Authority","Parking Infraction Report","737","November","2017","11","7"
"Garbage & Recycling","Carts Damaged By Collection Crews","659","November","2017","11","8"
"Transit","Peggo View Products on Card","543","November","2017","11","9"
"Animal Services","Pet License Information Update/Change","496","November","2017","11","10"
